Names,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
228,48.4,47.3,72.0,55.9,13.9
229,48.6,47.1,72.4,56.0,14.2
230,48.3,46.9,72.3,55.8,14.3
231,48.6,46.8,73.2,56.2,14.8
232,48.8,46.3,72.7,55.9,14.6
233,47.8,46.7,72.6,55.7,14.6
234,48.5,46.5,73.2,56.1,14.9
235,47.5,47.2,71.4,55.3,13.9
236,48.1,46.5,72.6,55.7,14.6
237,47.8,46.6,71.8,55.4,14.2
238,47.4,46.5,71.8,55.2,14.4
239,48.3,46.2,71.7,55.4,14.2
240,47.7,46.4,72.1,55.4,14.5
241,47.4,46.4,71.2,55.0,14.0
242,47.8,46.5,71.1,55.1,13.8
243,47.6,46.2,70.3,54.7,13.5
244,47.9,47.0,70.5,55.2,13.3
245,47.7,47.0,70.9,55.2,13.6
246,47.5,46.9,70.7,55.1,13.6
247,48.2,46.3,70.1,54.9,13.2
248,48.0,46.7,70.7,55.1,13.5
249,47.9,46.9,70.1,55.0,13.1
250,48.1,46.3,69.2,54.5,12.7
251,47.7,46.6,68.7,54.3,12.5
252,48.4,46.7,70.2,55.1,13.1
253,48.3,46.8,69.5,54.9,12.7
254,48.0,46.8,68.4,54.4,12.2
255,47.2,46.2,69.3,54.2,13.1
256,47.5,47.2,69.5,54.7,12.8
257,47.5,46.7,67.7,54.0,11.9
258,47.7,46.9,68.7,54.4,12.4
259,47.7,46.1,67.0,53.6,11.7
260,47.8,46.4,67.2,53.8,11.6
261,47.2,46.5,68.3,54.0,12.4
262,47.1,46.8,66.2,53.4,11.1
263,47.0,47.5,66.9,53.8,11.4
264,47.4,46.7,66.0,53.4,11.0
265,47.2,46.3,65.9,53.1,11.1
266,46.7,47.4,65.0,53.0,10.4
267,46.7,46.5,64.4,52.6,10.3
268,46.4,47.1,64.5,52.7,10.2
269,46.8,46.9,64.5,52.7,10.2
270,46.3,46.9,63.0,52.1,9.5
271,46.7,46.7,63.3,52.3,9.6
272,47.2,46.8,63.4,52.5,9.4
273,46.6,46.9,62.4,52.0,9.0
274,46.3,46.2,62.2,51.6,9.2
275,46.8,46.7,61.6,51.7,8.6
276,45.8,46.4,61.2,51.1,8.7
277,46.3,47.1,61.8,51.7,8.7
278,45.7,47.0,60.9,51.2,8.4
279,45.5,47.1,60.1,50.9,8.0
280,45.8,46.5,60.0,50.8,8.0
281,45.1,46.7,59.6,50.5,7.9
282,45.0,46.4,59.3,50.3,7.9
283,45.5,46.4,59.4,50.4,7.8
284,44.4,47.0,58.6,50.0,7.5
285,44.6,46.7,58.5,49.9,7.5
286,44.8,46.5,58.3,49.9,7.3
287,44.4,47.2,57.9,49.8,7.1
288,44.2,46.8,56.8,49.3,6.7
289,44.2,47.0,56.6,49.3,6.5
290,44.9,46.2,56.0,49.0,6.1
291,44.1,46.0,56.2,48.7,6.5
292,44.2,45.8,55.6,48.6,6.2
293,43.8,46.2,54.6,48.2,5.6
294,44.7,46.1,54.5,48.4,5.3
295,44.5,45.4,55.1,48.3,5.8
296,43.6,46.1,53.9,47.8,5.4
297,44.1,45.7,54.2,48.0,5.4
298,43.7,46.7,53.1,47.8,4.8
299,43.8,45.7,53.1,47.5,4.9
300,44.0,45.9,53.0,47.6,4.8
301,43.6,45.6,52.2,47.1,4.5
302,43.5,45.7,51.6,46.9,4.2
303,43.3,45.2,51.6,46.7,4.3
304,43.1,44.8,51.7,46.5,4.5
305,43.6,44.7,50.6,46.3,3.8
306,43.5,43.9,50.4,46.0,3.9
307,43.3,44.7,49.6,45.9,3.3
308,43.5,43.9,49.6,45.7,3.5
309,43.2,43.8,48.7,45.2,3.0
310,43.2,43.6,48.5,45.1,3.0
311,43.2,43.3,48.5,45.0,3.0
312,42.6,43.0,48.1,44.5,3.0
313,42.0,42.8,48.4,44.4,3.5
314,42.7,42.0,47.7,44.1,3.1
315,42.2,42.3,47.2,43.9,2.9
