Time after Ignition,Rug_Pad_R1,Rug_Pad_R2,Rug_Pad_R3,Mean,Std. Dev.
144.5,14.8,14.1,13.1,14.0,0.8
144.75,14.5,14.0,13.0,13.8,0.7
145.0,14.3,14.0,12.9,13.7,0.7
145.25,14.0,13.8,13.1,13.7,0.5
145.5,14.2,13.8,13.1,13.7,0.5
145.75,14.0,14.1,12.9,13.7,0.7
146.0,13.9,14.2,12.9,13.7,0.7
146.25,13.7,13.6,13.0,13.4,0.4
146.5,13.5,14.0,12.9,13.5,0.6
146.75,13.6,13.8,13.0,13.4,0.4
147.0,13.1,13.6,13.1,13.3,0.3
147.25,13.0,13.5,12.8,13.1,0.3
147.5,13.1,13.5,13.0,13.2,0.2
147.75,13.0,13.3,12.9,13.1,0.2
148.0,12.9,13.3,13.0,13.1,0.2
148.25,12.9,13.1,12.7,12.9,0.2
148.5,12.6,13.2,12.9,12.9,0.3
148.75,12.6,13.1,13.2,13.0,0.3
149.0,12.5,12.9,13.1,12.8,0.3
149.25,12.5,13.0,12.9,12.8,0.3
149.5,12.5,13.0,13.1,12.9,0.3
149.75,12.3,12.8,13.0,12.7,0.3
150.0,12.4,12.8,13.2,12.8,0.4
150.25,12.3,12.6,12.8,12.6,0.2
150.5,12.3,12.6,12.7,12.5,0.2
150.75,12.2,12.4,12.7,12.4,0.2
151.0,12.1,12.3,12.5,12.3,0.2
151.25,12.0,12.1,12.6,12.3,0.3
151.5,12.1,12.1,12.4,12.2,0.2
151.75,12.1,11.9,12.3,12.1,0.2
152.0,12.0,12.1,12.4,12.2,0.2
152.25,12.2,11.9,12.2,12.1,0.2
152.5,12.0,11.7,12.3,12.0,0.3
152.75,12.2,11.7,12.2,12.0,0.3
153.0,12.1,11.7,12.3,12.0,0.3
153.25,11.9,11.7,12.1,11.9,0.2
153.5,12.0,11.8,12.1,11.9,0.2
153.75,11.6,11.6,12.0,11.8,0.2
154.0,11.5,11.5,11.9,11.6,0.2
154.25,11.4,11.7,11.9,11.7,0.2
154.5,11.4,11.6,12.0,11.7,0.3
154.75,11.3,11.6,12.0,11.6,0.3
155.0,11.3,11.4,12.1,11.6,0.4
155.25,11.2,11.3,11.8,11.5,0.3
155.5,11.1,11.4,12.0,11.5,0.4
155.75,11.1,11.6,11.7,11.4,0.3
156.0,11.0,11.2,11.9,11.4,0.4
156.25,11.1,11.2,11.8,11.3,0.4
156.5,11.1,11.0,12.0,11.4,0.5
156.75,10.9,11.1,11.8,11.3,0.5
157.0,11.1,10.9,11.8,11.3,0.5
157.25,11.1,10.7,11.7,11.2,0.5
157.5,10.9,10.7,11.7,11.1,0.6
157.75,10.9,10.7,11.8,11.1,0.6
158.0,10.9,10.7,11.8,11.1,0.6
158.25,10.8,10.7,11.9,11.1,0.7
158.5,10.8,10.6,11.8,11.1,0.6
158.75,10.8,10.6,11.6,11.0,0.6
159.0,10.9,10.4,11.6,11.0,0.6
159.25,10.8,10.5,11.6,11.0,0.6
159.5,10.7,10.4,11.7,10.9,0.7
159.75,10.7,10.3,11.4,10.8,0.6
160.0,10.7,10.3,11.4,10.8,0.6
160.25,10.9,10.2,11.3,10.8,0.5
160.5,10.8,10.1,11.2,10.7,0.6
160.75,10.8,10.0,11.1,10.6,0.6
161.0,10.6,10.2,11.2,10.7,0.5
161.25,10.6,10.0,11.0,10.5,0.5
161.5,10.5,10.1,10.9,10.5,0.4
161.75,10.4,9.8,11.0,10.4,0.6
162.0,10.3,9.6,10.9,10.3,0.7
162.25,10.3,9.6,11.0,10.3,0.7
162.5,10.2,9.4,10.8,10.1,0.7
162.75,10.1,9.4,10.9,10.1,0.8
163.0,10.1,9.1,11.0,10.1,0.9
163.25,10.1,9.2,10.9,10.0,0.9
163.5,10.0,9.2,10.8,10.0,0.8
163.75,9.8,8.9,10.9,9.8,1.0
164.0,10.0,8.6,10.9,9.9,1.1
164.25,10.0,8.6,10.9,9.8,1.1
164.5,9.8,8.3,10.7,9.6,1.2
164.75,9.7,8.3,10.7,9.6,1.2
165.0,9.9,8.2,10.7,9.6,1.3
165.25,9.8,8.1,10.7,9.5,1.3
165.5,9.8,8.0,10.7,9.5,1.4
165.75,9.8,8.0,10.8,9.5,1.4
166.0,9.7,7.9,10.8,9.4,1.4
166.25,9.3,7.8,10.7,9.3,1.4
166.5,9.4,7.8,10.6,9.3,1.4
166.75,9.3,7.7,10.6,9.2,1.4
167.0,9.2,7.7,10.6,9.1,1.4
167.25,9.1,7.7,10.7,9.2,1.5
167.5,9.1,7.5,10.6,9.1,1.6
167.75,9.1,7.5,10.5,9.0,1.5
168.0,9.1,7.4,10.7,9.1,1.6
168.25,8.9,7.3,10.6,9.0,1.7
168.5,8.9,7.4,10.5,8.9,1.6
168.75,9.0,7.2,10.6,8.9,1.7
169.0,8.8,7.2,10.6,8.8,1.7
169.25,8.9,7.2,10.7,8.9,1.8
169.5,8.9,7.1,10.7,8.9,1.8
169.75,8.9,6.9,10.4,8.7,1.7
170.0,8.9,6.8,10.4,8.7,1.8
170.25,8.9,6.7,10.4,8.6,1.9
170.5,8.9,6.5,10.2,8.5,1.9
170.75,9.1,6.3,10.1,8.5,2.0
171.0,8.8,,10.0,9.4,0.9
171.25,8.8,,10.0,9.4,0.8
171.5,8.9,,9.8,9.3,0.7
171.75,8.9,,9.8,9.3,0.6
172.0,8.9,,9.8,9.4,0.7
172.25,8.9,,9.7,9.3,0.6
172.5,8.8,,9.8,9.3,0.7
172.75,8.7,,9.8,9.3,0.7
173.0,8.8,,9.8,9.3,0.7
173.25,8.8,,9.7,9.3,0.6
173.5,8.8,,9.7,9.2,0.7
173.75,8.7,,9.6,9.2,0.6
174.0,8.8,,9.7,9.3,0.6
174.25,8.8,,9.7,9.2,0.6
174.5,8.9,,9.5,9.2,0.4
174.75,8.7,,9.5,9.1,0.5
175.0,8.8,,9.5,9.2,0.5
175.25,9.0,,9.6,9.3,0.4
175.5,8.7,,9.5,9.1,0.6
175.75,8.7,,9.7,9.2,0.7
176.0,8.9,,9.5,9.2,0.4
176.25,8.8,,9.6,9.2,0.5
176.5,8.7,,9.4,9.1,0.5
176.75,8.8,,9.4,9.1,0.5
177.0,8.7,,9.3,9.0,0.4
177.25,8.7,,9.2,9.0,0.4
177.5,8.5,,9.0,8.7,0.4
177.75,8.4,,9.2,8.8,0.5
178.0,8.2,,8.9,8.6,0.5
178.25,8.2,,8.8,8.5,0.4
178.5,8.2,,8.8,8.5,0.4
178.75,8.0,,8.8,8.4,0.6
179.0,7.8,,8.7,8.3,0.6
179.25,7.8,,8.7,8.2,0.6
179.5,7.8,,8.7,8.3,0.6
179.75,7.8,,8.5,8.2,0.5
180.0,7.6,,8.5,8.1,0.6
180.25,7.6,,8.6,8.1,0.7
180.5,7.7,,8.7,8.2,0.7
180.75,7.5,,8.5,8.0,0.7
181.0,7.5,,8.5,8.0,0.7
181.25,7.5,,8.4,8.0,0.6
181.5,7.4,,8.5,7.9,0.8
181.75,7.5,,8.5,8.0,0.7
182.0,7.3,,8.5,7.9,0.9
182.25,7.2,,8.4,7.8,0.9
182.5,7.0,,8.4,7.7,0.9
182.75,7.0,,8.3,7.6,0.9
183.0,6.9,,8.2,7.5,1.0
183.25,6.9,,8.2,7.5,0.9
183.5,6.6,,8.1,7.4,1.1
183.75,6.7,,8.1,7.4,1.0
184.0,6.6,,8.0,7.3,1.0
184.25,6.5,,7.9,7.2,1.0
184.5,6.5,,8.0,7.2,1.1
184.75,6.4,,7.8,7.1,1.0
185.0,6.3,,7.8,7.0,1.1
185.25,6.1,,7.9,7.0,1.2
185.5,6.0,,7.9,6.9,1.3
185.75,6.0,,7.8,6.9,1.3
186.0,5.8,,7.8,6.8,1.5
186.25,5.7,,7.7,6.7,1.5
186.5,5.6,,7.9,6.7,1.6
186.75,5.6,,7.8,6.7,1.5
187.0,5.5,,7.8,6.7,1.7
187.25,5.5,,7.8,6.7,1.6
187.5,5.4,,7.9,6.6,1.7
