Names,Cotton_Rug_R1,Cotton_Rug_R2,Cotton_Rug_R3,Mean,Std. Dev.
385,98.7,55.8,60.2,71.6,23.6
386,99.4,55.8,60.8,72.0,23.8
387,94.7,55.6,59.6,69.9,21.5
388,94.5,55.8,59.6,70.0,21.4
389,94.3,56.2,60.2,70.2,20.9
390,92.8,56.4,59.6,69.6,20.1
391,90.8,56.0,60.0,68.9,19.0
392,90.6,55.8,59.3,68.6,19.1
393,89.4,56.1,59.5,68.3,18.3
394,87.9,56.8,58.8,67.8,17.4
395,87.6,56.1,58.8,67.5,17.4
396,85.0,55.9,58.3,66.4,16.2
397,85.7,55.4,58.1,66.4,16.8
398,84.5,54.9,57.4,65.6,16.4
399,84.3,54.3,57.6,65.4,16.4
400,84.1,54.8,57.4,65.4,16.3
401,82.8,53.7,57.7,64.8,15.8
402,83.3,55.0,56.9,65.1,15.8
403,82.4,55.0,57.8,65.0,15.1
404,82.2,54.8,56.6,64.5,15.4
405,81.4,54.4,57.3,64.4,14.8
406,80.9,54.4,56.7,64.0,14.7
407,79.6,55.2,56.5,63.7,13.7
408,80.0,54.4,55.9,63.4,14.4
409,78.8,55.5,56.2,63.5,13.2
410,78.8,53.6,55.8,62.7,14.0
411,77.7,54.8,55.5,62.7,13.0
412,78.3,53.7,55.8,62.6,13.6
413,77.8,54.0,56.0,62.6,13.2
414,77.3,54.3,56.4,62.6,12.7
415,77.1,53.8,55.7,62.2,13.0
416,76.6,54.3,55.9,62.3,12.4
417,76.7,53.5,55.4,61.9,12.9
418,75.5,53.8,55.6,61.7,12.0
419,74.9,54.0,55.3,61.4,11.7
420,74.2,53.2,55.8,61.0,11.4
421,74.0,54.3,55.3,61.2,11.1
422,74.2,53.1,55.2,60.8,11.6
423,73.7,53.5,54.4,60.5,11.4
424,72.9,53.2,54.4,60.2,11.1
425,72.2,53.6,53.5,59.8,10.8
426,72.6,53.1,54.5,60.1,10.8
427,71.8,53.5,54.2,59.9,10.4
428,72.1,52.5,54.9,59.8,10.7
429,71.0,52.9,53.6,59.2,10.3
430,71.3,52.5,53.9,59.2,10.5
431,70.0,51.5,54.0,58.5,10.1
432,70.3,52.9,53.7,59.0,9.9
433,69.9,51.8,53.6,58.4,10.0
434,69.2,52.3,53.8,58.4,9.4
435,68.2,52.2,53.3,57.9,8.9
436,69.1,52.5,53.7,58.4,9.2
437,68.6,52.3,54.1,58.3,9.0
438,69.4,51.7,53.7,58.3,9.7
439,68.3,51.8,53.2,57.8,9.2
440,69.0,52.1,53.4,58.2,9.4
441,67.9,51.9,53.2,57.6,8.9
442,68.4,51.7,53.2,57.8,9.3
443,67.7,52.5,53.2,57.8,8.5
444,67.2,52.2,52.3,57.3,8.6
445,67.0,51.7,53.4,57.4,8.4
446,65.7,51.9,52.8,56.8,7.7
447,67.1,51.6,52.6,57.1,8.7
448,65.6,52.6,52.7,57.0,7.5
449,65.8,52.2,52.4,56.8,7.8
450,65.8,51.8,52.6,56.7,7.9
451,65.2,52.7,52.0,56.6,7.4
452,65.3,52.1,52.3,56.6,7.6
453,65.0,51.5,52.9,56.5,7.4
454,65.9,51.8,52.2,56.6,8.0
455,65.3,51.8,51.5,56.2,7.9
456,65.6,52.7,52.9,57.1,7.4
457,65.3,52.2,52.0,56.5,7.7
458,64.4,51.6,51.4,55.8,7.5
459,64.8,51.3,51.3,55.8,7.8
460,64.5,51.5,52.0,56.0,7.4
461,63.8,52.2,51.0,55.7,7.1
462,63.8,51.6,51.0,55.5,7.2
463,64.0,51.3,50.7,55.3,7.5
464,63.9,51.1,51.0,55.3,7.4
465,63.6,51.6,51.4,55.5,7.0
466,64.1,52.1,50.0,55.4,7.6
467,63.9,52.3,50.9,55.7,7.1
468,63.0,52.2,50.7,55.3,6.7
469,63.5,51.9,50.9,55.4,7.0
470,62.7,50.9,50.2,54.6,7.0
471,63.1,51.8,50.1,55.0,7.1
472,62.3,51.9,49.6,54.6,6.7
473,62.7,51.8,50.0,54.8,6.9
474,62.9,51.0,50.8,54.9,6.9
475,62.1,50.9,49.5,54.1,6.9
476,62.8,50.6,50.3,54.6,7.1
477,62.7,50.9,50.1,54.6,7.0
478,62.0,50.7,50.2,54.3,6.7
479,61.1,50.1,50.5,53.9,6.2
480,61.7,49.8,50.9,54.1,6.6
481,61.6,50.4,51.3,54.4,6.2
482,61.5,50.0,51.3,54.3,6.3
483,61.7,50.3,50.7,54.3,6.4
484,61.8,49.6,50.9,54.1,6.7
485,61.4,50.0,50.0,53.8,6.6
486,60.9,49.9,51.0,53.9,6.1
487,61.3,50.5,51.1,54.3,6.0
488,62.1,50.3,51.6,54.7,6.4
489,61.3,49.3,51.7,54.1,6.4
490,61.2,49.5,51.0,53.9,6.3
491,60.6,49.9,51.4,54.0,5.8
492,61.0,49.5,51.0,53.8,6.3
493,60.9,49.8,51.3,54.0,6.0
494,60.9,49.9,51.1,54.0,6.1
495,60.8,49.7,51.5,54.0,6.0
496,60.5,49.5,50.7,53.6,6.0
497,60.5,49.5,51.6,53.9,5.9
498,61.1,48.9,51.7,53.9,6.4
499,60.8,48.9,50.9,53.5,6.4
500,60.0,49.5,52.0,53.8,5.5
501,60.3,49.4,51.4,53.7,5.8
502,59.6,49.4,51.6,53.5,5.4
503,60.6,49.1,51.1,53.6,6.1
504,59.8,49.3,51.2,53.4,5.6
505,60.0,49.7,50.7,53.5,5.7
506,60.2,49.9,51.3,53.8,5.6
507,59.7,49.4,52.0,53.7,5.4
508,59.9,49.6,51.9,53.8,5.4
509,59.8,49.5,52.1,53.8,5.3
510,59.7,49.9,51.8,53.8,5.2
511,60.4,49.7,51.8,54.0,5.7
512,59.5,49.8,52.6,53.9,5.0
513,59.6,49.6,52.2,53.8,5.2
514,59.1,49.7,51.9,53.6,4.9
515,58.8,49.9,52.5,53.7,4.6
516,58.7,49.7,52.6,53.6,4.6
517,58.9,49.8,52.5,53.7,4.6
518,59.1,49.6,52.0,53.6,5.0
519,58.4,49.3,53.1,53.6,4.6
520,58.8,49.7,52.7,53.7,4.6
521,59.2,49.4,52.2,53.6,5.1
522,58.4,49.7,52.2,53.4,4.4
523,58.9,50.1,52.6,53.9,4.6
524,58.5,49.6,52.4,53.5,4.5
525,59.7,49.8,52.4,54.0,5.1
526,59.0,50.4,52.9,54.1,4.4
527,59.4,49.8,52.2,53.8,5.0
528,59.3,50.0,53.1,54.1,4.7
529,59.2,49.0,52.5,53.6,5.2
530,59.1,50.4,52.9,54.1,4.5
531,58.6,49.5,52.8,53.6,4.6
532,59.0,49.0,52.7,53.6,5.0
533,58.8,48.8,52.8,53.5,5.0
534,59.5,49.0,52.3,53.6,5.4
535,58.4,49.0,52.5,53.3,4.7
536,58.3,49.2,52.5,53.3,4.6
537,57.5,49.1,52.8,53.1,4.2
538,58.6,49.2,52.1,53.3,4.8
539,58.1,50.1,51.7,53.3,4.2
540,57.6,48.9,52.0,52.9,4.4
541,58.8,49.0,51.4,53.1,5.1
542,58.0,49.1,52.3,53.1,4.5
543,58.8,48.9,51.7,53.1,5.1
544,57.4,48.6,51.3,52.4,4.5
545,57.9,48.5,51.9,52.8,4.7
546,58.3,48.6,51.9,52.9,4.9
547,58.2,49.0,51.0,52.7,4.8
548,57.8,49.1,51.7,52.9,4.5
549,56.6,48.9,52.1,52.5,3.9
550,58.5,48.8,51.5,52.9,5.0
551,57.6,48.2,51.8,52.5,4.8
552,57.5,49.2,51.2,52.7,4.3
553,56.7,48.8,51.9,52.5,4.0
554,57.2,48.5,50.6,52.1,4.6
555,56.7,48.0,50.8,51.9,4.4
556,57.6,49.0,51.3,52.7,4.4
557,56.7,48.3,51.3,52.1,4.3
558,56.2,48.4,51.3,52.0,4.0
559,56.2,48.6,51.8,52.2,3.8
560,55.7,48.1,51.4,51.7,3.8
561,55.8,49.3,51.4,52.2,3.3
562,55.6,48.5,51.4,51.8,3.6
563,55.1,48.3,51.6,51.7,3.4
564,56.6,48.0,51.0,51.8,4.3
565,56.0,48.9,51.0,52.0,3.6
566,55.0,48.2,51.2,51.5,3.4
567,55.4,49.3,51.6,52.1,3.1
568,55.5,48.8,50.9,51.7,3.5
569,54.9,49.2,50.8,51.6,3.0
570,55.1,48.7,51.4,51.8,3.2
571,55.6,47.9,51.0,51.5,3.9
572,54.5,48.1,51.2,51.3,3.2
573,55.3,48.5,51.0,51.6,3.5
574,56.1,47.9,50.9,51.6,4.2
575,54.7,47.8,50.8,51.1,3.4
576,55.7,47.7,50.9,51.4,4.0
577,55.3,48.5,50.5,51.5,3.5
578,54.2,47.9,50.8,50.9,3.1
579,55.4,47.8,50.7,51.3,3.8
580,54.8,47.4,50.5,50.9,3.7
581,55.0,47.7,51.1,51.3,3.7
582,55.3,47.0,50.9,51.1,4.1
583,54.4,46.4,51.0,50.6,4.0
584,54.6,47.3,50.1,50.6,3.7
585,54.8,46.9,50.9,50.9,4.0
586,53.7,48.3,50.3,50.8,2.7
587,53.8,46.6,50.4,50.3,3.6
588,53.2,47.0,50.0,50.1,3.1
589,53.0,46.9,50.5,50.1,3.1
590,53.0,47.4,49.9,50.1,2.8
591,53.1,47.0,50.6,50.2,3.1
592,53.4,46.4,50.1,50.0,3.5
593,52.4,47.1,49.8,49.7,2.6
594,52.8,47.3,49.6,49.9,2.8
595,52.7,46.8,49.7,49.8,3.0
596,52.9,47.1,50.2,50.0,2.9
597,52.6,46.4,49.3,49.4,3.1
598,52.5,46.9,49.9,49.8,2.8
599,52.1,46.9,49.7,49.6,2.6
600,51.6,46.6,50.4,49.6,2.6
601,51.8,46.6,49.7,49.4,2.6
602,52.3,46.7,49.4,49.5,2.8
603,51.9,46.6,50.0,49.5,2.7
604,50.7,47.5,49.9,49.4,1.7
605,51.0,47.0,49.6,49.2,2.0
606,51.4,47.0,49.6,49.4,2.2
607,51.5,46.4,50.2,49.4,2.7
608,51.2,47.0,49.7,49.3,2.1
609,50.8,46.6,49.8,49.1,2.2
610,50.6,46.9,49.7,49.0,1.9
611,50.7,46.8,50.1,49.2,2.1
612,50.8,46.6,49.5,49.0,2.1
613,50.8,47.2,49.7,49.2,1.8
614,50.7,46.5,49.4,48.9,2.1
615,50.4,46.3,49.9,48.9,2.2
616,50.2,46.9,48.5,48.5,1.6
617,49.9,46.4,48.9,48.4,1.8
618,49.7,47.0,48.2,48.3,1.3
619,49.5,46.8,48.8,48.3,1.4
