Time after Ignition,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
48.0,1557.7310176992148,1608.7170320708328,1586.4456209862458,1584.297890252098,25.560770251608467
48.25,1615.5334099795289,1602.8195299083927,1729.0849945476714,1649.1459781451977,69.52046780741648
48.5,1673.5309154913434,1374.965103747904,1864.2507130616384,1637.5822441002954,246.61575801530654
48.75,1832.9661942862112,1452.6241594934581,1796.9221503991394,1694.1708347262695,209.96044987557121
49.0,1856.2852221018843,1682.210038098483,1682.9446057888345,1740.4799553297337,100.29097544918794
49.25,1665.087903731063,1727.899987570225,1758.979346983595,1717.3224127616277,47.831104896651276
49.5,1717.6344142660218,1430.4436358448877,1639.0506235457237,1595.7095578855442,148.41991706625572
49.75,1907.7992364334298,1948.0891419890843,1807.3260216217236,1887.7381333480791,72.4941370501078
50.0,1608.4849839543288,1686.233099716139,1825.2611442022953,1706.6597426242542,109.82218226904239
50.25,1720.4506836289422,1514.5937774720467,1917.767531242835,1717.6039974479415,201.60195100511032
50.5,1634.267193861624,1685.5277166357746,1601.4172210150246,1640.4040438374743,42.38973418307343
50.75,1778.2591569180117,1755.9886684787195,1815.7509553400407,1783.332926912257,30.2024848181336
51.0,1843.6460995924235,1818.4516089850556,1742.7694443993387,1801.622384325606,52.50182847020478
51.25,1794.8985844342512,2054.9297703048205,1882.9258763797825,1910.918077039618,132.25629240096296
51.5,2015.3827281672702,1723.2404514976251,1929.7700743173216,1889.4644179940724,150.18384368222428
51.75,1754.6139382823956,1906.416572612383,1639.203434672398,1766.7446485223925,134.01895712968533
52.0,1818.882266891243,1715.420408598536,1978.8084037037165,1837.7036930644983,132.6988830163168
52.25,1927.3907629778648,1875.090462212504,1940.0392194525214,1914.17348154763,34.43265402289226
52.5,1501.8453264687957,1651.1210422873485,1908.3422495985421,1687.1028727848955,205.62333579376002
52.75,1943.9925414067209,1605.1025052054715,2070.7287112643958,1873.2745859588624,240.7336969749995
