Names,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
823,750.3,804.4,752.1,768.9,30.8
824,743.3,753.8,773.5,756.9,15.3
825,734.4,748.9,817.2,766.9,44.2
826,719.3,781.0,743.4,747.9,31.1
827,747.6,746.6,791.6,761.9,25.7
828,736.7,742.7,788.4,755.9,28.3
829,746.7,753.8,808.9,769.8,34.1
830,779.0,740.6,788.8,769.5,25.5
831,722.1,764.7,774.5,753.8,27.8
832,759.1,726.5,773.0,752.9,23.9
833,750.5,750.6,761.8,754.3,6.5
834,755.5,755.4,746.8,752.6,5.0
835,732.2,824.9,822.8,793.3,52.9
836,771.7,778.6,800.5,783.6,15.0
837,742.1,752.3,818.4,770.9,41.5
838,741.7,782.7,755.3,759.9,20.9
839,722.6,779.5,820.5,774.2,49.2
840,726.3,766.4,777.0,756.6,26.7
841,779.8,779.4,779.2,779.5,0.3
842,785.5,794.1,808.5,796.0,11.6
843,755.8,805.4,803.7,788.3,28.2
844,783.5,816.7,839.7,813.3,28.2
845,782.9,791.3,820.8,798.3,19.9
846,748.8,826.1,809.9,794.9,40.8
847,756.7,782.0,846.9,795.2,46.5
848,772.2,808.0,865.4,815.2,47.0
849,792.4,844.5,788.9,808.6,31.2
850,784.3,827.3,841.0,817.5,29.6
851,747.6,811.2,824.7,794.5,41.2
852,804.1,795.5,919.2,839.6,69.0
853,769.0,790.4,783.8,781.1,10.9
854,789.2,843.6,866.0,832.9,39.5
855,794.2,778.7,860.6,811.2,43.5
856,786.8,825.6,827.0,813.1,22.8
857,792.4,824.6,882.9,833.3,45.9
858,839.1,821.2,821.4,827.2,10.3
859,805.7,796.8,887.8,830.1,50.2
860,770.5,865.3,905.3,847.0,69.3
861,827.1,833.6,847.0,835.9,10.1
862,787.8,834.7,847.6,823.3,31.5
863,813.9,801.1,871.8,828.9,37.7
864,768.9,817.9,838.3,808.4,35.7
865,803.3,826.9,904.5,844.9,53.0
866,845.0,878.5,891.8,871.8,24.1
867,819.5,830.7,858.3,836.2,19.9
868,772.3,869.1,891.3,844.2,63.3
869,831.3,827.3,866.8,841.8,21.7
870,790.6,857.7,853.4,833.9,37.6
871,817.3,849.2,918.9,861.8,52.0
872,797.6,841.6,918.8,852.7,61.3
873,823.7,843.2,943.8,870.3,64.5
874,808.6,860.8,859.5,843.0,29.7
875,840.1,852.1,947.7,880.0,59.0
876,841.4,846.9,841.9,843.4,3.1
