Names,Wool_Rug_R1,Wool_Rug_R2,Wool_Rug_R3,Wool_Rug_R4,Mean,Std. Dev.
2562,111.0,26.6,22.3,56.4,54.1,40.9
2563,111.3,26.6,22.5,57.3,54.4,41.0
2564,110.9,26.4,22.1,56.9,54.1,40.9
2565,110.6,26.4,22.2,56.9,54.0,40.8
2566,111.4,26.4,21.8,56.4,54.0,41.2
2567,110.0,26.4,22.0,57.4,53.9,40.5
2568,110.7,26.5,22.3,57.0,54.1,40.8
2569,111.5,26.8,21.6,57.8,54.4,41.3
2570,109.2,26.7,21.6,58.2,53.9,40.3
2571,110.3,26.4,21.8,57.8,54.1,40.8
2572,112.5,26.6,21.6,57.2,54.5,41.8
2573,111.5,26.7,21.8,57.3,54.3,41.2
2574,111.1,27.0,21.9,56.9,54.2,40.9
2575,110.5,26.7,21.4,57.4,54.0,40.9
2576,109.8,26.6,22.0,57.9,54.1,40.4
2577,110.5,27.2,21.9,57.0,54.1,40.6
2578,109.2,27.1,21.7,57.7,53.9,40.1
2579,110.8,26.9,21.8,57.9,54.4,40.9
2580,109.4,27.0,21.3,57.7,53.8,40.3
2581,110.0,26.8,21.3,57.1,53.8,40.6
2582,110.9,26.8,21.7,57.3,54.2,41.0
2583,109.5,27.1,21.0,58.2,53.9,40.5
2584,108.8,27.1,21.4,58.5,54.0,40.0
2585,110.3,27.7,21.3,59.1,54.6,40.6
2586,110.0,27.3,21.4,59.2,54.5,40.6
2587,110.7,27.5,21.2,59.7,54.8,40.9
2588,110.5,27.4,21.5,59.8,54.8,40.8
2589,108.3,27.6,21.2,61.2,54.5,39.9
2590,109.8,27.1,21.3,61.1,54.8,40.7
2591,110.6,27.3,21.5,61.0,55.1,40.9
2592,108.7,27.4,21.3,61.5,54.7,40.1
2593,108.6,27.3,21.1,61.3,54.6,40.1
2594,109.2,27.7,21.1,62.9,55.2,40.4
2595,108.3,27.5,21.3,62.7,54.9,40.0
2596,109.3,27.1,21.2,63.4,55.3,40.6
2597,107.7,27.4,21.3,63.6,55.0,39.8
2598,107.7,26.9,21.2,64.5,55.1,40.0
2599,107.9,26.9,21.4,63.9,55.0,40.0
2600,109.0,26.9,21.1,64.2,55.3,40.6
2601,107.3,26.7,21.0,65.3,55.1,40.0
2602,109.9,26.7,20.6,66.2,55.8,41.3
2603,108.0,26.2,20.6,65.0,55.0,40.5
2604,107.4,26.5,20.6,66.2,55.2,40.3
2605,107.1,26.3,20.4,67.1,55.3,40.4
2606,107.9,25.9,20.5,67.6,55.5,40.8
2607,107.3,26.1,20.3,67.7,55.3,40.6
2608,106.2,25.8,20.4,67.8,55.1,40.1
2609,108.2,26.0,19.9,66.9,55.3,41.0
2610,108.4,25.5,20.2,67.6,55.4,41.2
2611,107.2,25.5,20.0,67.6,55.1,40.7
2612,105.7,25.5,20.0,67.7,54.7,40.1
2613,105.6,25.6,20.0,69.4,55.2,40.2
2614,104.9,25.1,20.0,68.9,54.7,40.0
2615,107.0,25.5,19.8,69.2,55.4,40.9
2616,103.5,25.1,19.8,69.3,54.4,39.5
2617,103.9,24.9,20.0,69.6,54.6,39.7
2618,103.3,25.2,19.7,70.7,54.7,39.6
2619,105.6,24.9,19.8,70.3,55.2,40.6
2620,104.1,24.7,19.9,70.4,54.8,40.0
2621,105.1,24.7,19.5,70.5,55.0,40.5
2622,104.4,24.2,20.0,71.3,55.0,40.3
2623,102.2,24.4,19.4,70.3,54.1,39.4
2624,101.9,24.0,19.7,71.6,54.3,39.5
2625,103.3,24.4,19.9,71.2,54.7,39.9
2626,102.6,24.2,19.9,71.6,54.6,39.7
2627,101.2,24.0,19.1,73.4,54.5,39.7
2628,102.8,23.9,19.4,72.6,54.7,40.1
2629,101.6,23.8,20.2,72.9,54.6,39.5
2630,103.0,23.8,20.3,73.0,55.0,40.0
2631,102.4,23.3,20.3,73.8,54.9,40.0
2632,102.5,23.8,20.3,73.8,55.1,39.9
2633,101.8,23.7,20.3,74.8,55.2,39.9
2634,101.6,23.5,20.2,73.5,54.7,39.6
2635,100.8,23.3,20.4,72.9,54.3,39.2
2636,101.2,23.0,20.5,73.5,54.6,39.5
2637,100.5,23.4,20.5,73.7,54.5,39.2
2638,101.3,23.4,21.0,73.7,54.8,39.4
2639,100.4,23.4,20.7,74.0,54.6,39.1
2640,99.8,23.8,20.7,73.9,54.5,38.8
2641,99.0,23.5,20.5,74.2,54.3,38.6
2642,98.8,24.0,20.6,75.4,54.7,38.7
2643,98.5,23.6,20.8,76.4,54.8,38.8
2644,98.5,23.9,20.7,75.2,54.6,38.5
2645,97.8,23.8,20.6,75.8,54.5,38.4
2646,97.7,24.1,21.1,74.9,54.4,37.9
2647,96.8,24.1,21.1,76.5,54.6,37.9
2648,98.2,24.7,21.1,76.8,55.2,38.3
2649,98.0,24.8,20.6,77.8,55.3,38.6
2650,96.5,24.8,20.6,77.8,54.9,38.0
2651,96.6,25.0,20.5,78.5,55.1,38.2
2652,97.6,25.2,20.3,79.3,55.6,38.7
2653,98.0,25.0,20.1,78.6,55.4,38.8
2654,98.4,24.9,19.9,78.7,55.5,39.1
2655,96.2,25.4,19.8,79.1,55.1,38.3
2656,98.1,25.4,19.2,79.8,55.6,39.3
2657,97.6,25.7,19.3,78.9,55.4,38.8
2658,97.7,25.9,19.0,80.4,55.8,39.2
2659,97.3,25.6,18.9,81.4,55.8,39.4
2660,97.9,25.6,18.4,82.0,56.0,39.8
2661,95.4,25.7,18.4,81.1,55.2,38.8
2662,97.8,25.9,18.3,80.3,55.5,39.4
2663,97.0,25.9,18.1,81.8,55.7,39.5
2664,96.0,25.8,17.8,79.9,54.9,38.9
2665,96.9,25.7,17.7,82.0,55.6,39.7
2666,96.6,25.6,17.8,82.4,55.6,39.7
2667,96.3,25.8,17.6,81.9,55.4,39.5
2668,94.6,25.6,17.5,82.2,55.0,39.1
2669,95.6,25.4,17.5,81.5,55.0,39.3
2670,95.4,25.7,17.3,82.6,55.2,39.5
2671,95.7,25.5,17.3,82.1,55.2,39.5
2672,95.3,25.0,17.0,83.6,55.2,39.9
2673,94.9,25.3,17.3,83.8,55.3,39.7
2674,95.2,25.2,17.3,83.1,55.2,39.7
2675,93.8,24.8,17.2,85.1,55.2,39.8
2676,93.8,25.4,17.0,84.4,55.2,39.5
2677,92.9,24.9,17.0,84.1,54.7,39.3
2678,93.3,25.0,17.0,85.4,55.2,39.7
2679,91.2,25.5,17.1,87.0,55.2,39.3
2680,92.6,25.5,17.0,85.0,55.0,39.3
2681,92.5,25.8,17.0,85.9,55.3,39.4
2682,92.5,25.7,16.8,85.8,55.2,39.5
2683,91.6,25.7,16.9,86.7,55.2,39.4
2684,91.7,26.0,16.9,87.8,55.6,39.6
2685,92.0,26.0,16.9,86.3,55.3,39.3
2686,93.6,25.9,17.3,88.6,56.4,40.3
2687,91.0,26.7,17.1,89.2,56.0,39.6
2688,90.4,26.9,17.2,88.6,55.8,39.2
2689,92.3,26.6,17.6,89.4,56.5,39.9
2690,90.9,27.1,17.6,90.6,56.6,39.7
2691,90.5,27.1,17.9,89.7,56.3,39.2
2692,91.6,27.3,17.8,91.0,56.9,39.9
2693,91.7,27.8,17.6,91.1,57.1,39.9
2694,90.6,27.7,18.2,92.0,57.1,39.7
2695,91.2,27.5,18.2,92.7,57.4,40.1
2696,89.7,28.0,18.6,92.1,57.1,39.2
2697,90.2,27.7,19.0,93.8,57.7,39.8
2698,90.5,27.9,18.5,93.8,57.7,40.0
2699,90.1,28.0,18.7,94.3,57.8,40.0
2700,90.1,27.8,18.8,92.4,57.3,39.4
2701,90.9,27.5,18.9,92.8,57.5,39.8
2702,91.7,27.7,19.1,94.1,58.1,40.3
2703,90.6,27.7,19.3,94.4,58.0,40.0
2704,89.9,27.3,19.5,94.9,57.9,40.0
2705,90.2,27.5,19.6,96.1,58.4,40.4
2706,91.2,27.2,19.5,96.2,58.5,40.8
2707,90.7,27.1,19.6,94.9,58.1,40.3
2708,89.4,26.3,20.0,95.8,57.9,40.3
2709,90.3,26.3,19.9,95.2,57.9,40.3
2710,89.0,26.5,20.0,97.0,58.1,40.5
2711,89.8,26.1,20.3,97.0,58.3,40.7
2712,90.4,26.4,20.4,95.2,58.1,40.2
2713,90.7,26.5,20.5,97.0,58.7,40.8
2714,90.4,26.0,20.6,97.4,58.6,40.9
2715,90.0,25.8,20.4,96.3,58.1,40.6
2716,89.9,26.1,20.7,96.8,58.4,40.5
2717,90.2,26.1,21.2,99.7,59.3,41.4
2718,90.2,25.6,20.8,98.7,58.8,41.3
2719,89.2,25.5,21.1,99.0,58.7,41.1
2720,88.2,25.2,21.3,97.4,58.0,40.3
2721,89.0,24.9,21.5,99.2,58.7,41.2
2722,87.9,24.6,21.6,98.3,58.1,40.7
2723,88.2,24.6,21.8,99.9,58.6,41.2
2724,88.8,25.2,21.8,99.2,58.7,40.9
2725,88.9,24.4,21.9,98.7,58.5,41.0
2726,88.0,24.4,22.0,101.2,58.9,41.6
2727,86.9,24.4,22.3,100.3,58.5,40.9
2728,87.4,24.8,22.4,98.6,58.3,40.4
2729,87.0,24.5,22.3,100.4,58.6,40.9
2730,87.2,24.4,22.3,100.0,58.5,40.9
2731,86.7,24.0,22.2,100.3,58.3,41.0
2732,85.4,23.9,22.3,98.6,57.6,40.1
2733,86.2,24.2,22.2,100.5,58.3,40.9
2734,86.4,23.8,22.4,101.3,58.5,41.3
2735,84.5,24.0,22.7,101.4,58.1,40.8
2736,86.9,24.2,22.2,100.6,58.5,41.1
2737,85.3,24.1,22.2,100.6,58.1,40.8
2738,85.0,23.8,22.3,104.0,58.8,42.0
2739,86.0,23.7,22.8,101.8,58.6,41.3
2740,85.0,24.2,22.9,101.7,58.4,40.9
2741,84.2,24.0,22.9,101.2,58.1,40.6
2742,84.3,23.9,22.9,102.3,58.3,41.0
2743,84.4,23.3,23.1,103.3,58.5,41.5
2744,84.5,24.3,23.2,103.4,58.8,41.3
2745,84.7,23.9,23.3,102.5,58.6,41.1
2746,84.2,24.6,23.3,102.2,58.6,40.7
2747,83.5,24.6,23.2,103.2,58.6,40.9
2748,84.5,24.4,23.3,104.6,59.2,41.6
2749,84.5,25.1,23.6,104.2,59.4,41.2
2750,83.8,24.8,23.4,103.1,58.8,40.8
2751,83.3,24.7,23.8,103.9,58.9,40.9
2752,83.7,24.8,23.4,105.1,59.3,41.5
2753,83.0,25.4,23.5,105.0,59.2,41.2
2754,81.6,24.9,23.6,103.3,58.3,40.4
2755,81.7,25.1,23.4,106.5,59.2,41.6
2756,83.5,24.8,23.6,106.3,59.5,41.9
2757,82.7,24.7,23.7,105.5,59.1,41.4
2758,82.7,25.0,23.8,106.8,59.6,41.8
2759,81.9,24.5,23.9,105.2,58.9,41.2
2760,82.0,24.7,23.5,107.6,59.5,42.1
2761,81.8,25.2,23.9,107.8,59.7,42.0
2762,81.6,25.3,23.5,108.5,59.7,42.2
2763,81.4,25.3,23.7,108.5,59.7,42.1
2764,81.7,25.3,23.9,109.5,60.1,42.5
2765,80.2,24.9,24.1,109.1,59.6,42.2
2766,80.7,25.1,24.0,110.7,60.1,42.8
2767,80.9,25.3,23.9,109.8,60.0,42.5
2768,80.7,24.9,23.6,108.0,59.3,42.0
2769,81.1,25.0,23.7,109.5,59.8,42.6
2770,79.6,25.4,23.6,111.6,60.0,43.1
2771,80.2,25.2,23.7,110.3,59.8,42.7
2772,80.6,25.6,23.3,108.7,59.6,42.1
2773,80.3,25.5,23.3,110.4,59.9,42.8
2774,79.4,25.9,23.3,110.2,59.7,42.4
2775,79.9,26.1,22.8,109.6,59.6,42.4
2776,78.4,26.1,23.3,108.3,59.0,41.5
