Time after Ignition,Nylon_R4,Nylon_R2,Nylon_R3,Mean,Std. Dev.
78.5,12.8,183.7,295.5,164.0,142.4
78.75,13.2,184.8,301.3,166.4,144.9
79.0,13.2,186.1,304.7,168.0,146.6
79.25,13.6,187.1,293.2,164.6,141.2
79.5,14.0,188.6,305.2,169.3,146.6
79.75,14.3,189.6,304.4,169.4,146.1
80.0,14.3,188.9,311.5,171.6,149.4
80.25,14.4,188.9,310.9,171.4,149.0
80.5,14.6,187.9,304.5,169.0,145.9
80.75,14.7,186.3,310.0,170.3,148.3
81.0,15.0,190.2,308.3,171.2,147.6
81.25,14.7,188.9,315.5,173.1,151.0
81.5,14.8,194.5,311.7,173.7,149.5
81.75,15.1,191.3,319.4,175.3,152.7
82.0,15.3,191.7,318.7,175.3,152.4
82.25,15.2,190.4,321.7,175.8,153.8
82.5,15.9,191.8,318.2,175.3,151.8
82.75,16.2,193.0,323.1,177.4,154.1
83.0,16.2,193.4,325.3,178.3,155.1
83.25,16.8,195.4,322.8,178.3,153.7
83.5,17.2,191.0,324.7,177.7,154.2
83.75,17.1,193.4,323.7,178.1,153.9
84.0,17.4,194.7,317.3,176.5,150.7
84.25,17.8,196.6,335.5,183.3,159.3
84.5,17.9,198.7,331.4,182.7,157.4
84.75,18.3,194.6,321.6,178.2,152.3
85.0,18.5,195.3,327.8,180.5,155.2
85.25,19.0,197.4,331.0,182.5,156.5
85.5,19.3,194.5,334.2,182.7,157.8
85.75,19.9,197.1,327.2,181.4,154.3
86.0,19.9,198.1,337.7,185.2,159.3
86.25,20.0,204.0,335.2,186.4,158.3
86.5,20.2,200.4,335.2,185.3,158.1
86.75,20.1,207.1,337.9,188.4,159.7
87.0,20.6,203.4,340.3,188.1,160.4
87.25,21.2,206.7,344.2,190.7,162.1
87.5,21.3,207.0,348.6,192.3,164.1
87.75,22.1,207.4,338.7,189.4,159.1
88.0,22.2,203.1,344.0,189.8,161.3
88.25,22.8,207.4,345.6,191.9,161.9
88.5,23.0,207.3,338.1,189.5,158.3
88.75,23.5,208.7,346.5,192.9,162.1
89.0,23.8,210.1,344.9,193.0,161.2
89.25,23.7,211.4,340.8,191.9,159.4
89.5,24.0,211.1,340.4,191.8,159.1
89.75,24.4,217.1,353.8,198.4,165.5
90.0,25.2,220.0,340.1,195.1,158.9
90.25,25.5,219.3,339.4,194.8,158.4
90.5,26.1,219.1,350.6,198.6,163.2
90.75,26.5,220.8,350.2,199.2,163.0
91.0,26.5,219.7,353.6,199.9,164.5
91.25,26.4,224.3,348.7,199.8,162.5
91.5,26.8,226.4,351.9,201.7,163.9
91.75,27.2,224.8,350.1,200.7,162.8
92.0,27.6,220.7,357.5,202.0,165.8
92.25,27.9,223.4,358.5,203.3,166.2
92.5,29.0,226.6,351.5,202.4,162.6
92.75,29.1,228.7,356.0,204.6,164.8
93.0,29.3,229.5,359.5,206.1,166.3
93.25,29.8,235.0,360.8,208.5,167.1
93.5,30.5,237.4,362.1,210.0,167.5
93.75,31.1,238.1,366.4,211.9,169.2
94.0,31.6,247.1,352.0,210.2,163.4
94.25,31.8,241.3,364.6,212.6,168.3
94.5,31.9,243.7,368.0,214.6,169.9
94.75,32.8,246.7,365.7,215.1,168.7
95.0,33.6,241.9,368.3,214.6,169.0
95.25,34.0,243.4,367.6,215.0,168.6
95.5,34.1,250.8,371.8,218.9,171.1
95.75,34.6,249.5,372.0,218.7,170.8
96.0,34.6,255.7,377.1,222.5,173.7
96.25,35.3,251.0,376.5,220.9,172.5
96.5,35.8,244.1,371.3,217.1,169.4
96.75,36.1,255.7,372.5,221.4,170.8
97.0,35.6,255.1,378.1,222.9,173.5
97.25,35.4,255.4,379.3,223.4,174.2
97.5,36.5,253.6,379.6,223.2,173.5
97.75,37.6,255.3,376.3,223.1,171.6
98.0,38.0,255.4,388.7,227.4,177.0
98.25,37.3,259.4,383.7,226.8,175.5
98.5,38.2,265.4,387.6,230.4,177.3
98.75,38.5,258.6,388.4,228.5,176.8
99.0,39.3,260.7,382.1,227.4,173.8
99.25,38.9,260.8,388.1,229.3,176.7
99.5,39.9,262.1,394.3,232.1,179.1
99.75,39.7,264.4,388.4,230.9,176.7
100.0,40.4,264.3,401.9,235.5,182.5
100.25,41.0,266.2,409.6,238.9,185.8
100.5,42.1,262.5,396.4,233.7,178.9
100.75,42.5,267.1,396.4,235.3,179.1
101.0,42.3,266.4,401.4,236.7,181.3
101.25,42.9,268.7,406.9,239.5,183.7
101.5,43.8,266.2,405.4,238.5,182.4
101.75,44.0,267.8,416.6,242.8,187.6
102.0,45.2,271.7,397.0,238.0,178.3
102.25,44.6,262.8,416.6,241.3,187.0
102.5,45.5,269.6,422.4,245.9,189.6
102.75,45.1,275.5,404.0,241.5,181.9
103.0,46.2,272.7,415.5,244.8,186.2
103.25,46.7,271.4,413.4,243.8,184.9
103.5,46.4,273.7,425.2,248.5,190.7
103.75,47.1,267.8,424.1,246.3,189.5
104.0,48.3,276.2,410.9,245.1,183.3
104.25,47.8,276.6,418.4,247.6,187.0
104.5,48.9,273.8,423.4,248.7,188.5
104.75,49.3,274.7,431.1,251.7,192.0
105.0,49.5,276.8,426.6,251.0,189.9
105.25,50.4,282.5,431.3,254.7,192.0
105.5,50.2,276.0,436.3,254.1,194.0
105.75,50.5,282.2,423.0,251.9,188.1
106.0,50.6,280.8,434.8,255.4,193.4
106.25,51.0,287.5,441.2,259.9,196.6
106.5,52.1,284.8,438.0,258.3,194.3
106.75,51.9,279.5,433.6,255.0,192.1
107.0,52.9,280.8,442.3,258.7,195.6
107.25,54.1,283.6,436.7,258.1,192.6
107.5,54.0,280.8,449.8,261.5,198.6
107.75,54.4,286.1,453.7,264.7,200.5
108.0,54.1,283.6,455.0,264.2,201.1
108.25,55.0,283.3,444.0,260.8,195.5
108.5,55.6,290.3,441.4,262.4,194.4
108.75,55.4,290.2,457.2,267.6,201.9
109.0,55.4,297.1,452.4,268.3,200.0
109.25,56.4,299.1,459.7,271.7,203.0
109.5,57.1,293.0,459.5,269.9,202.2
109.75,57.0,294.4,453.9,268.4,199.7
110.0,56.9,307.9,451.8,272.2,199.9
110.25,57.6,299.7,465.8,274.4,205.3
110.5,58.3,307.6,460.8,275.6,203.2
110.75,59.0,309.2,473.8,280.7,208.8
111.0,59.9,307.5,468.6,278.7,205.9
111.25,59.5,310.8,452.2,274.1,198.9
111.5,59.9,317.7,476.4,284.7,210.2
111.75,61.5,315.9,463.0,280.1,203.1
112.0,62.2,317.3,466.0,281.9,204.2
112.25,62.7,321.0,468.2,284.0,205.3
112.5,63.8,320.9,481.2,288.6,210.6
112.75,63.9,320.5,475.1,286.5,207.7
113.0,63.4,322.4,474.6,286.8,207.9
113.25,65.6,337.4,462.3,288.4,202.8
113.5,65.7,339.0,468.0,290.9,205.4
113.75,65.7,334.1,471.3,290.4,206.3
114.0,66.9,339.1,479.9,295.3,210.0
114.25,67.8,334.2,471.2,291.0,205.1
114.5,69.2,339.2,473.2,293.9,205.8
