Names,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
475,1733.4,1880.3,1557.8,1723.8,161.4
476,1683.4,1713.8,1732.8,1710.0,24.9
477,1766.3,1671.7,1543.0,1660.3,112.1
478,1699.3,1580.7,1723.6,1667.9,76.4
479,1754.2,1832.2,1575.7,1720.7,131.5
480,1774.6,1628.7,1660.3,1687.9,76.8
481,1795.8,1548.2,1617.0,1653.7,127.8
482,1818.6,1701.2,1672.7,1730.9,77.3
483,1650.8,1692.6,1698.1,1680.5,25.9
484,1786.9,1722.9,1606.0,1705.2,91.7
485,1809.3,1753.1,1626.6,1729.6,93.5
486,1669.3,1700.8,1573.6,1647.9,66.3
487,1667.4,1628.3,1643.9,1646.5,19.7
488,1566.4,1794.8,1653.9,1671.7,115.2
489,1804.2,1660.9,1646.7,1703.9,87.1
490,1787.0,1803.1,1672.7,1754.3,71.1
491,1686.3,1763.9,1663.0,1704.4,52.8
492,1721.0,1846.1,1669.6,1745.6,90.8
493,1808.1,1602.0,1579.3,1663.1,126.1
494,1779.4,1770.7,1642.6,1730.9,76.6
495,1700.1,1850.9,1657.4,1736.2,101.6
496,1487.1,1657.0,1553.6,1565.9,85.6
497,1554.8,1716.1,1709.5,1660.1,91.3
498,1698.8,1702.4,1673.5,1691.6,15.7
499,1635.7,1893.4,1670.4,1733.2,139.8
500,1698.2,1780.2,1648.3,1708.9,66.6
501,1687.6,1779.4,1594.3,1687.1,92.5
502,1680.3,1581.0,1707.2,1656.2,66.5
503,1656.2,1808.4,1553.1,1672.6,128.4
504,1705.0,1682.2,1625.0,1670.7,41.2
505,1584.3,1762.0,1541.8,1629.4,116.8
506,1746.7,1667.0,1568.5,1660.7,89.3
507,1702.4,1746.4,1549.2,1666.0,103.5
508,1583.6,1738.4,1662.2,1661.4,77.4
509,1711.3,1841.0,1658.3,1736.9,94.0
510,1535.4,1610.6,1503.9,1550.0,54.8
511,1581.1,1690.9,1643.6,1638.5,55.1
512,1684.1,1720.4,1687.4,1697.3,20.1
513,1662.8,1688.0,1497.2,1616.0,103.6
514,1659.6,1756.1,1601.8,1672.5,78.0
515,1610.2,1629.1,1664.8,1634.7,27.7
516,1643.9,1658.1,1614.1,1638.7,22.5
517,1588.5,1690.8,1550.7,1610.0,72.5
518,1608.1,1698.5,1557.0,1621.2,71.6
519,1615.3,1772.7,1568.7,1652.2,106.9
520,1589.9,1642.5,1499.7,1577.4,72.2
521,1532.4,1732.7,1690.7,1651.9,105.6
522,1583.4,1714.8,1659.1,1652.4,65.9
523,1623.6,1617.9,1605.5,1615.7,9.2
524,1473.5,1715.5,1529.5,1572.8,126.7
525,1506.9,1651.7,1535.0,1564.6,76.8
526,1458.4,1606.6,1674.7,1579.9,110.6
527,1571.8,1646.0,1598.6,1605.5,37.6
528,1493.2,1581.4,1519.5,1531.4,45.3
529,1470.4,1641.7,1582.2,1564.8,86.9
530,1528.2,1555.5,1545.5,1543.1,13.8
531,1446.9,1592.3,1448.4,1495.9,83.5
532,1410.6,1534.0,1586.3,1510.3,90.2
533,1431.8,1600.5,1580.6,1537.6,92.2
534,1349.5,1473.9,1447.7,1423.7,65.6
535,1365.2,1499.4,1507.2,1457.3,79.8
536,1433.8,1502.6,1559.6,1498.7,63.0
537,1374.0,1625.9,1572.6,1524.2,132.8
538,1347.0,1443.6,1467.1,1419.2,63.7
539,1334.6,1437.5,1539.0,1437.0,102.2
540,1233.4,1405.0,1534.7,1391.0,151.1
541,1290.6,1469.4,1545.7,1435.2,130.9
542,1238.5,1488.7,1480.9,1402.7,142.2
543,1263.9,1403.8,1608.5,1425.4,173.3
544,1212.2,1422.6,1472.2,1369.0,138.1
545,1166.3,1409.7,1443.5,1339.9,151.2
546,1169.1,1427.5,1547.5,1381.4,193.4
547,1146.6,1326.4,1492.4,1321.8,173.0
548,1184.6,1360.8,1430.2,1325.2,126.7
549,1122.0,1392.6,1443.2,1319.2,172.7
550,1099.9,1358.7,1398.8,1285.8,162.2
551,1079.0,1300.5,1500.7,1293.4,210.9
552,1082.7,1242.2,1493.5,1272.8,207.1
553,1093.3,1332.7,1436.3,1287.4,176.0
554,1052.8,1270.6,1368.8,1230.8,161.7
555,1062.4,1264.4,1471.7,1266.2,204.7
556,1014.7,1226.0,1485.3,1242.0,235.7
557,1063.1,1236.6,1361.0,1220.2,149.6
558,982.9,1220.6,1398.0,1200.5,208.3
559,1012.8,1199.8,1351.3,1188.0,169.6
560,991.8,1215.0,1341.8,1182.9,177.2
561,993.5,1209.6,1400.6,1201.3,203.7
562,984.3,1235.9,1372.9,1197.7,197.1
563,969.6,1292.0,1404.6,1222.1,225.8
564,970.9,1179.4,1378.6,1176.3,203.9
565,957.9,1260.6,1325.4,1181.3,196.2
566,931.4,1161.4,1333.9,1142.2,202.0
567,915.3,1190.2,1430.7,1178.7,257.9
568,905.6,1141.5,1343.7,1130.3,219.3
569,915.3,1158.6,1364.7,1146.2,225.0
570,895.6,1165.3,1313.1,1124.7,211.7
571,875.5,1153.0,1300.5,1109.6,215.8
572,847.5,1169.4,1255.2,1090.7,214.9
573,830.2,1179.4,1311.5,1107.0,248.7
574,819.8,1142.3,1340.6,1100.9,262.9
575,819.2,1115.0,1303.6,1079.3,244.2
576,791.0,1137.8,1210.5,1046.4,224.2
577,778.1,1124.2,1266.6,1056.3,251.3
578,767.7,1131.9,1300.3,1066.6,272.2
579,762.6,1103.5,1275.3,1047.1,260.9
580,731.0,1100.1,1233.8,1021.6,260.4
581,711.7,1085.4,1218.8,1005.3,262.9
582,707.0,1050.6,1220.9,992.8,261.8
583,690.7,1006.7,1202.6,966.7,258.3
584,686.9,1056.6,1141.4,961.6,241.7
585,667.9,1028.7,1147.6,948.1,249.8
586,666.2,1022.1,1151.6,946.6,251.3
587,658.1,983.6,1122.8,921.5,238.5
588,638.3,996.7,1126.2,920.4,252.7
589,632.0,994.8,1071.9,899.6,234.9
590,605.9,976.1,1053.9,878.6,239.4
591,589.1,976.9,1108.0,891.3,269.8
592,580.6,976.8,1039.6,865.7,248.8
593,560.2,937.4,1047.2,848.3,255.5
594,539.3,930.8,1035.0,835.0,261.4
595,545.0,921.1,1017.3,827.8,249.6
596,528.7,907.2,990.0,808.6,245.9
597,510.3,909.1,983.6,801.0,254.5
598,495.6,903.7,1001.8,800.4,268.5
599,477.4,903.6,953.5,778.2,261.7
600,464.1,864.3,966.9,765.1,265.7
601,451.6,872.7,923.9,749.4,259.2
602,433.9,847.0,934.7,738.5,267.4
603,415.1,839.4,918.0,724.2,270.5
604,408.7,817.6,914.6,713.6,268.5
605,390.1,814.8,898.8,701.2,272.7
606,373.7,790.9,888.7,684.5,273.5
607,354.9,789.4,875.5,673.3,279.1
608,348.6,781.3,852.2,660.7,272.6
609,334.0,756.7,843.8,644.8,272.7
610,324.3,728.8,816.1,623.1,262.4
611,307.3,717.7,829.0,618.0,274.8
612,291.8,710.4,796.9,599.7,270.1
613,280.3,698.5,785.6,588.1,270.1
614,269.3,692.0,765.0,575.4,267.6
615,252.4,677.5,743.1,557.7,266.4
616,238.9,664.4,720.4,541.2,263.3
617,228.3,646.4,723.4,532.7,266.4
618,215.1,637.9,694.5,515.9,262.0
