Time after Ignition,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
32.25,49.7747524576579,60.17106364938248,55.34462495889339,55.09681368864458,5.202583917443448
32.5,50.01999430411421,59.479264094186185,55.795766491396435,55.09834162989895,4.768044391405994
32.75,49.76866198740961,59.659953504352025,55.342917472988034,54.923844321583225,4.958944312850823
33.0,49.2304665874307,59.13630730274323,54.5258319840955,54.297535291423145,4.956864896706359
33.25,49.36632258659236,59.997564328076976,54.541655636448645,54.635180850372656,5.316237905295516
33.5,49.167081433333045,59.517348745248974,54.18661960915013,54.29034992924405,5.1759132857408785
33.75,49.07774321036343,59.995348586653094,54.583227690984195,54.55210649600024,5.4588692221631545
34.0,48.77847063641269,60.440040702440335,54.257836466582845,54.492115935145286,5.834313948808413
34.25,48.439179831552266,58.96783278887106,54.27201429144643,53.89300897062325,5.274548990086606
34.5,49.00971929416282,60.431062903308465,53.8894343023573,54.44340549994286,5.730788386021491
34.75,48.84265830054158,59.73221953605247,53.21037778682996,53.92841854114133,5.480175441454808
35.0,49.089468640387956,60.13365128454709,53.24853444311624,54.157218122683766,5.577882402087798
35.25,48.92988485759045,58.76175912295293,54.094902069529944,53.92884868335778,4.918040075860371
35.5,49.06204234133386,59.31353483035983,53.304791744487694,53.89345630539379,5.151035724695476
35.75,48.07104710360924,58.98453076065051,53.0109581152796,53.35551199317978,5.4648942729213665
36.0,48.21583479073237,59.02517715211451,53.70820307629557,53.649738339714155,5.404908340153442
36.25,47.967294742789186,58.65120073777945,52.880663787574534,53.16638642271439,5.3476807959732096
36.5,47.79277077816144,59.53933607582935,53.301957748255944,53.54468820074891,5.877043272558026
36.75,48.1180377017751,59.92013645673561,54.217029224825865,54.08506779444553,5.902155887452578
37.0,47.719202426280496,59.45325269963755,54.101789701179285,53.758081609032445,5.874571081693804
37.25,47.864964810368505,58.75223210044558,54.998586071402435,53.87192766073884,5.530385758890136
37.5,47.909163517953374,59.15939792179052,54.53318125247101,53.867247564071626,5.654603814002281
37.75,47.59996827684894,58.82477904228792,54.610552988659016,53.67843343593196,5.670161313879066
38.0,46.95296199454705,58.60412938225859,54.10887038598686,53.22198725426417,5.875997501796518
38.25,47.13255910677368,58.913072876567604,54.83340497809443,53.6263456538119,5.982296409350603
38.5,47.37067997814619,59.11372159158929,53.904287061435056,53.46289621039018,5.883950713279612
38.75,47.099705119403865,57.48002700401959,54.159972327947486,52.913234817123644,5.3012768672018495
39.0,47.209156747682655,59.14227320500961,54.19608513729168,53.51583836332798,5.995570769422029
39.25,47.19548260057292,57.42770973506435,53.95672129047771,52.85997120870499,5.20353375979795
39.5,46.80678470285596,58.40134448409576,54.61743492000061,53.27518803565078,5.912670644818298
39.75,46.47280574926484,57.83402259784672,54.24206506352073,52.84963113687743,5.80719090870755
40.0,46.77246290653838,58.41279116536101,54.73100534959053,53.305419807163304,5.949666469422408
40.25,45.72644065329909,57.826420338696906,54.55278560282721,52.701882198274404,6.258734668964551
40.5,45.370358473363446,58.41498293470315,55.64790911042825,53.144416839498284,6.873220642268084
40.75,45.8473768430724,58.0428268845467,54.37012712741536,52.75344361834482,6.256396694975421
41.0,45.16797922407924,58.363955908478154,54.05624478050808,52.52939330435515,6.729183214660804
41.25,45.20876213875624,58.145148891589045,54.31784862090569,52.557253217083655,6.645471968693154
41.5,44.915577255240926,58.32607399952586,54.179863157624155,52.473838137463645,6.866093995801358
41.75,44.5162576781385,58.043048582790234,54.05689263013014,52.20539963035296,6.950865974158194
42.0,44.494450123053056,56.9473823815727,54.31526717560802,51.919033226744595,6.563180121868058
42.25,44.765883796340816,58.10814696557467,54.4885005597259,52.4541771072138,6.899844241093716
42.5,44.516429023592664,58.14719146063153,54.366795955632604,52.34347214661893,7.037030665048905
42.75,44.262185436459006,57.05309160354059,54.587078656906655,51.96745189896874,6.7859158119556415
43.0,44.23264080548672,57.23872934761481,53.16491904486928,51.54542973265694,6.652566723881573
43.25,43.5957676535045,57.49573157824268,53.5045169832843,51.532005405010494,7.156839436655951
43.5,44.45591215587926,57.34207288887966,53.81314864591891,51.87037789689261,6.659133070200243
43.75,43.60700794821338,56.85162263372068,53.5547468548898,51.33779247894129,6.895006857912969
44.0,43.403645179316406,57.57511879811436,53.14768054845599,51.375481508628916,7.250047117753414
44.25,44.17561365254634,56.66309983055236,52.99230834436906,51.27700727582259,6.418023144106787
44.5,43.08958996009338,56.888045955848234,53.74369929166304,51.24044506920155,7.231808780892873
44.75,42.90072470829123,56.391264392627015,53.58926299523041,50.96041736538289,7.119114218274349
45.0,42.811987017640824,55.78838705689065,53.962098627940485,50.85415756749065,7.024330054964903
45.25,42.975581507499896,55.158999210931995,52.96624216266169,50.36694096036453,6.4943199635738065
45.5,42.785674268666035,55.61013853775217,53.08621987906724,50.494010895161814,6.793848799424869
45.75,42.43978091281248,56.15786663205117,53.03161302684965,50.54308685723777,7.1896481709974855
46.0,42.23912644637376,56.13028251594027,53.67612183835272,50.681843600222244,7.4138607258816185
46.25,41.63623061921942,55.03001572746811,52.273924194082014,49.64672351358985,7.072835884082847
46.5,41.80262971174231,56.91305427292389,52.0895749158653,50.2684196335105,7.718075377101887
46.75,42.49712380229286,55.96369470475491,51.845595667519035,50.102138058188935,6.900497539627677
47.0,41.64924528572683,55.6753351352865,52.40786401728383,49.91081481276572,7.338885485161804
47.25,41.44629140313807,56.555273704817736,51.49759563644506,49.83305358146695,7.690797210803988
47.5,41.134830954143276,56.362248110752105,52.2734163994789,49.92349848812476,7.880998918787103
47.75,40.57522155828154,56.31931276332365,50.91581108800442,49.27011513653654,8.000021146327015
48.0,40.81821090361096,56.09001923141787,51.170801939930854,49.35967735831989,7.795329472697399
48.25,40.808232211457714,55.96332884482151,51.141115048415664,49.304225368231634,7.742729574544343
48.5,40.254420203520205,56.6718611759193,51.42280377620551,49.44969505188167,8.384686073375333
48.75,39.8970095755076,55.96863098600078,50.24231973087752,48.7026534307953,8.145684926834718
49.0,40.16572173010331,55.40252610358059,50.01918485992017,48.52914423120135,7.726915146766443
49.25,40.12943315793068,55.37445074010578,50.07701747508569,48.526967124374046,7.73980828816276
49.5,39.149610513237036,55.195409124409736,49.58410927406873,47.97637630390517,8.142819981130073
49.75,39.34956816452417,55.47503422070541,50.18892159176663,48.33784132566541,8.220555789964896
50.0,38.78576701726289,55.31996258952351,49.575998069855224,47.89390922554721,8.394460850200554
50.25,39.26257524887041,55.71561038035733,49.56091093164694,48.17969885362489,8.313026005182541
50.5,39.03256061361507,56.154678460793185,48.924988180615095,48.03740908500779,8.595497506333368
50.75,38.89624791258287,55.228638774220755,48.2853520321121,47.470079572971905,8.196660887294444
51.0,38.40297696314945,55.22656328854993,48.076587263836416,47.235375838511935,8.443280861645126
51.25,38.562443614183636,55.120370511975565,48.21920245938025,47.30067219517982,8.317091388991974
51.5,38.02286037153394,55.60420346855456,48.18353987283369,47.27020123764073,8.826185295510783
51.75,38.00733414304033,53.93894648735679,46.97825537704583,46.30817866914765,7.986915554095014
52.0,38.32175906310331,54.05246568897457,48.349268526081204,46.9078310927197,7.963798662888796
52.25,37.751973859676454,54.057543097335504,47.55963488191214,46.45638394630803,8.208578988546483
52.5,37.42448207431039,54.85762946102264,47.16297482879247,46.4816954547085,8.736518937246815
52.75,37.23066830463935,54.25560297021283,46.78321780206246,46.08982969230488,8.533621177133787
53.0,38.0788845785272,54.12589768795243,47.55345833564472,46.586080200708125,8.06712605426997
53.25,37.61246796766019,54.36861874876633,46.779008344389034,46.25336502027185,8.390433417168193
53.5,38.0810557553978,53.071996517338334,46.77341860074289,45.97549029115967,7.527256699650167
53.75,37.39371912198367,54.12067720098026,46.42109562854995,45.978497317171296,8.37225785514599
54.0,37.321879579490236,53.81279665018956,46.531733036473995,45.88880308871793,8.26423654347223
54.25,37.92704766407316,53.05605256033297,45.775418544008005,45.586172922804714,7.566277665842156
54.5,37.84694622385729,53.62136938869468,45.815387728470796,45.76123444700759,7.887351011541173
54.75,37.81002513409148,53.41181632788333,45.99753576129714,45.739792407757314,7.804088405501995
55.0,37.41730206164496,52.49192962367726,45.02296399446171,44.977398559927984,7.537417076831701
55.25,38.11363998064813,52.762145377618054,45.55823622915181,45.47800719580599,7.324582248470417
55.5,37.397327020769396,52.87076837538736,44.51095808698648,44.92635116104774,7.745079753829775
55.75,37.86104543702051,52.877476239663224,44.09296702726623,44.94382956798332,7.5442874951870635
56.0,38.06561730381961,52.55900295452725,44.801492223324345,45.1420374938904,7.252691584233625
56.25,37.221840796607104,52.59714088246114,43.89310094322008,44.57069420742945,7.710013790927498
56.5,38.15158494329646,52.28262276598746,44.434000629673875,44.95606944631927,7.079969941572212
56.75,37.900407311342164,52.46674651267657,43.587705667694365,44.651619830571036,7.3412188662074405
57.0,38.56209097148971,51.81465495760643,44.38302992558913,44.91992528489508,6.642575217614226
