Names,Excelsior_R1,Excelsior_R2,Excelsior_R3,Mean,Std. Dev.
379,125.1,140.1,147.7,137.7,11.5
380,124.7,139.8,148.9,137.8,12.2
381,124.5,138.1,144.3,135.6,10.1
382,124.6,134.6,143.6,134.3,9.5
383,125.2,136.8,144.3,135.5,9.6
384,126.7,136.3,142.1,135.0,7.8
385,127.4,136.8,143.9,136.0,8.3
386,124.6,137.0,141.8,134.5,8.8
387,124.2,137.0,138.4,133.2,7.8
388,122.5,136.7,139.1,132.8,9.0
389,122.9,135.0,138.4,132.1,8.1
390,122.6,135.6,138.4,132.2,8.4
391,121.9,136.2,137.3,131.8,8.6
392,122.9,138.6,135.2,132.2,8.3
393,121.7,136.7,135.1,131.2,8.2
394,121.9,133.1,134.5,129.9,6.9
395,120.3,134.5,134.0,129.6,8.1
396,122.2,136.0,133.0,130.4,7.3
397,120.7,134.6,131.7,129.0,7.3
398,119.6,134.9,131.2,128.6,8.0
399,119.4,132.1,130.7,127.4,7.0
400,118.2,133.1,128.6,126.6,7.6
401,117.9,133.2,126.2,125.8,7.7
402,119.0,131.9,125.9,125.6,6.5
403,116.8,131.4,125.4,124.5,7.3
404,118.2,131.2,121.9,123.8,6.7
405,116.8,131.0,122.3,123.4,7.2
406,117.3,130.5,119.9,122.6,7.0
407,115.6,132.0,119.9,122.5,8.5
408,115.7,131.1,116.8,121.2,8.6
409,115.2,129.9,117.7,120.9,7.9
410,115.1,129.6,116.2,120.3,8.1
411,117.3,128.8,115.4,120.5,7.2
412,115.2,128.9,114.3,119.5,8.2
413,112.9,129.1,111.0,117.7,9.9
414,111.9,128.4,111.9,117.4,9.5
415,113.5,126.2,111.3,117.0,8.1
416,112.6,128.9,109.3,116.9,10.5
417,109.8,126.4,107.0,114.4,10.5
418,112.2,127.1,107.9,115.7,10.1
419,112.1,126.7,107.2,115.4,10.2
420,110.1,126.3,105.4,114.0,11.0
421,107.6,126.4,103.5,112.5,12.2
422,107.9,127.4,102.7,112.7,13.0
423,108.3,123.9,104.2,112.1,10.4
424,109.6,124.9,99.4,111.3,12.8
425,107.4,124.6,100.3,110.8,12.5
426,106.8,124.0,98.9,109.9,12.8
427,108.4,123.7,99.1,110.4,12.4
428,107.2,123.3,97.6,109.3,13.0
429,104.1,122.9,95.4,107.5,14.0
430,106.0,121.5,94.9,107.5,13.4
431,106.4,123.2,94.3,108.0,14.5
432,103.6,121.6,93.5,106.2,14.3
433,104.3,122.3,91.1,105.9,15.6
434,102.1,121.5,89.8,104.5,16.0
435,102.9,122.9,88.6,104.8,17.2
436,101.1,119.4,87.8,102.8,15.9
437,103.6,120.2,86.0,103.3,17.1
438,101.2,121.4,85.7,102.8,17.9
439,100.1,120.7,85.1,102.0,17.9
440,99.8,118.4,81.9,100.0,18.2
441,99.8,119.4,81.4,100.2,19.0
442,98.3,119.1,80.2,99.2,19.5
443,100.2,118.4,80.5,99.7,18.9
444,99.1,118.8,78.9,98.9,20.0
445,96.9,118.9,77.9,97.9,20.5
446,96.4,115.5,76.2,96.0,19.7
447,97.6,116.1,76.1,96.6,20.0
448,96.2,115.1,75.7,95.6,19.7
449,94.7,115.3,73.8,94.6,20.7
450,94.2,115.4,72.8,94.2,21.3
451,93.5,115.0,72.4,93.6,21.3
452,93.3,113.0,71.3,92.5,20.9
453,91.5,111.8,71.5,91.6,20.1
454,91.6,113.4,69.1,91.3,22.1
455,90.7,112.8,67.4,90.3,22.7
456,90.3,112.0,68.0,90.1,22.0
457,88.5,113.3,66.2,89.3,23.6
458,87.1,112.5,65.5,88.4,23.5
459,86.4,110.8,64.9,87.4,23.0
460,85.7,112.2,64.5,87.5,23.9
461,84.6,109.8,63.4,85.9,23.2
462,84.5,113.1,63.1,86.9,25.1
463,84.0,110.6,61.1,85.2,24.8
464,83.6,108.3,60.4,84.1,24.0
465,82.3,108.1,58.7,83.1,24.7
466,83.3,106.5,59.4,83.1,23.6
467,81.6,108.1,57.7,82.5,25.2
468,80.7,107.6,57.4,81.9,25.1
469,80.8,105.0,56.4,80.7,24.3
470,78.5,104.6,56.1,79.7,24.2
471,78.8,104.3,55.8,79.6,24.3
472,77.4,102.1,55.8,78.4,23.2
473,77.6,100.3,53.9,77.3,23.2
474,77.6,98.7,54.5,76.9,22.1
475,76.4,98.3,54.2,76.3,22.0
476,75.4,98.6,53.1,75.7,22.7
477,75.0,96.6,51.9,74.5,22.3
478,74.6,95.6,52.3,74.2,21.7
479,73.0,93.8,51.8,72.9,21.0
480,73.2,93.6,51.2,72.7,21.2
481,72.0,91.6,50.2,71.3,20.7
482,71.1,91.8,50.2,71.0,20.8
483,71.8,90.2,50.4,70.8,19.9
484,70.1,90.6,49.8,70.2,20.4
485,70.0,89.3,49.1,69.5,20.1
486,69.8,89.0,49.1,69.3,20.0
487,69.9,87.2,49.2,68.8,19.0
488,68.4,86.8,47.9,67.7,19.4
489,69.0,85.9,47.6,67.5,19.2
490,68.5,83.9,47.2,66.5,18.4
491,68.2,84.0,47.2,66.4,18.5
492,67.5,85.0,46.3,66.3,19.4
493,68.2,83.0,46.4,65.9,18.4
494,66.7,82.1,45.6,64.8,18.3
495,68.2,82.6,45.4,65.4,18.8
496,66.3,81.1,45.7,64.4,17.8
497,66.1,79.0,44.4,63.2,17.5
498,66.5,78.8,44.8,63.4,17.2
499,66.1,77.6,44.4,62.7,16.9
500,64.9,77.8,44.0,62.2,17.1
501,65.3,76.1,43.9,61.8,16.4
502,64.7,76.5,44.2,61.8,16.4
503,63.0,74.9,42.8,60.2,16.2
504,62.7,74.1,42.4,59.7,16.0
505,62.6,73.3,42.8,59.6,15.5
506,61.2,73.1,42.6,59.0,15.4
507,59.6,72.5,41.9,58.0,15.3
508,60.7,70.8,42.0,57.8,14.6
509,60.2,70.6,42.2,57.7,14.3
510,58.8,70.3,41.6,56.9,14.4
511,57.7,68.9,41.3,56.0,13.9
512,57.8,67.9,41.3,55.7,13.5
513,57.2,67.2,40.6,55.0,13.4
514,56.4,68.6,41.1,55.4,13.8
515,56.1,66.5,40.2,54.3,13.3
516,55.1,66.5,41.3,54.3,12.6
517,55.9,66.5,40.5,54.3,13.0
518,54.7,65.0,40.4,53.4,12.4
519,54.1,65.1,40.2,53.1,12.5
520,54.3,63.6,40.2,52.7,11.8
521,54.2,62.7,40.3,52.4,11.3
522,54.1,62.9,39.0,52.0,12.1
523,53.4,60.8,40.2,51.4,10.4
524,53.3,62.6,39.2,51.7,11.8
525,53.3,61.2,40.0,51.5,10.7
526,52.5,60.5,39.8,50.9,10.4
527,52.0,60.8,39.7,50.8,10.6
528,51.2,60.1,38.2,49.8,11.0
529,50.4,59.3,38.4,49.4,10.5
530,51.2,59.2,37.8,49.4,10.8
531,50.5,59.0,38.1,49.2,10.5
532,49.6,57.8,37.7,48.4,10.1
533,50.0,57.5,37.4,48.3,10.2
534,48.8,57.3,37.2,47.8,10.1
535,49.1,56.0,37.0,47.4,9.6
536,47.8,56.1,37.0,47.0,9.6
537,47.4,55.8,36.8,46.7,9.5
538,47.7,54.7,36.5,46.3,9.2
539,47.1,55.1,36.3,46.2,9.4
540,46.6,55.0,35.9,45.8,9.6
541,46.9,53.1,36.0,45.3,8.7
542,45.7,53.4,36.2,45.1,8.7
543,45.9,52.9,35.7,44.9,8.6
544,45.5,52.4,35.8,44.6,8.4
545,45.5,51.6,35.3,44.1,8.2
546,44.9,51.9,34.8,43.9,8.6
547,45.6,51.2,35.3,44.0,8.0
548,44.7,50.9,34.6,43.4,8.2
549,44.9,50.7,33.9,43.2,8.5
550,45.2,50.4,,47.8,3.7
551,44.3,50.6,,47.4,4.4
552,44.0,49.3,,46.6,3.8
553,44.3,49.5,,46.9,3.6
554,43.9,49.0,,46.5,3.6
555,44.0,49.2,,46.6,3.7
556,43.3,49.4,,46.4,4.3
557,42.7,48.4,,45.5,4.1
558,43.2,47.8,,45.5,3.2
559,42.5,48.1,,45.3,4.0
560,41.8,47.7,,44.7,4.2
561,41.2,47.5,,44.4,4.4
562,42.2,47.3,,44.7,3.6
563,41.8,46.4,,44.1,3.2
564,41.5,46.3,,43.9,3.4
565,41.3,46.9,,44.1,4.0
566,40.7,46.3,,43.5,4.0
567,40.3,45.9,,43.1,4.0
568,40.2,46.6,,43.4,4.5
569,40.3,45.9,,43.1,4.0
570,40.1,46.1,,43.1,4.2
571,39.8,45.4,,42.6,3.9
572,39.5,45.2,,42.4,4.0
573,39.1,45.4,,42.2,4.5
574,38.7,44.6,,41.6,4.2
575,38.5,44.7,,41.6,4.4
576,38.6,44.0,,41.3,3.8
577,38.7,44.4,,41.5,4.0
578,38.5,44.2,,41.4,4.0
579,38.1,43.9,,41.0,4.1
580,37.9,43.7,,40.8,4.1
581,37.3,43.5,,40.4,4.4
582,37.7,42.5,,40.1,3.4
583,37.6,43.3,,40.4,4.1
584,38.0,42.9,,40.5,3.5
585,38.1,43.1,,40.6,3.5
586,37.4,42.1,,39.7,3.4
587,37.1,42.0,,39.5,3.4
588,37.7,42.2,,40.0,3.2
589,38.0,41.6,,39.8,2.6
590,37.5,42.0,,39.8,3.2
591,36.8,41.6,,39.2,3.4
592,37.5,41.8,,39.7,3.0
593,37.3,41.2,,39.2,2.7
594,36.4,40.4,,38.4,2.8
595,36.9,41.4,,39.2,3.2
596,37.5,40.7,,39.1,2.3
597,36.7,40.1,,38.4,2.4
598,36.8,41.2,,39.0,3.1
599,36.3,40.3,,38.3,2.9
600,36.0,40.6,,38.3,3.3
601,35.9,40.4,,38.2,3.2
602,36.5,40.0,,38.2,2.4
603,36.3,40.0,,38.2,2.6
604,36.0,39.1,,37.6,2.2
605,35.9,38.9,,37.4,2.1
606,35.6,38.9,,37.2,2.4
607,35.6,38.8,,37.2,2.2
608,35.6,38.4,,37.0,1.9
609,35.0,38.3,,36.6,2.3
610,35.4,38.2,,36.8,2.0
611,35.2,38.3,,36.7,2.2
612,35.1,38.4,,36.8,2.3
613,34.8,37.5,,36.2,1.9
614,34.9,37.4,,36.2,1.8
615,34.9,37.7,,36.3,2.0
616,34.3,36.7,,35.5,1.7
617,34.7,37.1,,35.9,1.7
618,34.5,36.6,,35.5,1.5
619,34.8,36.6,,35.7,1.3
620,34.0,36.5,,35.2,1.7
621,34.4,36.4,,35.4,1.4
622,33.5,36.1,,34.8,1.9
623,33.5,35.6,,34.5,1.5
624,33.3,35.7,,34.5,1.7
625,33.1,35.8,,34.4,1.9
626,33.0,35.9,,34.4,2.1
627,32.6,35.4,,34.0,2.0
628,32.3,35.1,,33.7,2.0
629,32.6,35.2,,33.9,1.9
630,32.2,34.6,,33.4,1.7
631,32.6,34.9,,33.7,1.6
632,32.2,34.3,,33.2,1.5
633,31.6,34.9,,33.3,2.3
634,31.5,34.2,,32.9,1.9
635,31.5,34.5,,33.0,2.1
636,31.3,34.4,,32.9,2.2
637,31.3,34.1,,32.7,2.0
638,30.9,34.3,,32.6,2.4
639,31.0,33.5,,32.3,1.7
640,31.5,34.2,,32.9,1.9
641,31.0,33.2,,32.1,1.6
642,31.0,33.5,,32.2,1.8
643,31.3,33.6,,32.5,1.6
644,30.7,33.4,,32.1,1.9
645,31.5,33.8,,32.7,1.6
646,31.1,33.4,,32.3,1.6
647,31.1,33.8,,32.5,1.9
648,30.8,32.8,,31.8,1.4
649,31.0,33.2,,32.1,1.6
650,30.6,33.2,,31.9,1.9
651,30.1,33.5,,31.8,2.4
652,30.3,33.0,,31.6,1.9
653,30.1,33.1,,31.6,2.1
654,30.4,32.8,,31.6,1.7
655,29.9,33.1,,31.5,2.2
656,29.5,32.4,,31.0,2.1
657,29.7,32.4,,31.0,1.9
658,30.0,32.8,,31.4,2.0
659,30.1,32.2,,31.1,1.5
660,29.5,32.3,,30.9,1.9
661,29.7,31.9,,30.8,1.6
662,29.8,32.1,,30.9,1.6
663,29.2,31.7,,30.4,1.8
