Time after Ignition,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Luan_Panel_R4,Mean,Std. Dev.
54.25,255.56813302755825,199.10094429181902,186.31111944948685,197.65971503870904,209.65997795189327,31.135335754502613
54.5,252.47558429888738,192.13407821364046,188.2206681944227,199.55248890473172,208.09570490292057,29.957474557135967
54.75,252.38172427142374,195.85492346675764,189.0535540157338,201.5698900283916,209.7150229455767,28.900918371620847
55.0,255.5723899097998,194.37931776917983,191.78955573450278,197.49032413413923,209.8078968869054,30.59854621622036
55.25,254.9718641371413,194.08141825313612,190.04025641790832,199.5767565532837,209.66757384036737,30.454682989687125
55.5,254.29131082078456,196.9501484547569,189.25975611701014,202.32973183868054,210.70773680780806,29.546607272872997
55.75,251.42283200425982,196.70076361682683,190.08690958541976,198.1281584566211,209.0846659157819,28.441994451726174
56.0,258.64818204829754,194.1313278777739,188.03891245735053,202.09045102126387,210.72721835117147,32.46123491442694
56.25,256.42129941117344,193.02148762655784,190.48200391651787,206.47086787433884,211.598914707147,30.69412404760458
56.5,259.7708524552237,196.04276895138875,192.28401297536044,204.72039578236587,213.2045075410847,31.47801876067672
56.75,260.24717823606346,194.27437977254348,196.63800985755552,206.01843206403788,214.29449998255006,31.052100281193507
57.0,259.3980578330063,193.96859882453444,193.91076101643472,204.00045430625434,212.81946799505744,31.41249486973169
57.25,265.07761679746,192.75205030660126,195.39544649246403,206.18636190496738,214.85286887537316,33.983678014119086
57.5,262.9559667055193,194.1637049495235,195.22694338414166,206.3559481164505,214.67564078890874,32.65577284033939
57.75,269.1373355938087,192.85581119302074,196.72002105916468,205.30359532023854,216.00419079155816,35.80205068765146
58.0,259.5689511915451,195.05399935300224,197.8064693787382,209.07207884222782,215.37537469137837,30.080051373879485
58.25,267.4090075170351,194.04898169532638,197.68027370794331,206.00441638338867,216.28566982592338,34.4476941306355
58.5,269.82664662584773,190.50519060620127,198.46947757088222,206.02223792351097,216.20588818161053,36.30426322958746
58.75,268.11221197117027,194.76494461279523,198.39904276835136,210.73557056547688,218.00294247944845,34.09824537158922
59.0,266.9788833511663,192.00465301025807,200.10254272819162,210.08307096349563,217.29228751327793,33.93956586716082
59.25,263.3943134045546,192.82533035163735,201.59087541434477,210.8996332389629,217.1775381023749,31.682679205373056
59.5,265.0626907375489,194.72087165118162,205.79523738105675,211.46584746994742,219.26116180993367,31.316150995752643
59.75,276.86074751265545,194.87675990110907,203.6585119662076,208.6392041144866,221.00880587361468,37.666797748648584
60.0,267.01484641082806,194.03658114841366,206.40893747202549,213.35627597564283,220.2041602517275,32.21378703502716
60.25,268.4536503037033,196.649430301512,206.59403586232264,208.26571322518845,219.99070742318156,32.71298594423823
60.5,268.4304062986206,194.0000420338178,209.73215142144102,212.9659531808357,221.28213823367878,32.50555380125104
60.75,267.1392996526673,191.98418249156177,206.3030203101265,212.91505130421777,219.58538843964334,32.884219832987895
