Names,Polyisocyanurate_Foam_Board_R1,Polyisocyanurate_Foam_Board_R2,Polyisocyanurate_Foam_Board_R3,Polyisocyanurate_Foam_Board_R4,Mean,Std. Dev.
378,48.4,,37.0,37.5,41.0,6.4
379,47.6,,37.2,37.6,40.8,5.9
380,47.3,,37.0,37.4,40.6,5.8
381,47.5,,37.4,37.3,40.7,5.8
382,46.3,,36.9,37.5,40.3,5.2
383,46.6,,36.8,37.4,40.3,5.5
384,46.8,,36.8,37.1,40.2,5.7
385,45.7,,36.7,37.7,40.1,4.9
386,45.9,,36.8,36.6,39.7,5.3
387,45.4,,36.5,36.3,39.4,5.2
388,44.9,,36.3,35.9,39.0,5.1
389,44.7,,36.5,35.7,39.0,5.0
390,44.8,,36.7,36.5,39.3,4.7
391,44.1,,36.4,35.7,38.8,4.7
392,44.4,,36.4,35.3,38.7,5.0
393,43.7,,36.9,34.9,38.5,4.7
394,42.9,,36.5,35.5,38.3,4.0
395,43.5,,36.4,34.7,38.2,4.7
396,43.5,,36.3,34.5,38.1,4.7
397,42.9,,35.9,34.7,37.8,4.4
398,42.5,,36.0,34.9,37.8,4.1
399,41.9,,36.2,34.7,37.6,3.8
400,42.1,,36.1,34.1,37.4,4.2
401,42.0,,35.8,34.5,37.4,4.0
402,41.6,,35.6,34.2,37.1,3.9
403,41.7,,36.0,33.6,37.1,4.2
404,41.6,,35.9,33.9,37.1,4.0
405,40.8,,35.4,34.4,36.8,3.4
406,40.5,,34.7,34.2,36.5,3.5
407,40.5,,35.6,35.0,37.0,3.0
408,39.4,,35.2,34.1,36.2,2.8
409,39.6,,35.4,33.9,36.3,3.0
410,39.7,,35.4,33.9,36.3,3.0
411,38.8,,35.5,33.9,36.1,2.5
412,38.7,,35.0,34.1,35.9,2.4
413,38.7,,35.2,34.1,36.0,2.4
414,38.3,,35.6,33.9,35.9,2.2
415,37.9,,35.3,33.9,35.7,2.0
416,37.5,,34.9,33.4,35.3,2.0
417,37.1,,34.9,33.8,35.3,1.7
418,37.0,,35.6,33.2,35.3,1.9
419,37.0,,35.8,33.6,35.5,1.8
420,36.8,,35.6,33.0,35.1,1.9
421,35.8,,35.0,33.2,34.7,1.3
422,35.8,,35.6,33.2,34.9,1.4
423,35.5,,34.8,33.1,34.5,1.2
424,35.6,,35.5,33.3,34.8,1.3
425,35.5,,35.2,32.8,34.5,1.5
426,35.1,,35.7,32.9,34.6,1.5
427,35.6,,35.6,32.6,34.6,1.7
428,35.0,,35.5,32.9,34.4,1.4
429,34.4,,34.9,32.6,34.0,1.2
430,34.2,,35.0,32.5,33.9,1.3
431,34.3,,35.6,32.1,34.0,1.7
432,34.1,,34.9,32.2,33.8,1.4
433,33.8,,35.1,32.4,33.7,1.3
434,33.7,,35.0,32.4,33.7,1.3
435,33.4,,35.1,31.9,33.4,1.6
436,33.3,,35.4,32.6,33.8,1.5
437,33.1,,35.4,31.9,33.5,1.8
438,33.0,,35.2,32.1,33.4,1.6
439,32.9,,35.2,31.9,33.3,1.7
440,32.7,,34.8,31.9,33.1,1.5
441,32.5,,35.1,31.5,33.0,1.9
442,31.8,,35.4,31.8,33.0,2.1
443,32.0,,35.0,31.5,32.8,1.9
444,31.8,,35.2,31.4,32.8,2.1
445,31.8,,35.9,30.9,32.9,2.6
446,31.7,,35.0,30.8,32.5,2.2
447,31.5,,35.2,30.9,32.6,2.3
448,31.5,,35.2,30.7,32.4,2.4
449,31.5,,35.5,30.5,32.5,2.6
450,31.6,,35.2,30.6,32.5,2.4
451,31.6,,35.6,30.0,32.4,2.9
452,30.9,,35.2,30.2,32.1,2.7
453,31.0,,35.3,30.0,32.1,2.8
454,30.0,,35.4,30.1,31.8,3.1
455,30.3,,35.2,29.9,31.8,2.9
456,30.2,,35.1,30.5,31.9,2.8
457,30.3,,35.4,30.3,32.0,3.0
458,29.9,,35.3,30.1,31.7,3.1
459,29.6,,34.9,30.2,31.5,2.9
460,29.3,,36.0,29.6,31.7,3.8
461,29.3,,35.3,29.9,31.5,3.3
462,29.3,,35.2,30.0,31.5,3.2
463,28.8,,35.2,30.1,31.4,3.4
464,29.2,,35.5,29.7,31.5,3.5
465,28.9,,35.0,29.8,31.3,3.3
466,29.0,,34.8,30.2,31.3,3.1
467,28.6,,35.2,29.7,31.1,3.5
468,28.5,,34.9,29.6,31.0,3.4
469,28.0,,35.1,29.5,30.9,3.7
470,28.3,,34.6,29.1,30.7,3.4
471,27.9,,34.7,29.2,30.6,3.6
472,27.9,,34.4,29.1,30.5,3.5
473,27.9,,34.8,29.1,30.6,3.7
474,27.8,,34.9,28.9,30.6,3.8
475,27.7,,34.6,28.8,30.4,3.7
476,27.3,,34.7,28.8,30.3,3.9
477,27.4,,34.2,28.9,30.2,3.6
478,27.5,,34.5,28.9,30.3,3.7
479,27.1,,34.8,28.8,30.3,4.1
480,27.4,,33.9,28.5,29.9,3.5
481,27.0,,34.7,28.5,30.1,4.1
482,27.0,,34.3,28.6,30.0,3.9
483,27.2,,34.5,28.5,30.1,3.9
484,27.2,,34.3,28.7,30.1,3.7
485,27.1,,34.3,28.1,29.8,3.9
486,26.6,,34.2,28.4,29.7,4.0
487,26.9,,34.0,28.8,29.9,3.7
488,26.8,,34.4,28.3,29.8,4.0
489,27.0,,34.1,28.7,29.9,3.7
490,26.5,,33.9,28.7,29.7,3.8
491,26.5,,34.4,28.6,29.8,4.1
492,26.5,,34.2,28.3,29.7,4.0
493,26.6,,34.4,28.5,29.8,4.0
494,26.6,,34.0,28.4,29.7,3.9
495,26.7,,34.2,28.0,29.6,4.0
496,26.7,,34.3,28.5,29.8,4.0
497,26.3,,34.1,28.3,29.6,4.1
498,26.5,,34.2,28.7,29.8,3.9
499,27.1,,34.6,28.3,30.0,4.0
500,26.5,,33.9,27.9,29.4,3.9
501,26.8,,34.2,28.6,29.9,3.9
502,26.9,,34.2,28.4,29.8,3.8
503,26.4,,33.7,28.2,29.4,3.8
504,27.0,,34.6,28.1,29.9,4.1
505,26.3,,34.4,28.2,29.6,4.2
506,26.5,,34.4,28.0,29.6,4.2
507,26.5,,34.1,28.0,29.5,4.0
508,26.4,,33.6,28.1,29.4,3.8
509,26.4,,34.3,27.9,29.6,4.2
