Names,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Mean,Std. Dev.
384,622.7,673.1,645.4,647.1,25.3
385,644.7,682.7,620.8,649.4,31.2
386,651.9,668.5,643.9,654.8,12.5
387,631.5,684.2,649.6,655.1,26.8
388,641.7,707.2,647.3,665.4,36.3
389,636.0,671.4,630.8,646.0,22.1
390,629.9,698.0,640.7,656.2,36.6
391,594.6,685.3,648.4,642.8,45.6
392,641.2,691.2,661.6,664.6,25.1
393,623.8,691.8,651.1,655.6,34.2
394,638.7,693.9,648.0,660.2,29.6
395,638.6,692.9,647.9,659.8,29.0
396,624.0,706.7,642.3,657.7,43.4
397,635.6,701.3,657.5,664.8,33.4
398,661.5,690.5,644.2,665.4,23.4
399,615.1,687.0,659.1,653.8,36.3
400,638.0,700.0,664.0,667.3,31.1
401,651.7,693.7,643.0,662.8,27.1
402,625.1,694.7,652.7,657.5,35.0
403,641.8,687.8,642.8,657.5,26.3
404,636.2,682.7,653.7,657.5,23.5
405,644.5,681.5,664.8,663.6,18.5
406,649.4,676.1,647.7,657.7,15.9
407,642.5,690.5,635.3,656.1,30.0
408,630.4,670.9,642.0,647.8,20.8
409,657.9,693.3,638.6,663.2,27.7
410,633.7,674.0,652.1,653.2,20.2
411,651.7,662.4,654.4,656.2,5.6
412,634.6,658.4,638.1,643.7,12.8
413,639.8,663.0,639.1,647.3,13.6
414,662.0,680.1,653.6,665.3,13.5
415,657.3,660.4,631.4,649.7,15.9
416,653.9,659.6,635.2,649.5,12.7
417,649.3,662.4,646.7,652.8,8.4
418,647.8,645.5,639.3,644.2,4.4
419,646.9,640.6,636.4,641.3,5.3
420,647.0,688.8,627.7,654.5,31.2
421,669.1,662.2,653.9,661.7,7.6
422,666.1,682.6,620.4,656.3,32.2
423,665.2,659.1,650.9,658.4,7.2
424,671.7,679.3,636.3,662.4,23.0
425,665.6,670.0,628.3,654.6,22.9
426,672.7,656.5,631.0,653.4,21.0
427,685.6,664.4,653.9,668.0,16.1
428,651.9,662.7,621.1,645.2,21.5
429,655.5,663.4,657.1,658.7,4.2
430,656.4,660.9,627.7,648.3,18.0
431,660.0,660.0,622.3,647.4,21.7
432,658.6,672.5,643.1,658.1,14.7
433,670.5,641.6,626.3,646.1,22.5
434,669.5,675.8,636.8,660.7,20.9
435,671.8,673.9,635.2,660.3,21.7
436,666.9,661.3,637.3,655.2,15.7
437,668.1,675.3,630.4,657.9,24.2
438,666.1,683.5,636.3,662.0,23.9
439,655.9,686.3,646.5,662.9,20.8
440,668.0,685.1,641.1,664.8,22.2
441,664.7,681.0,636.7,660.8,22.4
442,678.5,682.3,630.5,663.8,28.9
443,662.1,679.2,624.9,655.4,27.8
444,680.1,686.9,628.7,665.3,31.8
445,672.4,685.2,657.7,671.7,13.8
446,654.3,690.7,640.5,661.8,25.9
447,662.6,693.6,643.4,666.5,25.4
448,676.2,682.6,650.4,669.7,17.1
449,672.9,682.5,647.6,667.6,18.0
450,659.1,683.1,663.1,668.4,12.8
451,669.7,679.1,647.6,665.4,16.2
452,673.5,671.7,666.4,670.5,3.7
453,659.0,687.9,654.3,667.1,18.2
454,666.0,692.3,644.3,667.5,24.0
455,665.1,690.9,643.9,666.6,23.6
456,676.4,695.6,658.7,676.9,18.5
457,668.9,677.3,643.0,663.1,17.9
458,653.7,676.9,657.5,662.7,12.4
459,663.2,680.6,660.8,668.2,10.8
460,677.8,665.3,661.2,668.1,8.7
461,669.8,666.9,645.6,660.8,13.2
462,664.0,679.3,656.3,666.5,11.7
463,661.1,671.3,650.4,660.9,10.5
464,681.8,675.7,646.6,668.1,18.8
465,671.0,668.8,661.4,667.1,5.0
466,680.6,661.3,639.6,660.5,20.5
467,673.0,663.3,663.4,666.6,5.5
468,671.6,664.1,668.9,668.2,3.8
469,681.0,660.5,659.0,666.8,12.3
470,681.5,659.6,654.5,665.2,14.3
471,676.6,656.9,659.0,664.1,10.8
472,668.8,658.8,655.2,661.0,7.1
473,674.7,654.8,658.7,662.7,10.5
474,694.1,650.4,654.1,666.2,24.2
475,677.8,644.0,671.4,664.4,18.0
476,674.5,641.0,664.0,659.9,17.1
477,677.3,623.5,664.4,655.1,28.1
478,679.2,633.0,653.9,655.4,23.1
479,677.1,620.4,662.1,653.2,29.4
480,682.3,612.2,667.6,654.1,37.0
481,678.5,606.0,656.9,647.1,37.2
482,678.5,606.0,652.2,645.6,36.7
483,678.5,601.7,657.3,645.8,39.7
484,676.2,578.5,650.7,635.1,50.7
485,674.9,585.4,641.8,634.0,45.3
486,676.7,562.1,663.1,634.0,62.6
487,683.1,549.4,651.2,627.9,69.8
488,672.5,533.4,645.6,617.1,73.8
489,668.9,513.2,648.8,610.3,84.7
490,663.2,513.3,658.8,611.8,85.3
491,666.2,490.8,644.9,600.6,95.7
492,663.9,472.6,640.8,592.4,104.4
493,658.8,461.8,636.3,585.7,107.8
494,651.6,446.1,623.4,573.7,111.4
495,647.6,432.3,624.3,568.1,118.1
496,650.5,409.8,625.4,561.9,132.3
497,647.1,396.3,617.0,553.5,137.0
498,637.3,386.4,605.9,543.2,136.7
499,631.6,371.7,609.8,537.7,144.1
500,628.3,362.0,589.3,526.6,143.8
501,630.6,347.5,582.4,520.2,151.5
502,605.5,338.9,580.1,508.2,147.1
503,604.3,324.7,576.3,501.8,154.0
504,602.7,310.4,568.3,493.8,159.7
505,594.6,299.2,572.5,488.8,164.5
506,590.1,284.7,554.4,476.4,167.0
507,577.7,273.7,546.5,466.0,167.2
508,566.0,266.6,533.6,455.4,164.3
509,555.6,256.0,524.9,445.5,164.8
510,551.5,240.6,520.9,437.7,171.4
511,555.1,234.5,493.7,427.8,170.1
512,526.3,,495.4,510.9,21.9
513,526.9,,480.2,503.6,33.0
514,509.0,,470.9,489.9,27.0
515,484.8,,446.8,465.8,26.9
516,470.4,,441.2,455.8,20.7
517,457.6,,434.1,445.9,16.6
518,443.3,,426.8,435.1,11.7
519,434.8,,409.4,422.1,18.0
520,413.6,,411.7,412.6,1.3
521,381.5,,391.7,386.6,7.2
522,390.0,,381.8,385.9,5.9
523,365.9,,375.2,370.6,6.5
524,365.3,,364.6,365.0,0.5
525,343.5,,355.5,349.5,8.5
526,334.1,,350.3,342.2,11.4
527,317.3,,341.5,329.4,17.1
528,311.3,,332.6,321.9,15.1
529,303.6,,320.1,311.9,11.6
530,285.7,,309.6,297.7,16.9
531,283.1,,305.9,294.5,16.1
532,264.6,,298.0,281.3,23.6
533,258.5,,282.5,270.5,17.0
534,248.2,,267.1,257.6,13.4
535,238.9,,266.1,252.5,19.2
536,228.2,,256.2,242.2,19.8
537,219.9,,249.9,234.9,21.2
538,209.9,,243.5,226.7,23.7
539,201.2,,233.6,217.4,22.9
540,192.9,,219.8,206.3,19.0
541,184.2,,211.3,197.7,19.1
542,179.3,,201.6,190.4,15.8
543,171.4,,192.1,181.7,14.7
544,162.1,,185.4,173.7,16.5
545,158.4,,176.7,167.6,12.9
546,150.8,,171.2,161.0,14.4
547,145.2,,165.2,155.2,14.1
548,138.8,,158.2,148.5,13.7
549,132.7,,152.3,142.5,13.9
550,128.5,,144.3,136.4,11.2
551,125.4,,141.5,133.4,11.4
