Names,Cellulose_Insulation_R1,Cellulose_Insulation_R2,Cellulose_Insulation_R3,Mean,Std. Dev.
639,68.4,60.8,62.8,64.0,4.0
640,68.2,60.3,63.6,64.0,4.0
641,68.1,60.6,64.6,64.4,3.8
642,68.5,59.6,63.4,63.9,4.5
643,68.9,60.7,63.4,64.3,4.2
644,68.3,60.5,63.4,64.1,4.0
645,69.7,59.8,63.7,64.4,5.0
646,69.3,60.0,63.2,64.2,4.7
647,69.7,60.0,63.9,64.5,4.8
648,68.6,61.1,64.0,64.6,3.8
649,70.0,60.1,63.9,64.7,4.9
650,69.6,59.3,63.5,64.1,5.2
651,69.5,60.0,63.5,64.3,4.8
652,68.9,60.2,63.7,64.2,4.4
653,70.6,61.0,62.8,64.8,5.1
654,70.5,59.5,62.6,64.2,5.7
655,70.1,60.8,63.4,64.8,4.8
656,69.2,60.9,64.5,64.9,4.2
657,69.8,60.3,63.7,64.6,4.8
658,69.4,59.7,62.4,63.8,5.0
659,70.1,60.6,63.0,64.6,4.9
660,70.0,60.9,62.8,64.5,4.8
661,69.2,60.5,63.0,64.2,4.5
662,69.5,60.6,63.2,64.4,4.5
663,68.9,60.9,62.3,64.0,4.3
664,69.2,59.9,63.7,64.3,4.7
665,70.0,59.4,63.2,64.2,5.4
666,68.4,59.6,63.6,63.9,4.4
667,69.2,60.0,63.4,64.2,4.7
668,68.4,59.8,62.7,63.6,4.4
669,68.3,59.6,62.6,63.5,4.4
670,68.4,60.1,63.1,63.9,4.2
671,67.8,59.1,62.4,63.1,4.4
672,67.6,60.0,62.6,63.4,3.8
673,68.6,59.2,62.2,63.3,4.8
674,68.3,58.9,62.1,63.1,4.8
675,69.1,59.1,61.9,63.4,5.2
676,68.8,58.6,62.7,63.4,5.1
677,67.5,58.2,62.2,62.6,4.6
678,67.7,58.3,61.5,62.5,4.8
679,67.0,58.6,62.2,62.6,4.2
680,66.4,58.6,61.3,62.1,4.0
681,67.9,60.2,63.0,63.7,3.9
682,68.1,60.3,61.1,63.2,4.3
683,67.6,59.1,61.9,62.9,4.3
684,66.5,58.9,60.9,62.1,3.9
685,67.1,59.8,61.5,62.8,3.8
686,66.7,59.3,61.4,62.5,3.8
687,67.4,59.1,61.0,62.5,4.3
688,67.7,58.9,61.0,62.5,4.6
689,68.5,58.4,60.1,62.3,5.4
690,67.6,58.6,60.8,62.3,4.7
691,67.5,59.1,60.8,62.5,4.4
692,66.4,58.7,61.0,62.1,4.0
693,66.8,59.2,61.2,62.4,3.9
694,67.5,58.2,61.0,62.3,4.8
695,66.5,59.1,61.7,62.4,3.8
696,66.6,58.0,60.9,61.9,4.4
697,67.2,58.7,60.6,62.1,4.5
698,66.3,57.1,61.3,61.6,4.6
699,66.9,57.9,60.7,61.8,4.6
700,66.3,58.1,61.0,61.8,4.2
701,65.6,58.5,60.9,61.7,3.6
702,65.7,57.3,60.9,61.3,4.3
703,66.2,57.3,62.1,61.8,4.5
704,66.3,57.4,61.4,61.7,4.4
705,66.0,57.2,60.4,61.2,4.4
706,65.2,57.1,59.9,60.7,4.1
707,65.2,56.9,61.0,61.0,4.1
708,65.3,58.0,60.7,61.3,3.7
709,65.0,56.9,60.4,60.7,4.0
710,65.7,57.3,60.0,61.0,4.3
711,66.4,56.2,61.6,61.4,5.1
712,65.3,56.6,59.3,60.4,4.4
713,65.8,56.7,59.8,60.8,4.6
714,66.1,58.2,59.6,61.3,4.2
715,65.9,57.2,60.6,61.2,4.4
716,65.6,56.7,59.6,60.6,4.5
717,65.6,56.1,59.7,60.4,4.8
718,65.9,56.5,61.2,61.2,4.7
719,65.3,56.8,60.1,60.7,4.3
720,65.5,57.4,59.0,60.6,4.3
721,67.2,57.1,59.1,61.1,5.3
722,66.4,55.6,60.1,60.7,5.4
723,67.1,57.2,60.6,61.6,5.1
724,66.3,56.7,59.9,61.0,4.9
725,65.5,57.0,60.2,60.9,4.3
726,66.4,56.8,60.7,61.3,4.8
727,66.9,56.8,59.2,61.0,5.3
728,66.2,56.8,60.3,61.1,4.8
729,66.6,55.7,59.9,60.7,5.5
730,65.5,56.3,59.9,60.5,4.6
731,66.0,56.2,59.8,60.7,5.0
732,65.6,56.3,60.7,60.9,4.7
733,66.2,55.2,60.2,60.5,5.5
734,65.6,55.8,59.4,60.2,5.0
735,65.3,55.3,60.5,60.4,5.0
736,65.1,56.2,60.9,60.7,4.4
737,65.4,56.2,60.0,60.5,4.7
738,65.1,55.9,60.4,60.5,4.6
739,64.8,55.5,59.6,60.0,4.7
740,64.0,56.0,59.5,59.8,4.0
741,64.4,55.7,59.6,59.9,4.3
742,65.1,54.9,59.1,59.7,5.1
743,63.4,55.5,59.2,59.4,3.9
744,64.1,56.8,59.3,60.1,3.7
745,63.1,56.3,59.3,59.6,3.4
746,63.3,56.3,60.4,60.0,3.5
747,63.0,55.4,59.8,59.4,3.8
748,63.2,57.4,58.6,59.7,3.1
749,62.9,56.6,58.9,59.5,3.2
750,62.6,57.1,59.4,59.7,2.8
751,62.6,55.8,59.9,59.4,3.4
752,62.5,56.4,59.3,59.4,3.0
753,62.8,56.7,59.2,59.5,3.1
754,63.0,57.6,59.1,59.9,2.8
755,62.0,57.3,58.6,59.3,2.4
756,62.2,56.7,59.1,59.3,2.8
757,62.6,56.7,58.5,59.2,3.0
758,63.0,57.2,59.1,59.8,2.9
759,62.7,56.7,58.7,59.3,3.0
760,62.1,56.8,57.8,58.9,2.8
761,63.1,56.2,58.2,59.2,3.5
762,63.8,57.2,58.3,59.8,3.5
763,62.2,55.8,58.2,58.7,3.2
764,63.0,57.2,58.6,59.6,3.0
765,62.6,56.2,58.4,59.0,3.2
766,62.9,55.4,58.9,59.1,3.8
767,61.9,55.5,58.5,58.6,3.2
768,60.9,57.3,57.6,58.6,2.0
769,61.7,56.5,58.0,58.8,2.7
770,62.1,55.8,59.3,59.1,3.2
771,61.5,55.9,58.4,58.6,2.8
772,61.9,56.4,57.5,58.6,2.9
773,60.5,56.2,57.7,58.1,2.2
774,60.4,55.7,57.5,57.9,2.4
775,61.1,55.6,57.0,57.9,2.8
776,60.2,56.5,57.3,58.0,1.9
777,59.6,55.8,58.3,57.9,2.0
778,59.9,55.5,58.2,57.9,2.2
779,60.2,56.3,57.8,58.1,2.0
780,59.8,56.4,56.9,57.7,1.8
781,60.6,55.7,57.5,57.9,2.5
782,60.4,56.2,56.9,57.8,2.2
783,59.9,55.9,57.0,57.6,2.1
784,59.9,56.0,58.1,58.0,2.0
785,60.7,55.4,57.6,57.9,2.7
786,60.2,56.5,57.8,58.2,1.9
787,59.9,56.2,57.5,57.9,1.9
788,59.5,56.5,57.3,57.8,1.5
789,59.0,55.0,58.5,57.5,2.2
790,60.4,56.6,58.7,58.5,1.9
791,60.0,54.8,57.7,57.5,2.6
792,59.7,55.0,56.9,57.2,2.4
793,60.6,55.3,57.5,57.8,2.7
794,60.5,55.2,58.6,58.1,2.7
795,60.7,54.3,57.5,57.5,3.2
796,60.1,56.2,58.0,58.1,1.9
797,61.5,55.6,58.1,58.4,3.0
798,60.7,55.0,58.1,57.9,2.9
799,61.4,54.7,59.2,58.5,3.4
800,61.3,54.7,59.9,58.6,3.5
801,61.5,55.3,58.6,58.5,3.1
802,61.1,55.0,59.3,58.5,3.2
803,60.8,54.9,60.1,58.6,3.2
804,61.2,54.4,59.1,58.2,3.5
805,62.2,55.4,59.6,59.1,3.4
806,61.2,55.7,60.3,59.0,2.9
807,60.4,55.5,59.1,58.3,2.6
808,61.1,54.8,60.0,58.6,3.3
809,60.6,55.3,58.8,58.3,2.7
810,59.9,55.9,59.4,58.4,2.2
811,60.5,55.3,58.8,58.2,2.7
812,60.1,55.4,60.0,58.5,2.7
813,60.2,55.2,59.7,58.4,2.8
814,59.9,55.7,59.5,58.4,2.3
815,59.6,55.0,59.9,58.2,2.8
816,60.9,54.0,59.7,58.2,3.7
817,59.5,54.7,59.1,57.7,2.7
818,59.4,55.2,58.6,57.7,2.2
819,59.0,54.4,58.9,57.4,2.6
820,58.7,53.9,59.3,57.3,3.0
821,58.8,53.6,58.6,57.0,3.0
822,59.9,54.9,58.3,57.7,2.6
823,59.1,54.4,58.4,57.3,2.5
824,58.9,54.2,58.6,57.2,2.6
825,59.3,53.5,58.5,57.1,3.1
826,58.8,53.8,57.4,56.7,2.6
827,59.2,54.0,58.3,57.2,2.8
828,59.9,53.3,57.5,56.9,3.3
829,58.4,53.2,58.1,56.5,2.9
830,58.7,53.2,58.6,56.8,3.1
831,58.5,53.7,57.1,56.4,2.5
832,58.5,53.4,57.5,56.5,2.7
833,58.8,53.3,57.8,56.6,2.9
834,58.2,53.9,57.1,56.4,2.2
835,57.9,53.5,57.6,56.4,2.5
836,58.5,53.0,57.4,56.3,2.9
837,58.3,52.7,57.2,56.0,3.0
838,57.6,52.7,57.7,56.0,2.8
839,58.1,53.8,57.2,56.4,2.2
840,59.3,53.1,57.6,56.7,3.2
841,58.1,52.9,57.6,56.2,2.9
842,57.8,53.7,57.6,56.3,2.3
843,58.6,52.8,57.3,56.2,3.1
844,59.1,52.9,56.5,56.2,3.1
845,56.8,53.0,57.2,55.6,2.3
846,57.5,52.8,56.9,55.8,2.5
847,57.9,53.0,57.0,56.0,2.6
848,57.4,52.9,57.6,56.0,2.7
849,57.5,52.9,57.7,56.0,2.7
850,58.0,53.6,57.5,56.4,2.4
851,59.2,53.1,57.8,56.7,3.2
852,58.5,52.6,58.4,56.5,3.4
853,58.1,51.8,57.2,55.7,3.4
854,57.0,52.6,56.9,55.5,2.5
855,57.7,51.8,56.8,55.5,3.2
856,57.9,51.0,56.9,55.3,3.7
857,58.3,51.5,58.5,56.1,4.0
858,57.9,51.9,57.9,55.9,3.4
859,57.8,51.6,58.6,56.0,3.9
860,57.7,51.3,56.6,55.2,3.4
861,57.1,50.3,57.9,55.1,4.2
862,57.8,51.0,57.6,55.5,3.9
863,57.9,51.1,57.5,55.5,3.8
864,57.2,51.7,57.5,55.5,3.3
865,57.3,51.0,57.0,55.1,3.5
866,57.0,50.7,57.4,55.0,3.8
867,57.4,51.0,57.5,55.3,3.7
868,57.0,50.2,56.7,54.6,3.9
869,57.8,51.7,57.8,55.8,3.5
870,56.5,51.1,57.4,55.0,3.4
871,56.4,50.7,57.4,54.8,3.6
872,56.3,50.5,56.8,54.5,3.5
873,57.1,50.4,57.0,54.8,3.8
874,56.2,52.0,57.4,55.2,2.9
875,56.2,50.7,57.2,54.7,3.5
876,56.1,51.2,58.3,55.2,3.7
877,56.3,51.2,56.9,54.8,3.1
878,56.2,51.1,56.1,54.5,2.9
879,56.1,51.2,57.5,55.0,3.3
880,54.2,50.9,57.5,54.2,3.3
881,55.2,51.2,57.5,54.6,3.1
882,56.3,51.5,57.3,55.0,3.1
883,55.6,51.2,57.9,54.9,3.4
884,55.3,51.7,57.0,54.7,2.7
885,53.9,51.1,57.2,54.1,3.1
886,55.8,50.6,58.0,54.8,3.8
887,55.0,50.1,57.4,54.2,3.7
888,54.9,51.1,57.7,54.6,3.3
889,54.9,51.6,58.2,54.9,3.3
890,54.9,51.3,57.6,54.6,3.1
891,54.5,51.9,56.6,54.3,2.4
892,55.0,51.4,57.2,54.5,2.9
893,54.8,50.7,56.9,54.1,3.2
894,55.4,50.7,56.6,54.2,3.1
895,54.4,50.2,56.2,53.6,3.1
896,54.0,50.6,56.5,53.7,3.0
897,54.4,50.1,56.5,53.7,3.3
898,54.5,49.8,55.9,53.4,3.2
899,54.8,50.2,56.3,53.8,3.2
900,54.0,48.8,56.2,53.0,3.8
901,54.1,49.8,55.0,52.9,2.8
902,54.8,49.1,56.6,53.5,3.9
903,54.2,49.6,56.0,53.3,3.3
904,54.8,48.5,56.4,53.2,4.2
905,54.2,49.5,54.9,52.9,2.9
906,54.3,48.6,55.8,52.9,3.8
907,54.0,48.9,55.2,52.7,3.3
908,53.3,49.0,55.7,52.6,3.4
909,53.1,49.5,54.7,52.4,2.6
910,53.5,49.3,56.0,52.9,3.4
911,53.1,47.6,56.0,52.2,4.2
912,52.7,48.1,54.9,51.9,3.5
913,53.7,49.0,56.1,53.0,3.6
914,53.6,49.2,55.7,52.8,3.3
915,53.0,49.0,55.3,52.4,3.2
916,52.5,48.9,55.1,52.2,3.1
917,52.9,48.3,54.8,52.0,3.3
918,52.4,48.4,55.0,51.9,3.3
919,51.8,48.5,55.6,51.9,3.6
920,52.6,48.7,55.4,52.2,3.3
921,52.4,49.3,55.4,52.4,3.1
922,53.0,48.5,54.9,52.2,3.3
923,52.9,49.1,55.8,52.6,3.3
924,52.4,48.5,55.7,52.2,3.6
925,53.1,47.7,55.2,52.0,3.8
926,53.1,48.9,56.2,52.7,3.6
927,52.7,49.1,55.8,52.5,3.4
928,52.0,48.9,56.1,52.3,3.6
929,52.7,48.8,55.5,52.3,3.4
930,52.3,48.6,55.9,52.3,3.6
931,53.1,49.4,56.6,53.0,3.6
932,52.9,48.9,56.3,52.7,3.7
933,52.8,48.9,55.9,52.5,3.5
934,52.8,48.7,56.5,52.7,3.9
935,52.3,49.2,56.2,52.6,3.5
936,52.1,49.9,56.1,52.7,3.1
937,52.4,48.6,55.6,52.2,3.5
938,52.3,50.0,56.9,53.1,3.5
939,53.0,49.4,56.0,52.8,3.3
940,52.7,50.0,56.1,52.9,3.1
941,53.2,49.4,55.7,52.8,3.2
942,52.2,49.3,56.9,52.8,3.8
943,52.3,49.7,55.7,52.6,3.0
944,52.7,49.7,56.0,52.8,3.1
945,52.9,50.7,54.8,52.8,2.1
946,52.7,50.4,55.0,52.7,2.3
947,52.4,50.3,56.5,53.1,3.2
948,52.3,50.4,55.7,52.8,2.7
949,52.3,49.7,55.1,52.4,2.7
950,52.8,50.0,55.5,52.8,2.7
951,52.7,49.7,55.5,52.6,2.9
952,53.4,50.2,55.2,52.9,2.5
953,52.5,50.8,55.5,52.9,2.4
954,52.5,49.5,55.2,52.4,2.8
955,52.8,50.3,54.5,52.5,2.1
956,52.9,50.1,54.7,52.5,2.3
957,53.1,49.7,54.8,52.5,2.6
958,52.5,50.0,55.1,52.6,2.5
959,52.7,50.0,54.7,52.5,2.4
960,52.1,49.7,54.1,52.0,2.2
961,53.0,49.8,54.3,52.4,2.3
962,52.5,49.7,54.1,52.1,2.3
963,52.8,49.4,54.1,52.1,2.4
964,53.5,49.8,54.8,52.7,2.6
965,53.0,49.5,54.5,52.3,2.5
966,52.6,50.1,54.9,52.6,2.4
967,52.0,49.9,54.8,52.2,2.5
968,52.3,50.0,54.1,52.2,2.1
969,53.0,49.9,53.8,52.2,2.0
970,52.6,49.0,54.0,51.8,2.6
971,52.4,48.9,54.1,51.8,2.7
972,52.5,49.3,54.4,52.0,2.6
973,51.6,49.1,54.1,51.6,2.5
974,52.1,48.7,54.7,51.8,3.0
975,52.2,48.8,54.6,51.9,2.9
976,51.5,48.3,54.8,51.5,3.3
977,52.4,48.3,54.7,51.8,3.3
978,50.9,49.4,54.3,51.5,2.5
979,51.6,48.3,53.9,51.3,2.8
980,51.6,49.0,53.6,51.4,2.3
981,51.8,48.4,54.0,51.4,2.9
982,51.4,48.1,54.0,51.2,3.0
983,51.9,48.8,53.8,51.5,2.5
984,50.8,49.1,54.5,51.5,2.8
985,50.6,48.2,53.9,50.9,2.9
986,51.0,48.7,54.4,51.4,2.9
987,50.7,48.5,53.7,51.0,2.6
988,51.4,48.0,54.2,51.2,3.1
989,51.1,47.6,54.6,51.1,3.5
990,50.6,47.9,55.0,51.2,3.6
991,51.1,47.9,54.3,51.1,3.2
992,50.2,47.8,53.4,50.5,2.8
993,50.5,47.7,54.4,50.9,3.3
994,50.8,48.5,53.7,51.0,2.6
995,51.3,47.6,54.4,51.1,3.4
996,49.9,47.8,54.2,50.6,3.2
997,49.4,47.4,53.7,50.2,3.2
998,50.6,48.0,54.1,50.9,3.1
999,50.1,48.2,53.6,50.6,2.7
1000,50.3,48.1,53.9,50.8,2.9
1001,49.9,47.6,53.7,50.4,3.1
1002,49.9,47.7,53.5,50.3,2.9
1003,50.4,48.5,54.5,51.1,3.1
1004,49.3,47.9,53.5,50.3,2.9
1005,50.4,48.2,54.2,50.9,3.0
1006,50.2,47.8,53.3,50.4,2.7
1007,50.1,48.0,53.9,50.7,3.0
1008,50.1,47.8,53.1,50.3,2.6
1009,49.9,47.7,52.6,50.1,2.5
1010,49.2,47.8,53.3,50.1,2.8
1011,49.8,47.8,53.3,50.3,2.7
1012,49.4,49.3,53.9,50.9,2.7
1013,49.2,48.1,52.0,49.8,2.0
1014,49.1,48.2,52.7,50.0,2.4
1015,49.9,48.4,53.4,50.5,2.6
1016,49.9,49.1,52.6,50.6,1.8
1017,49.8,48.1,53.2,50.4,2.6
1018,48.7,48.1,52.5,49.8,2.4
1019,48.3,48.8,51.4,49.5,1.6
1020,48.7,48.5,52.0,49.7,2.0
1021,49.5,48.5,51.3,49.8,1.4
1022,49.1,48.3,52.5,50.0,2.2
1023,48.8,47.9,52.4,49.7,2.4
1024,48.4,48.8,52.0,49.7,1.9
1025,48.2,47.8,52.0,49.3,2.3
1026,49.2,47.8,52.2,49.7,2.3
1027,48.5,47.7,52.5,49.6,2.6
1028,48.9,47.7,52.2,49.6,2.4
1029,47.7,48.4,51.7,49.2,2.2
1030,48.7,48.4,51.5,49.6,1.7
1031,48.5,47.3,51.5,49.1,2.2
1032,48.3,47.6,51.7,49.2,2.2
1033,49.1,46.9,51.4,49.2,2.2
1034,48.9,47.8,51.6,49.4,2.0
1035,48.4,47.3,51.2,49.0,2.0
1036,48.4,47.3,51.7,49.1,2.3
1037,47.9,47.4,51.7,49.0,2.4
1038,48.1,47.1,51.6,48.9,2.4
1039,47.3,47.6,51.8,48.9,2.5
1040,47.2,47.3,52.1,48.9,2.8
1041,47.4,47.0,51.2,48.6,2.3
1042,47.6,47.1,51.2,48.6,2.3
1043,47.3,45.5,53.6,48.8,4.2
1044,47.0,46.8,51.2,48.3,2.5
1045,47.0,46.0,51.9,48.3,3.2
1046,46.9,45.8,52.5,48.4,3.6
1047,46.7,45.4,52.7,48.3,3.9
1048,46.2,45.8,51.6,47.8,3.2
1049,46.1,45.9,51.7,47.9,3.3
1050,46.0,45.5,51.6,47.7,3.4
1051,45.2,46.4,51.8,47.8,3.5
1052,46.1,46.1,51.8,48.0,3.3
1053,45.5,45.7,51.7,47.7,3.5
1054,45.6,44.7,52.2,47.5,4.1
1055,46.2,45.7,52.2,48.1,3.6
1056,45.9,44.7,51.6,47.4,3.7
1057,44.7,45.7,52.5,47.6,4.3
1058,45.7,44.7,51.8,47.4,3.8
1059,45.3,45.3,51.6,47.4,3.6
1060,45.7,44.8,51.2,47.2,3.5
1061,46.0,45.1,51.8,47.6,3.6
1062,45.9,44.1,51.5,47.2,3.8
1063,45.9,44.6,51.1,47.2,3.4
1064,46.3,44.8,50.7,47.2,3.1
1065,45.6,44.4,51.4,47.1,3.8
1066,46.0,45.0,50.9,47.3,3.1
1067,45.8,44.4,51.0,47.0,3.5
1068,45.9,43.3,51.1,46.8,4.0
1069,46.7,44.6,50.5,47.3,3.0
1070,45.8,44.0,50.1,46.6,3.1
1071,46.6,44.5,50.2,47.1,2.9
1072,46.1,43.8,51.0,47.0,3.6
1073,45.5,44.1,51.9,47.1,4.2
1074,46.2,44.4,50.2,46.9,3.0
1075,46.0,43.2,50.3,46.5,3.6
1076,46.4,44.6,50.5,47.1,3.0
1077,46.3,43.8,50.6,46.9,3.4
1078,45.9,44.0,49.6,46.5,2.9
1079,46.0,43.4,49.5,46.3,3.0
1080,46.2,44.1,50.4,46.9,3.2
1081,46.3,44.5,50.3,47.0,3.0
1082,46.1,44.3,50.0,46.8,2.9
1083,45.8,44.5,49.9,46.8,2.8
1084,46.2,44.1,49.8,46.7,2.9
1085,46.6,44.4,50.2,47.1,2.9
1086,46.0,43.9,50.5,46.8,3.3
1087,46.2,43.9,49.7,46.6,2.9
1088,47.3,43.5,50.4,47.0,3.4
1089,45.3,43.4,50.2,46.3,3.5
1090,46.5,43.4,50.4,46.7,3.5
1091,45.1,43.6,50.0,46.2,3.4
1092,46.6,43.5,50.2,46.7,3.3
1093,45.8,43.2,50.8,46.6,3.9
1094,46.3,43.4,50.7,46.8,3.7
1095,46.8,43.2,50.0,46.6,3.4
1096,45.9,43.2,50.2,46.4,3.5
1097,46.5,43.0,50.1,46.6,3.6
1098,45.9,43.2,50.6,46.6,3.8
1099,46.0,42.9,51.3,46.7,4.3
1100,46.5,42.8,51.1,46.8,4.2
1101,46.3,43.1,50.7,46.7,3.8
1102,45.5,42.7,50.6,46.3,4.0
1103,46.0,43.6,50.2,46.6,3.3
1104,46.0,43.8,51.1,46.9,3.8
1105,45.5,42.9,50.6,46.3,3.9
1106,46.1,43.7,51.2,47.0,3.8
1107,46.0,43.2,51.3,46.8,4.1
1108,45.0,43.7,50.2,46.3,3.4
1109,45.8,43.7,50.3,46.6,3.4
1110,45.4,43.7,50.4,46.5,3.5
1111,45.9,43.5,51.0,46.8,3.8
1112,45.5,43.6,51.0,46.7,3.8
1113,45.3,44.1,50.4,46.6,3.4
1114,45.5,44.0,50.9,46.8,3.6
1115,45.3,43.8,51.5,46.9,4.1
1116,44.9,43.8,50.8,46.5,3.8
1117,45.7,44.3,51.0,47.0,3.6
1118,45.4,43.6,51.0,46.7,3.9
1119,44.7,44.2,49.3,46.1,2.9
1120,45.5,44.9,49.5,46.6,2.5
1121,46.0,45.2,50.8,47.3,3.0
1122,45.0,44.6,49.9,46.5,2.9
