Temp/C,Time/min,DSC/mW,Mass loss/mg,Sensit./(uV/mW)
73,13.24560159,1.574836265,0.089695471,1.053192969
73.1,13.2514463,1.580602888,0.090434836,1.053181697
73.2,13.25732769,1.582823577,0.090064022,1.053180332
73.3,13.2631468,1.583523129,0.090247265,1.053173282
73.4,13.2689553,1.585353534,0.090945183,1.053162544
73.5,13.27478399,1.589042559,0.09127524,1.053152742
73.6,13.280557,1.592771394,0.091245926,1.053142689
73.7,13.28632341,1.595445724,0.091265205,1.053132703
73.8,13.29213781,1.602837846,0.091757252,1.053122699
73.9,13.29788649,1.610847889,0.092517803,1.0531127
74,13.30367939,1.612982203,0.093307136,1.0531027
74.1,13.30939444,1.613271912,0.094141277,1.0530927
74.2,13.315055,1.613825724,0.094476492,1.0530827
74.3,13.32074776,1.616102552,0.094315669,1.0530727
74.4,13.32640102,1.62301897,0.094282888,1.0530627
74.5,13.33209385,1.630884384,0.094812296,1.0530527
74.6,13.33774724,1.633918599,0.095654645,1.0530427
74.7,13.34341087,1.63517766,0.095920744,1.0530327
74.8,13.34904502,1.635941056,0.095763865,1.0530227
74.9,13.35466756,1.638152222,0.096043127,1.0530127
75,13.36030435,1.642997143,0.096719751,1.0530027
75.1,13.36589888,1.648481963,0.096939832,1.0529927
75.2,13.37151523,1.653157485,0.096382902,1.0529827
75.3,13.37710474,1.656857309,0.096019381,1.0529727
75.4,13.38276444,1.66130255,0.095919015,1.0529627
75.5,13.38841822,1.667564435,0.095974242,1.0529527
75.6,13.39399774,1.669084357,0.095904335,1.0529427
75.7,13.39956233,1.665379699,0.095402842,1.0529327
75.8,13.40509387,1.668849827,0.094723863,1.0529227
75.9,13.41066246,1.674880136,0.094002503,1.0529127
76,13.4162299,1.680520084,0.092750864,1.052902699
76.1,13.42179422,1.683577616,0.091048237,1.052892705
76.2,13.42737389,1.683808448,0.089285541,1.052882681
76.3,13.43294694,1.685681034,0.087740257,1.052872772
76.4,13.43851866,1.689075435,0.086523208,1.052862431
76.5,13.44413456,1.692305405,0.08557537,1.052853703
76.6,13.44971613,1.690394119,0.08453844,1.052835068
76.7,13.4552331,1.691976223,0.083067346,1.052822118
76.8,13.46074818,1.69688632,0.081756349,1.052812856
76.9,13.46627587,1.697895453,0.081491881,1.052802659
77,13.47181773,1.703663194,0.082169609,1.05279271
77.1,13.47739427,1.712418487,0.083041849,1.052782702
77.2,13.48294671,1.712728309,0.083288761,1.052772682
77.3,13.48839649,1.712332624,0.083262223,1.052762772
77.4,13.49376141,1.718438351,0.083619654,1.052752431
77.5,13.49914126,1.722710119,0.08432677,1.052743702
77.6,13.50447109,1.723519413,0.08491055,1.052725069
77.7,13.509763,1.727756055,0.084977676,1.052712117
77.8,13.51504283,1.73176902,0.085120893,1.052702861
77.9,13.52035134,1.732150712,0.085839308,1.052692639
78,13.52575322,1.733075026,0.086640084,1.052682783
78.1,13.53118104,1.734586443,0.086805818,1.052672428
78.2,13.53664178,1.740317662,0.086914076,1.052663704
78.3,13.54210733,1.747575589,0.087219772,1.052645067
78.4,13.54755961,1.752333169,0.087392575,1.052632123
78.5,13.55298948,1.755001842,0.087348334,1.052622837
78.6,13.55833803,1.758009268,0.087173527,1.05261273
78.7,13.56385202,1.756992299,0.087550667,1.052602443
78.8,13.56939896,1.762818255,0.088530191,1.052593698
78.9,13.57494849,1.770785949,0.088934674,1.052575074
79,13.58056001,1.773367268,0.088380221,1.052562099
79.1,13.58611294,1.777119577,0.087725936,1.052552928
79.2,13.59161251,1.781981235,0.087754771,1.05254239
79.3,13.59705522,1.783412083,0.088482909,1.052533712
79.4,13.60241372,1.785549635,0.088741721,1.05251507
79.5,13.60772586,1.791981671,0.088190115,1.0525021
79.6,13.61304006,1.797361294,0.087644077,1.052492928
79.7,13.61830836,1.797549773,0.087396116,1.052482388
79.8,13.62353643,1.80431264,0.087706817,1.052473719
79.9,13.62885973,1.808497358,0.088371895,1.052455046
80,13.63421205,1.8081764,0.088739833,1.052442191
80.1,13.63946208,1.812310452,0.088706143,1.052432586
80.2,13.6447524,1.815396866,0.08886414,1.052423666
80.3,13.64998849,1.8209836,0.089200977,1.05240506
80.4,13.65519555,1.827182908,0.08978516,1.052392186
80.5,13.66044868,1.8288683,0.090720881,1.052382593
80.6,13.66570932,1.82894467,0.091544953,1.052373641
80.7,13.67097673,1.833183466,0.091657345,1.052355152
80.8,13.67624266,1.83968918,0.091496441,1.052341845
80.9,13.68147957,1.845486894,0.091681547,1.052333864
81,13.68670977,1.852198276,0.092361443,1.052315007
81.1,13.69199222,1.860586062,0.093206112,1.0523022
81.2,13.69725699,1.864701392,0.093418427,1.052292589
81.3,13.70248238,1.867739088,0.093286837,1.052283643
81.4,13.70768871,1.869585573,0.093398151,1.05226515
81.5,13.7128706,1.869401098,0.093933845,1.052251852
81.6,13.71806855,1.875072735,0.094699769,1.05224384
81.7,13.72330726,1.882948697,0.094914906,1.052225097
81.8,13.72851862,1.887970326,0.094775164,1.052211866
81.9,13.73370956,1.891567372,0.094713611,1.052203837
82,13.73888347,1.896131045,0.09474987,1.052185098
82.1,13.74399342,1.899799388,0.095000031,1.052171866
82.2,13.74911132,1.900612068,0.095151604,1.052163837
82.3,13.75425907,1.905324779,0.095295332,1.052145098
82.4,13.75940981,1.914845897,0.095893971,1.052131866
82.5,13.76455091,1.917609617,0.096797227,1.052123835
82.6,13.76963222,1.913701879,0.097162242,1.052105104
82.7,13.77471731,1.911707606,0.097040036,1.052091842
82.8,13.7798488,1.912923757,0.097062993,1.052083926
82.9,13.78493414,1.913774406,0.097502202,1.052064764
83,13.79000006,1.91618673,0.09818815,1.052053111
83.1,13.79507611,1.924076916,0.098548699,1.052035298
83.2,13.80017388,1.931920674,0.098498522,1.05202179
83.3,13.80525897,1.932463314,0.098504953,1.05201394
83.4,13.81034025,1.934356968,0.098651959,1.05199476
83.5,13.81540264,1.938538976,0.098867762,1.051983112
83.6,13.82048328,1.940591403,0.098980054,1.051965298
83.7,13.82557514,1.939914163,0.09877356,1.05195179
83.8,13.83059912,1.937704649,0.098364715,1.05194394
83.9,13.8356186,1.937429588,0.098144032,1.05192476
84,13.84066607,1.938963428,0.098023955,1.051913112
84.1,13.84570874,1.941330433,0.097678325,1.051895298
84.2,13.85069054,1.944482169,0.097529188,1.051881788
84.3,13.85573554,1.946992585,0.097876128,1.051873947
84.4,13.8608118,1.946149189,0.098076404,1.051854734
84.5,13.86580487,1.942924453,0.097586214,1.05184321
84.6,13.87074001,1.944320326,0.097221143,1.051824931
84.7,13.87566773,1.949275061,0.097929386,1.051813157
84.8,13.88061027,1.952732812,0.098936836,1.051794946
84.9,13.88558814,1.953726214,0.09962459,1.051783154
85,13.89060582,1.956034078,0.101334643,1.051764947
85.1,13.89560511,1.95349067,0.102379987,1.051753153
85.2,13.90058547,1.948513771,0.103092093,1.051734947
85.3,13.90556133,1.947525229,0.104949767,1.051723153
85.4,13.91050984,1.94303676,0.105574147,1.051704947
85.5,13.91549937,1.939224192,0.105481123,1.051693153
85.6,13.92047812,1.941069765,0.105438666,1.051674947
85.7,13.92539273,1.945385218,0.104352325,1.051663153
85.8,13.93033133,1.947016218,0.101759207,1.051644947
85.9,13.93528372,1.947096685,0.099785853,1.051633153
86,13.94023867,1.946307325,0.098108904,1.051614947
86.1,13.94521437,1.943083163,0.095103283,1.051603153
86.2,13.95019275,1.939592389,0.093488345,1.051584947
86.3,13.95511968,1.939296263,0.091897387,1.051573153
86.4,13.96000149,1.941233785,0.089616627,1.051554947
86.5,13.96489594,1.941402149,0.088910387,1.051543151
86.6,13.96979713,1.93995819,0.088759825,1.051524954
86.7,13.97469755,1.94067448,0.089160302,1.051513127
86.8,13.97959079,1.943915001,0.090432201,1.051495045
86.9,13.98446951,1.945338069,0.091490979,1.051482786
87,13.9893058,1.943284485,0.092225001,1.051466316
87.1,13.99415745,1.937998577,0.093547348,1.051444152
87.2,13.99907523,1.932316318,0.095297748,1.051433364
87.3,14.00394497,1.932953868,0.095781131,1.051414897
87.4,14.00878263,1.934232412,0.096066357,1.051403142
87.5,14.01362742,1.932621592,0.096596639,1.051385041
87.6,14.01849868,1.93153922,0.096502715,1.051372788
87.7,14.0233255,1.934279536,0.096170822,1.051356314
87.8,14.02811815,1.935397071,0.096073519,1.051334159
87.9,14.03289004,1.93291256,0.096184491,1.05132334
88,14.03760657,1.931383103,0.096382684,1.051304986
88.1,14.04227682,1.938156598,0.096186317,1.051292809
88.2,14.04698351,1.946023728,0.095515034,1.051276286
88.3,14.05177883,1.944831404,0.094973201,1.051254251
88.4,14.05658666,1.943982547,0.094956104,1.051243
88.5,14.06137056,1.944978327,0.095446476,1.051226257
88.6,14.06614322,1.946435345,0.095952155,1.051204174
88.7,14.0709012,1.951558941,0.09577346,1.051193336
88.8,14.07562104,1.953163371,0.09505062,1.051174987
88.9,14.08031587,1.951221882,0.094343362,1.051162808
89,14.08498952,1.952043057,0.09407856,1.051146286
89.1,14.08966027,1.954000429,0.094120869,1.051124249
89.2,14.09431622,1.956254734,0.093900019,1.051113006
89.3,14.09896147,1.959374103,0.093469825,1.051096233
89.4,14.10364048,1.962112501,0.093396525,1.051074264
89.5,14.10835127,1.963222304,0.093484952,1.051063
89.6,14.11311197,1.964336303,0.092952605,1.051046241
89.7,14.11793399,1.966974968,0.091819585,1.051024239
89.8,14.12268554,1.966575568,0.090945887,1.051013092
89.9,14.12734825,1.966502331,0.090902306,1.0509959
90,14.13198321,1.970435338,0.091252652,1.05097551
90.1,14.13666137,1.970675215,0.091157309,1.050954458
90.2,14.14135448,1.970504954,0.090530245,1.050942949
90.3,14.14604679,1.973927003,0.089794212,1.050926255
90.4,14.15078401,1.975502366,0.089379094,1.050904236
90.5,14.15554705,1.974331758,0.089553732,1.050893093
90.6,14.16028123,1.973019703,0.089914259,1.050875898
90.7,14.16496916,1.973890689,0.089729327,1.050855517
90.8,14.16971099,1.977315824,0.089000322,1.050834433
90.9,14.17447708,1.982914772,0.088369456,1.05082304
91,14.17921783,1.98986291,0.088088744,1.050805912
91.1,14.18390508,1.995303653,0.087891036,1.050785513
91.2,14.1885358,1.997748461,0.087632464,1.050764434
91.3,14.19314243,1.998113208,0.087219275,1.05075304
91.4,14.19778164,1.997984472,0.086674562,1.050735913
91.5,14.20244268,1.995573436,0.086659582,1.050715512
91.6,14.20709476,1.996978657,0.087017569,1.050694441
91.7,14.21174119,2.005818554,0.087108338,1.050683015
91.8,14.21634404,2.008134806,0.087088101,1.050666004
91.9,14.22091809,2.008115853,0.087095117,1.050645171
92,14.22547592,2.014513759,0.087074484,1.05062571
92.1,14.23006641,2.019707558,0.087074561,1.050604388
92.2,14.23466335,2.02283338,0.087090532,1.05059303
92.3,14.23923251,2.02763818,0.087194141,1.050576
92.4,14.24376715,2.034042708,0.087584748,1.050555172
92.5,14.24830747,2.03571804,0.08820546,1.05053571
92.6,14.25288403,2.034570425,0.088656601,1.050514386
92.7,14.25744963,2.03965678,0.088747731,1.050503036
92.8,14.26200986,2.046229652,0.088611586,1.050485976
92.9,14.26655595,2.051017227,0.088591784,1.050465264
93,14.27108726,2.056536693,0.08905171,1.05044537
93.1,14.2756162,2.059614842,0.089964765,1.050425657
93.2,14.28014932,2.06177943,0.09086693,1.050404401
93.3,14.28466012,2.067276485,0.09113938,1.050393031
93.4,14.28919916,2.073282886,0.090950893,1.050375983
93.5,14.29375304,2.077089613,0.091173427,1.050355239
93.6,14.29828992,2.078430623,0.092180918,1.050335461
93.7,14.30279664,2.079288905,0.093475261,1.050315317
93.8,14.30729295,2.08077632,0.09426916,1.050295672
93.9,14.31181325,2.083914483,0.094354312,1.050274397
94,14.31636384,2.090087193,0.094402886,1.050263032
94.1,14.32088134,2.096848321,0.094766837,1.050245982
94.2,14.32533647,2.102667976,0.095350051,1.050225244
94.3,14.32974713,2.108547323,0.095866108,1.050205443
94.4,14.33418578,2.114028853,0.096096861,1.050185384
94.5,14.33864543,2.118742087,0.096087521,1.050165422
94.6,14.34310749,2.121073341,0.096137971,1.050145327
94.7,14.34755164,2.121564348,0.096506153,1.050125669
94.8,14.35199665,2.123272877,0.097118488,1.050104397
94.9,14.35645683,2.130481706,0.097586264,1.050093032
95,14.36090324,2.139195691,0.09753686,1.050075982
95.1,14.36532924,2.143915943,0.096879879,1.050055244
95.2,14.36973124,2.14584074,0.096047753,1.050035442
95.3,14.37414908,2.150840834,0.095634959,1.050015389
95.4,14.37860809,2.159452539,0.095574984,1.049995403
95.5,14.38303838,2.162529163,0.095165949,1.049975399
95.6,14.38746109,2.164885669,0.094228309,1.0499554
95.7,14.39190865,2.171816457,0.09341324,1.0499354
95.8,14.39635571,2.174569203,0.093321903,1.0499154
95.9,14.40083506,2.174988448,0.093551622,1.0498954
96,14.40533103,2.178813054,0.093380795,1.0498754
96.1,14.40979145,2.182585124,0.092671428,1.0498554
96.2,14.4142256,2.185200321,0.091810318,1.0498354
96.3,14.41864525,2.188610886,0.091221328,1.0498154
96.4,14.42308056,2.193577494,0.091216684,1.0497954
96.5,14.42751621,2.198723692,0.091522608,1.0497754
96.6,14.43192615,2.203371531,0.091611607,1.0497554
96.7,14.43629505,2.210041183,0.091157266,1.0497354
96.8,14.44064965,2.215760348,0.090760846,1.0497154
96.9,14.44503481,2.218029106,0.091032752,1.0496954
97,14.44941214,2.223100856,0.091491117,1.0496754
97.1,14.45377686,2.232205722,0.091828898,1.0496554
97.2,14.4581727,2.241773171,0.092262265,1.0496354
97.3,14.46255324,2.250917846,0.093112904,1.0496154
97.4,14.46690655,2.25480725,0.093908528,1.0495954
97.5,14.47124928,2.253840506,0.094113185,1.0495754
97.6,14.47558143,2.25961918,0.094468957,1.0495554
97.7,14.47990631,2.271247226,0.095275731,1.0495354
97.8,14.48420696,2.278078437,0.096286031,1.0495154
97.9,14.48853502,2.280056317,0.097147652,1.0494954
98,14.49288296,2.2838725,0.097623247,1.049475399
98.1,14.49717901,2.292460024,0.097958552,1.049455405
98.2,14.50143845,2.300040539,0.098431615,1.049435381
98.3,14.50571725,2.302693046,0.099209594,1.049415472
98.4,14.51003888,2.304750921,0.099964098,1.049395131
98.5,14.51437342,2.311158423,0.100462226,1.049376403
98.6,14.51868116,2.321071321,0.100732831,1.049347768
98.7,14.52296755,2.328331629,0.100804546,1.049324818
98.8,14.52722296,2.333641818,0.100784875,1.049305556
98.9,14.53147889,2.339358863,0.10079366,1.049285359
99,14.53574048,2.34347266,0.100886876,1.04926541
99.1,14.54000189,2.345841473,0.100911227,1.049245402
99.2,14.54431808,2.348746396,0.100585406,1.049225382
99.3,14.54865235,2.353699263,0.099929552,1.049205472
99.4,14.55297402,2.361321218,0.099316194,1.049185131
99.5,14.55728909,2.371296543,0.0988843,1.049166402
99.6,14.56157555,2.37724619,0.098266562,1.049137769
99.7,14.56585841,2.377745183,0.097080101,1.049114817
