Names,PE_Foam_Pipe_Insulation_R1,PE_Foam_Pipe_Insulation_R2,PE_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
443,346.3,297.7,365.4,336.4,34.9
444,347.2,294.9,363.5,335.2,35.9
445,341.4,303.2,362.2,335.6,29.9
446,339.9,294.1,363.5,332.5,35.3
447,350.4,296.4,356.4,334.4,33.0
448,339.6,294.8,363.1,332.5,34.7
449,342.2,288.4,353.5,328.0,34.8
450,337.9,288.4,352.3,326.2,33.5
451,336.7,287.0,350.4,324.7,33.4
452,329.9,285.5,345.0,320.1,30.9
453,327.2,281.7,341.8,316.9,31.4
454,320.4,283.7,339.0,314.4,28.1
455,308.9,281.7,335.9,308.8,27.1
456,307.9,280.5,330.2,306.2,24.9
457,300.5,281.0,331.3,304.3,25.4
458,297.4,271.5,326.9,298.6,27.7
459,291.4,275.7,319.7,295.6,22.3
460,279.0,270.1,315.7,288.3,24.2
461,266.3,271.2,302.6,280.0,19.7
462,263.6,269.8,300.9,278.1,20.0
463,260.3,272.8,287.8,273.7,13.8
464,252.6,259.1,284.5,265.4,16.8
465,248.4,271.1,278.7,266.1,15.8
466,237.3,259.8,277.3,258.1,20.1
467,234.7,263.1,274.7,257.5,20.6
468,223.8,263.2,267.4,251.5,24.0
469,217.7,259.8,256.4,244.6,23.4
470,211.9,260.4,252.4,241.6,26.0
471,201.0,260.3,246.1,235.8,31.0
472,193.7,255.7,241.3,230.2,32.5
473,185.7,259.8,229.7,225.1,37.3
474,176.7,261.1,224.3,220.7,42.3
475,168.1,255.5,219.6,214.4,43.9
476,162.1,250.0,210.4,207.5,44.0
477,152.9,251.2,202.7,202.3,49.2
478,144.1,249.7,198.4,197.4,52.8
479,135.7,254.8,192.1,194.2,59.6
480,126.1,246.5,188.1,186.9,60.2
481,119.2,248.0,183.7,183.7,64.4
482,110.3,242.1,174.3,175.6,65.9
483,102.0,241.1,165.8,169.6,69.6
484,96.7,237.7,154.8,163.1,70.9
