Names,Rubber_Band_R1,Mean,Std. Dev.
291,492.1,492.1,
292,471.8,471.8,
293,472.2,472.2,
294,480.1,480.1,
295,473.5,473.5,
296,470.1,470.1,
297,459.6,459.6,
298,451.1,451.1,
299,455.2,455.2,
300,462.6,462.6,
301,466.8,466.8,
302,449.0,449.0,
303,434.6,434.6,
304,445.2,445.2,
305,442.1,442.1,
306,434.4,434.4,
307,426.5,426.5,
308,431.3,431.3,
309,424.9,424.9,
310,418.0,418.0,
311,407.3,407.3,
312,415.0,415.0,
313,403.7,403.7,
314,390.1,390.1,
315,384.3,384.3,
316,385.7,385.7,
317,378.1,378.1,
318,375.0,375.0,
319,363.5,363.5,
320,370.4,370.4,
321,364.7,364.7,
322,367.4,367.4,
323,350.7,350.7,
324,345.2,345.2,
325,341.5,341.5,
326,337.2,337.2,
327,335.2,335.2,
328,332.5,332.5,
329,330.6,330.6,
330,328.7,328.7,
331,320.4,320.4,
332,312.4,312.4,
333,313.6,313.6,
334,308.1,308.1,
335,307.0,307.0,
336,309.0,309.0,
337,295.8,295.8,
338,294.7,294.7,
339,293.2,293.2,
340,284.6,284.6,
341,282.7,282.7,
342,279.6,279.6,
343,275.8,275.8,
344,271.3,271.3,
345,266.7,266.7,
346,274.4,274.4,
347,260.7,260.7,
348,258.1,258.1,
349,254.7,254.7,
350,250.7,250.7,
351,246.9,246.9,
352,240.8,240.8,
353,241.4,241.4,
354,238.6,238.6,
355,234.8,234.8,
356,233.1,233.1,
357,226.6,226.6,
358,223.6,223.6,
359,220.9,220.9,
360,217.3,217.3,
361,216.9,216.9,
362,207.5,207.5,
363,209.7,209.7,
364,205.6,205.6,
365,200.5,200.5,
366,200.0,200.0,
367,197.3,197.3,
368,190.6,190.6,
369,193.4,193.4,
370,191.7,191.7,
371,188.4,188.4,
372,184.1,184.1,
373,186.4,186.4,
374,181.9,181.9,
375,180.8,180.8,
376,176.8,176.8,
377,180.2,180.2,
378,179.2,179.2,
379,178.6,178.6,
380,174.0,174.0,
381,174.3,174.3,
382,175.0,175.0,
383,171.1,171.1,
384,171.3,171.3,
385,167.7,167.7,
386,169.0,169.0,
387,165.3,165.3,
388,166.2,166.2,
389,164.9,164.9,
390,165.0,165.0,
391,162.4,162.4,
392,164.5,164.5,
393,163.1,163.1,
394,164.1,164.1,
395,159.8,159.8,
396,161.8,161.8,
397,162.1,162.1,
398,158.0,158.0,
399,159.6,159.6,
400,158.8,158.8,
401,154.4,154.4,
402,157.2,157.2,
403,154.4,154.4,
404,156.3,156.3,
405,157.4,157.4,
406,159.5,159.5,
407,155.9,155.9,
408,154.4,154.4,
409,156.1,156.1,
410,154.5,154.5,
411,154.9,154.9,
412,153.4,153.4,
413,150.8,150.8,
414,151.9,151.9,
415,153.1,153.1,
416,152.2,152.2,
417,153.5,153.5,
418,152.8,152.8,
419,148.6,148.6,
420,150.5,150.5,
421,151.2,151.2,
422,149.8,149.8,
423,149.4,149.4,
424,147.9,147.9,
425,149.5,149.5,
426,147.1,147.1,
427,149.5,149.5,
428,147.9,147.9,
429,148.6,148.6,
430,150.0,150.0,
431,149.1,149.1,
432,147.8,147.8,
433,148.3,148.3,
434,149.2,149.2,
435,149.5,149.5,
436,149.0,149.0,
437,149.7,149.7,
438,148.0,148.0,
439,148.4,148.4,
440,146.6,146.6,
441,150.5,150.5,
442,144.8,144.8,
443,146.8,146.8,
444,148.0,148.0,
445,147.6,147.6,
446,146.9,146.9,
447,147.5,147.5,
448,149.6,149.6,
449,148.1,148.1,
450,148.4,148.4,
451,148.7,148.7,
452,147.6,147.6,
453,148.0,148.0,
454,147.6,147.6,
455,147.8,147.8,
456,145.8,145.8,
457,146.1,146.1,
458,147.9,147.9,
459,147.4,147.4,
460,146.7,146.7,
461,148.4,148.4,
462,148.4,148.4,
463,147.6,147.6,
464,147.6,147.6,
465,146.5,146.5,
466,146.0,146.0,
467,146.7,146.7,
468,146.7,146.7,
469,147.1,147.1,
470,146.3,146.3,
471,146.8,146.8,
472,144.4,144.4,
473,149.1,149.1,
474,146.6,146.6,
475,146.4,146.4,
476,147.1,147.1,
477,146.9,146.9,
478,145.8,145.8,
479,148.0,148.0,
480,144.7,144.7,
481,145.3,145.3,
482,146.8,146.8,
483,145.5,145.5,
484,144.8,144.8,
485,143.0,143.0,
486,145.2,145.2,
487,146.8,146.8,
488,143.5,143.5,
489,144.8,144.8,
490,142.6,142.6,
491,141.1,141.1,
492,140.3,140.3,
493,142.9,142.9,
494,140.5,140.5,
495,139.5,139.5,
