Time after Ignition,Rubber_Band_R1,Mean,Std. Dev.
192.25,56.6,56.6,
192.5,56.5,56.5,
192.75,55.7,55.7,
193.0,56.3,56.3,
193.25,56.2,56.2,
193.5,54.5,54.5,
193.75,55.8,55.8,
194.0,54.9,54.9,
194.25,55.1,55.1,
194.5,54.9,54.9,
194.75,55.0,55.0,
195.0,54.4,54.4,
195.25,54.8,54.8,
195.5,54.5,54.5,
195.75,54.5,54.5,
196.0,55.2,55.2,
196.25,54.3,54.3,
196.5,54.5,54.5,
196.75,54.5,54.5,
197.0,53.8,53.8,
197.25,53.9,53.9,
197.5,53.2,53.2,
197.75,54.3,54.3,
198.0,52.6,52.6,
198.25,53.4,53.4,
198.5,53.1,53.1,
198.75,53.9,53.9,
199.0,53.2,53.2,
199.25,53.4,53.4,
199.5,53.5,53.5,
199.75,53.6,53.6,
200.0,52.8,52.8,
200.25,53.3,53.3,
200.5,52.6,52.6,
200.75,52.7,52.7,
201.0,52.9,52.9,
201.25,52.7,52.7,
201.5,52.4,52.4,
201.75,52.0,52.0,
202.0,52.7,52.7,
202.25,51.9,51.9,
202.5,53.0,53.0,
202.75,52.6,52.6,
203.0,51.2,51.2,
203.25,52.5,52.5,
203.5,51.7,51.7,
203.75,51.5,51.5,
204.0,52.1,52.1,
204.25,51.6,51.6,
204.5,51.4,51.4,
204.75,51.2,51.2,
205.0,51.1,51.1,
205.25,50.9,50.9,
205.5,50.4,50.4,
205.75,50.4,50.4,
206.0,50.5,50.5,
206.25,50.2,50.2,
206.5,49.7,49.7,
206.75,49.7,49.7,
207.0,49.4,49.4,
207.25,48.9,48.9,
207.5,48.5,48.5,
207.75,49.7,49.7,
208.0,49.7,49.7,
208.25,49.3,49.3,
208.5,48.8,48.8,
208.75,49.1,49.1,
209.0,48.3,48.3,
209.25,47.8,47.8,
209.5,48.4,48.4,
209.75,48.1,48.1,
210.0,49.4,49.4,
210.25,48.1,48.1,
210.5,48.0,48.0,
210.75,47.2,47.2,
211.0,48.0,48.0,
211.25,47.7,47.7,
211.5,47.6,47.6,
211.75,47.4,47.4,
212.0,47.7,47.7,
212.25,47.9,47.9,
212.5,47.2,47.2,
212.75,47.9,47.9,
213.0,47.2,47.2,
213.25,47.2,47.2,
213.5,47.1,47.1,
213.75,47.5,47.5,
214.0,46.9,46.9,
214.25,47.3,47.3,
214.5,47.3,47.3,
214.75,47.5,47.5,
215.0,47.9,47.9,
215.25,47.3,47.3,
215.5,47.8,47.8,
215.75,47.9,47.9,
216.0,47.1,47.1,
216.25,47.1,47.1,
216.5,47.9,47.9,
216.75,47.1,47.1,
217.0,46.9,46.9,
217.25,47.3,47.3,
217.5,46.9,46.9,
217.75,46.4,46.4,
218.0,46.7,46.7,
218.25,46.3,46.3,
218.5,46.3,46.3,
218.75,46.6,46.6,
219.0,46.0,46.0,
219.25,45.8,45.8,
219.5,45.1,45.1,
219.75,45.9,45.9,
220.0,44.9,44.9,
220.25,46.0,46.0,
220.5,45.2,45.2,
220.75,44.7,44.7,
221.0,44.4,44.4,
221.25,44.9,44.9,
221.5,44.8,44.8,
221.75,44.2,44.2,
222.0,44.8,44.8,
222.25,44.1,44.1,
222.5,44.3,44.3,
222.75,44.5,44.5,
223.0,44.1,44.1,
223.25,44.0,44.0,
223.5,44.1,44.1,
223.75,43.9,43.9,
224.0,43.8,43.8,
224.25,43.7,43.7,
224.5,43.8,43.8,
224.75,44.0,44.0,
225.0,43.8,43.8,
225.25,43.1,43.1,
225.5,43.6,43.6,
225.75,43.2,43.2,
226.0,43.9,43.9,
226.25,44.2,44.2,
226.5,43.6,43.6,
226.75,43.4,43.4,
227.0,44.2,44.2,
227.25,43.5,43.5,
227.5,43.8,43.8,
227.75,43.6,43.6,
228.0,43.4,43.4,
228.25,43.4,43.4,
228.5,43.6,43.6,
228.75,43.0,43.0,
229.0,43.1,43.1,
229.25,43.1,43.1,
229.5,43.2,43.2,
229.75,42.7,42.7,
230.0,43.0,43.0,
230.25,43.3,43.3,
230.5,43.0,43.0,
230.75,43.2,43.2,
231.0,43.9,43.9,
231.25,42.9,42.9,
231.5,43.2,43.2,
231.75,43.2,43.2,
232.0,43.0,43.0,
232.25,42.8,42.8,
232.5,43.1,43.1,
232.75,43.2,43.2,
233.0,43.0,43.0,
233.25,43.0,43.0,
233.5,42.8,42.8,
233.75,42.6,42.6,
234.0,42.7,42.7,
234.25,42.9,42.9,
234.5,43.3,43.3,
234.75,42.5,42.5,
235.0,42.9,42.9,
235.25,43.3,43.3,
235.5,43.4,43.4,
235.75,42.7,42.7,
236.0,43.0,43.0,
236.25,42.5,42.5,
236.5,42.1,42.1,
236.75,41.8,41.8,
237.0,42.4,42.4,
237.25,42.1,42.1,
237.5,42.1,42.1,
237.75,42.6,42.6,
238.0,42.4,42.4,
238.25,41.9,41.9,
238.5,41.9,41.9,
238.75,42.4,42.4,
239.0,42.2,42.2,
239.25,41.2,41.2,
239.5,41.7,41.7,
239.75,42.2,42.2,
240.0,42.8,42.8,
240.25,42.0,42.0,
240.5,42.2,42.2,
240.75,41.3,41.3,
241.0,41.8,41.8,
241.25,41.7,41.7,
241.5,41.4,41.4,
241.75,41.7,41.7,
242.0,41.1,41.1,
242.25,41.1,41.1,
242.5,41.2,41.2,
242.75,40.6,40.6,
243.0,40.6,40.6,
243.25,41.3,41.3,
243.5,40.7,40.7,
243.75,39.7,39.7,
244.0,40.3,40.3,
244.25,39.7,39.7,
244.5,39.7,39.7,
244.75,40.1,40.1,
245.0,39.8,39.8,
245.25,40.3,40.3,
245.5,39.9,39.9,
245.75,39.8,39.8,
246.0,39.8,39.8,
246.25,39.6,39.6,
246.5,39.6,39.6,
246.75,40.0,40.0,
247.0,39.6,39.6,
247.25,39.7,39.7,
247.5,38.9,38.9,
247.75,39.0,39.0,
248.0,39.4,39.4,
248.25,39.6,39.6,
248.5,39.1,39.1,
248.75,39.2,39.2,
249.0,38.4,38.4,
249.25,38.6,38.6,
249.5,38.4,38.4,
249.75,38.0,38.0,
250.0,38.2,38.2,
250.25,37.8,37.8,
250.5,38.4,38.4,
250.75,38.2,38.2,
251.0,37.9,37.9,
251.25,38.0,38.0,
251.5,38.0,38.0,
251.75,38.1,38.1,
252.0,37.9,37.9,
252.25,37.2,37.2,
252.5,37.3,37.3,
252.75,37.1,37.1,
253.0,38.2,38.2,
253.25,37.5,37.5,
253.5,37.4,37.4,
253.75,36.9,36.9,
254.0,36.9,36.9,
254.25,36.8,36.8,
254.5,36.5,36.5,
254.75,37.2,37.2,
255.0,36.5,36.5,
255.25,36.7,36.7,
255.5,36.3,36.3,
255.75,36.2,36.2,
256.0,36.4,36.4,
256.25,36.4,36.4,
256.5,36.1,36.1,
256.75,36.5,36.5,
257.0,35.8,35.8,
257.25,35.3,35.3,
257.5,35.8,35.8,
257.75,35.8,35.8,
258.0,35.9,35.9,
258.25,35.4,35.4,
258.5,35.7,35.7,
258.75,35.6,35.6,
259.0,34.9,34.9,
259.25,35.7,35.7,
259.5,35.1,35.1,
259.75,35.5,35.5,
260.0,35.3,35.3,
260.25,35.3,35.3,
260.5,34.9,34.9,
260.75,35.2,35.2,
261.0,35.0,35.0,
261.25,34.9,34.9,
261.5,34.7,34.7,
261.75,35.3,35.3,
262.0,34.8,34.8,
262.25,35.0,35.0,
262.5,35.0,35.0,
262.75,34.7,34.7,
263.0,34.6,34.6,
263.25,35.3,35.3,
263.5,34.4,34.4,
263.75,35.1,35.1,
264.0,34.4,34.4,
264.25,34.8,34.8,
264.5,34.7,34.7,
264.75,35.0,35.0,
265.0,34.5,34.5,
265.25,35.4,35.4,
265.5,34.9,34.9,
265.75,34.9,34.9,
266.0,34.9,34.9,
266.25,35.0,35.0,
266.5,34.5,34.5,
