Names,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
980,872.3,861.4,844.5,859.4,14.0
981,856.2,868.8,834.0,853.0,17.6
982,901.3,859.8,875.2,878.8,21.0
983,851.2,866.8,841.7,853.3,12.6
984,877.6,848.7,821.8,849.4,27.9
985,866.4,868.4,837.2,857.4,17.5
986,889.4,839.8,833.8,854.3,30.5
987,872.0,856.9,802.6,843.8,36.5
988,859.0,829.4,827.8,838.7,17.6
989,824.1,851.3,874.4,849.9,25.1
990,831.8,816.9,845.3,831.4,14.2
991,856.6,852.5,835.0,848.0,11.5
992,851.1,819.5,830.5,833.7,16.1
993,862.7,854.9,817.4,845.0,24.3
994,847.7,828.2,808.1,828.0,19.8
995,849.5,799.2,832.0,826.9,25.6
996,871.8,850.0,812.2,844.7,30.1
997,841.3,849.9,815.1,835.5,18.2
998,835.7,837.7,839.7,837.7,2.0
999,873.8,847.5,787.8,836.4,44.0
1000,825.6,832.1,816.5,824.7,7.8
1001,837.2,806.5,798.5,814.1,20.5
1002,818.0,821.7,806.0,815.2,8.2
1003,859.5,793.3,794.0,815.6,38.0
1004,848.9,800.2,786.6,811.9,32.8
1005,852.0,797.9,788.5,812.8,34.3
1006,866.1,801.0,758.9,808.7,54.0
1007,855.6,834.7,786.8,825.7,35.2
1008,837.1,773.0,792.9,801.0,32.8
1009,836.2,814.1,781.9,810.7,27.3
1010,857.4,782.1,792.1,810.5,40.9
1011,834.7,829.6,795.1,819.8,21.5
1012,833.1,770.7,767.3,790.4,37.0
1013,835.3,791.4,771.8,799.5,32.6
1014,803.0,792.4,769.5,788.3,17.2
1015,833.6,769.3,779.2,794.0,34.6
1016,814.5,807.3,782.9,801.6,16.5
1017,821.1,784.9,749.6,785.2,35.8
1018,837.0,773.1,740.0,783.4,49.3
1019,825.3,761.1,742.7,776.4,43.3
1020,807.5,795.1,766.8,789.8,20.9
1021,812.0,783.6,747.6,781.0,32.3
1022,797.3,766.3,716.0,759.9,41.0
1023,813.7,791.1,745.3,783.3,34.8
1024,799.2,747.5,760.1,768.9,27.0
1025,807.2,729.4,742.6,759.7,41.6
1026,796.6,774.3,709.0,760.0,45.6
1027,767.7,762.4,723.2,751.1,24.3
1028,781.0,758.7,742.4,760.7,19.4
1029,797.1,737.8,701.4,745.4,48.3
1030,828.7,746.4,694.9,756.6,67.5
1031,798.0,755.2,714.0,755.7,42.0
1032,806.0,761.3,720.8,762.7,42.6
1033,786.3,742.8,696.5,741.9,44.9
1034,771.7,732.6,693.2,732.5,39.2
1035,772.1,774.5,693.0,746.5,46.4
1036,759.6,763.0,693.7,738.8,39.1
1037,758.9,724.3,679.4,720.9,39.8
1038,765.6,717.1,681.9,721.5,42.0
1039,770.1,723.5,671.4,721.7,49.4
1040,769.4,748.9,673.4,730.6,50.5
1041,757.8,723.2,664.7,715.2,47.1
1042,726.2,740.2,654.4,706.9,46.1
1043,748.6,721.1,651.3,707.0,50.2
1044,756.3,702.3,676.0,711.5,40.9
1045,755.6,740.0,670.0,721.9,45.6
1046,735.4,714.9,646.3,698.9,46.7
1047,728.2,683.4,631.8,681.1,48.2
1048,741.0,692.3,642.6,692.0,49.2
1049,741.2,692.1,635.9,689.8,52.7
1050,731.8,676.9,632.5,680.4,49.7
1051,746.8,690.0,623.7,686.8,61.6
1052,738.3,673.0,621.7,677.7,58.5
1053,727.4,656.9,616.3,666.9,56.2
1054,724.5,668.7,609.6,667.6,57.5
1055,728.1,676.7,612.9,672.6,57.7
1056,733.6,664.4,607.3,668.4,63.3
1057,702.9,663.1,611.0,659.0,46.1
1058,708.8,642.1,586.1,645.7,61.4
1059,721.8,665.7,588.3,658.6,67.1
1060,735.5,639.5,571.3,648.8,82.5
1061,699.8,635.7,582.6,639.4,58.7
1062,723.0,647.8,568.0,646.3,77.5
1063,725.2,643.9,559.4,642.8,82.9
1064,710.4,633.6,583.1,642.4,64.1
1065,706.4,626.3,555.8,629.5,75.4
