Names,Polyester_Microfiber_Sheet_R1,Polyester_Microfiber_Sheet_R2,Polyester_Microfiber_Sheet_R3,Mean,Std. Dev.
444,20.6,28.4,22.5,23.9,4.1
445,20.8,28.4,22.4,23.9,4.0
446,20.7,28.8,22.5,24.0,4.3
447,20.6,28.5,22.5,23.9,4.1
448,20.8,28.7,22.1,23.9,4.2
449,20.8,28.1,22.2,23.7,3.9
450,20.5,28.2,22.0,23.6,4.1
451,20.4,28.2,21.9,23.5,4.1
452,20.4,28.1,21.8,23.4,4.1
453,20.3,27.9,21.9,23.4,4.0
454,20.0,27.8,22.0,23.3,4.0
455,19.9,27.4,22.0,23.1,3.9
456,19.7,27.1,21.8,22.9,3.9
457,20.0,27.6,21.9,23.2,3.9
458,19.7,27.2,21.6,22.8,3.9
459,19.4,26.8,21.9,22.7,3.8
460,19.4,26.9,21.8,22.7,3.8
461,19.2,26.3,21.7,22.4,3.6
462,19.0,27.2,21.5,22.6,4.2
463,19.1,26.6,21.7,22.4,3.8
464,18.7,26.3,21.5,22.2,3.8
465,19.0,26.9,,22.9,5.6
466,19.2,26.1,,22.6,4.9
467,18.5,25.7,,22.1,5.1
468,18.7,25.9,,22.3,5.1
469,18.6,26.0,,22.3,5.2
470,18.4,25.3,,21.8,4.9
471,18.4,25.5,,21.9,5.0
472,18.3,25.0,,21.7,4.7
473,17.9,24.6,,21.2,4.7
474,17.9,24.8,,21.3,4.9
475,17.9,24.9,,21.4,4.9
476,17.8,24.5,,21.1,4.8
477,17.5,23.8,,20.7,4.5
478,17.2,23.7,,20.5,4.6
479,17.1,23.7,,20.4,4.6
480,17.2,23.9,,20.5,4.7
481,17.0,23.5,,20.3,4.6
482,16.6,22.9,,19.7,4.4
483,16.6,22.7,,19.7,4.3
484,16.6,23.0,,19.8,4.5
485,16.4,22.8,,19.6,4.5
486,16.3,22.5,,19.4,4.4
487,16.1,22.1,,19.1,4.2
488,16.0,22.5,,19.2,4.6
489,16.2,22.3,,19.3,4.3
490,16.1,22.3,,19.2,4.4
491,15.6,22.0,,18.8,4.5
492,15.5,21.6,,18.6,4.3
493,15.5,21.5,,18.5,4.3
494,15.1,21.4,,18.2,4.5
495,15.3,21.2,,18.3,4.2
496,14.7,21.4,,18.0,4.7
497,14.5,21.1,,17.8,4.7
498,14.3,20.7,,17.5,4.5
499,14.4,20.5,,17.4,4.3
500,14.1,20.3,,17.2,4.4
501,14.1,20.6,,17.4,4.6
502,13.8,20.5,,17.2,4.7
503,13.8,20.3,,17.1,4.6
504,13.7,20.1,,16.9,4.6
505,13.7,20.3,,17.0,4.7
506,13.7,19.9,,16.8,4.4
507,13.7,19.8,,16.8,4.3
508,13.6,19.5,,16.5,4.2
509,13.4,19.6,,16.5,4.4
510,13.6,19.4,,16.5,4.1
511,13.5,19.3,,16.4,4.1
