##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
104.499,16.83562,-0.05342,0.3177,
104.599,16.84537,-0.05342001,0.31891,
104.699,16.85513,-0.05341996,0.3185,
104.799,16.86497,-0.05342014,0.31763,
104.899,16.8748,-0.0534195,0.31818,
104.999,16.88466,-0.05342181,0.31661,
105.099,16.89452,-0.05341339,0.31373,
105.199,16.90438,-0.05344403,0.31533,
105.299,16.91423,-0.05333222,0.31768,
105.399,16.92405,-0.05380197,0.31454,
105.499,16.93387,-0.05452446,0.31489,
105.599,16.94365,-0.05435501,0.31507,
105.699,16.95345,-0.05452302,0.31415,
105.799,16.96326,-0.05477334,0.3145,
105.899,16.97302,-0.05473129,0.31524,
105.999,16.98282,-0.05474229,0.31544,
106.099,16.99257,-0.05473941,0.31421,
106.199,17.00229,-0.05474014,0.31222,
106.299,17.01204,-0.05473999,0.31445,
106.399,17.02179,-0.05473992,0.31403,
106.499,17.03154,-0.05474029,0.31149,
106.599,17.04136,-0.05473906,0.31051,
106.699,17.05114,-0.05474288,0.31399,
106.799,17.06098,-0.054731,0.31278,
106.899,17.0708,-0.05476744,0.31221,
106.999,17.08053,-0.05544422,0.31226,
107.099,17.09026,-0.05606759,0.31243,
107.199,17.1,-0.05606004,0.31137,
107.299,17.10971,-0.05605934,0.31083,
107.399,17.11944,-0.05606037,0.31159,
107.499,17.12917,-0.05605982,0.3106,
107.599,17.13888,-0.0560602,0.30996,
107.699,17.14862,-0.05605936,0.30849,
107.799,17.15841,-0.05606257,0.31086,
107.899,17.16818,-0.05604952,0.31006,
107.999,17.17797,-0.05610173,0.3103,
108.099,17.1877,-0.05559045,0.30851,
108.199,17.19756,-0.05484454,0.30971,
108.299,17.20739,-0.05471174,0.31036,
108.399,17.21714,-0.05474994,0.30839,
108.499,17.22697,-0.05473095,0.3089,
108.599,17.23679,-0.05476626,0.30875,
108.699,17.2466,-0.05464329,0.30689,
108.799,17.25648,-0.0553643,0.30603,
108.899,17.26636,-0.05601474,0.30788,
108.999,17.27609,-0.05605504,0.30768,
109.099,17.28583,-0.05605031,0.30658,
109.199,17.29563,-0.05604357,0.306,
109.299,17.30543,-0.05612787,0.30725,
109.399,17.31522,-0.05693388,0.30783,
109.499,17.32506,-0.05745878,0.30707,
109.599,17.33493,-0.05734561,0.30719,
109.699,17.34478,-0.05737707,0.30515,
109.799,17.35458,-0.05736653,0.30481,
109.899,17.36435,-0.05737641,0.30718,
109.999,17.37413,-0.05734872,0.30672,
110.099,17.38393,-0.05744534,0.30625,
110.199,17.39373,-0.05704952,0.30609,
110.299,17.40346,-0.05617067,0.30449,
110.399,17.41319,-0.0560544,0.30528,
110.499,17.42296,-0.05606145,0.3065,
110.599,17.43279,-0.05605962,0.30591,
110.699,17.44259,-0.0560601,0.30434,
110.799,17.45235,-0.05605998,0.30339,
110.899,17.46203,-0.05606001,0.30357,
110.999,17.47167,-0.05606,0.30492,
111.099,17.48136,-0.05606,0.30368,
111.199,17.49114,-0.05606,0.30333,
111.299,17.5009,-0.05606,0.30349,
111.399,17.51069,-0.05606,0.3034,
111.499,17.52047,-0.05606,0.30404,
111.599,17.53024,-0.05606,0.30189,
111.699,17.53999,-0.05606,0.3014,
111.799,17.54971,-0.05606,0.30138,
111.899,17.55947,-0.05606,0.30386,
111.999,17.56925,-0.05606,0.30407,
112.099,17.57902,-0.05606,0.30252,
112.199,17.58871,-0.05606,0.30176,
112.299,17.59841,-0.05606,0.30312,
