Names,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
453,228.2,231.7,245.2,235.1,8.9
454,230.5,233.2,247.4,237.0,9.1
455,232.2,236.2,248.2,238.9,8.3
456,228.4,229.8,243.8,234.0,8.5
457,230.5,229.3,242.6,234.2,7.4
458,227.5,229.5,238.0,231.6,5.6
459,229.5,227.6,240.3,232.5,6.8
460,222.2,228.8,238.9,230.0,8.4
461,222.6,223.4,234.0,226.7,6.4
462,221.1,225.9,232.8,226.6,5.9
463,223.9,223.6,233.3,227.0,5.5
464,221.5,220.0,236.9,226.1,9.3
465,215.9,220.7,229.2,221.9,6.8
466,217.0,220.1,227.8,221.6,5.6
467,216.2,218.1,224.1,219.5,4.1
468,216.2,218.4,224.9,219.8,4.5
469,211.8,216.9,228.6,219.1,8.6
470,211.0,214.5,227.1,217.5,8.4
471,214.7,213.3,224.1,217.4,5.9
472,212.4,216.9,223.2,217.5,5.4
473,209.1,216.0,218.8,214.7,5.0
474,212.2,214.2,217.5,214.6,2.7
475,211.3,207.6,220.6,213.2,6.7
476,209.1,212.7,219.4,213.7,5.2
477,209.2,207.5,219.9,212.2,6.7
478,208.8,210.4,217.1,212.1,4.4
479,210.7,208.0,220.2,213.0,6.4
480,211.5,204.8,217.5,211.3,6.4
481,205.9,207.0,215.2,209.3,5.1
482,203.7,202.6,215.2,207.2,7.0
483,206.5,204.8,213.4,208.2,4.5
484,204.9,207.9,213.6,208.8,4.4
485,204.4,200.9,208.7,204.7,3.9
486,203.6,204.1,210.9,206.2,4.1
487,203.2,203.6,210.7,205.9,4.2
488,204.5,201.3,209.0,204.9,3.9
489,200.3,199.2,205.2,201.6,3.2
490,199.3,200.5,204.0,201.3,2.5
491,199.0,199.8,206.9,201.9,4.3
492,201.8,199.4,210.1,203.8,5.6
493,200.7,197.4,207.1,201.7,4.9
494,203.2,196.7,204.4,201.4,4.1
495,197.8,196.3,204.8,199.6,4.5
496,196.1,196.1,203.6,198.6,4.3
497,195.1,193.9,205.2,198.0,6.2
498,198.0,196.1,199.1,197.7,1.5
499,197.0,190.1,202.9,196.6,6.4
500,193.4,188.5,197.1,193.0,4.3
501,193.9,189.3,201.0,194.7,5.9
502,197.3,193.4,196.0,195.6,2.0
503,193.3,189.5,197.4,193.4,4.0
504,193.8,186.9,198.1,192.9,5.7
505,194.1,190.2,198.5,194.3,4.2
506,193.0,188.0,194.4,191.8,3.4
507,191.2,189.5,199.3,193.4,5.2
508,191.3,184.0,196.6,190.6,6.3
509,190.5,188.2,196.0,191.5,4.0
510,187.9,185.6,194.8,189.4,4.8
511,187.0,182.2,193.5,187.6,5.7
512,187.9,186.4,190.6,188.3,2.1
513,183.7,184.0,189.5,185.7,3.3
514,184.8,183.3,194.5,187.5,6.1
515,184.2,183.7,193.9,187.3,5.7
516,181.0,185.4,192.0,186.1,5.6
517,184.1,183.8,189.6,185.8,3.3
518,185.3,182.7,187.8,185.3,2.5
519,180.2,184.3,189.4,184.6,4.6
520,179.7,181.1,187.7,182.8,4.3
521,175.2,180.7,186.3,180.8,5.6
522,176.9,184.3,189.8,183.7,6.5
523,178.2,180.6,187.4,182.1,4.8
524,177.7,180.0,191.1,183.0,7.2
525,179.4,178.4,189.2,182.3,6.0
526,176.2,179.4,186.0,180.5,5.0
527,176.6,179.0,184.8,180.1,4.2
528,176.7,177.8,184.4,179.6,4.1
529,175.7,176.5,180.8,177.7,2.7
530,181.5,179.1,183.1,181.2,2.0
531,175.2,177.1,183.1,178.5,4.1
532,175.7,176.5,184.9,179.0,5.1
533,175.5,175.0,183.6,178.0,4.9
534,175.5,172.0,183.1,176.9,5.7
535,175.2,173.8,187.5,178.9,7.5
536,173.5,175.8,183.3,177.5,5.1
537,171.6,177.3,179.4,176.1,4.1
538,175.0,172.8,182.5,176.8,5.1
539,171.3,172.4,181.4,175.1,5.5
540,171.9,172.4,184.2,176.2,6.9
541,172.1,170.0,183.6,175.2,7.3
542,169.9,172.2,184.9,175.7,8.1
543,172.7,173.7,183.3,176.6,5.9
544,171.2,170.7,181.3,174.4,6.0
545,170.9,171.6,178.2,173.6,4.0
546,172.5,169.1,181.1,174.3,6.2
547,170.3,168.1,180.4,173.0,6.5
548,172.3,169.3,180.1,173.9,5.6
549,174.4,169.7,182.6,175.6,6.6
550,171.6,167.5,179.4,172.8,6.1
551,171.2,169.5,180.9,173.9,6.1
552,170.7,165.6,183.5,173.3,9.2
553,171.3,166.9,181.6,173.3,7.6
554,169.9,162.2,178.7,170.3,8.2
555,173.4,163.8,180.6,172.6,8.4
556,171.7,163.5,178.8,171.3,7.6
557,168.2,165.8,180.9,171.6,8.1
558,171.9,163.8,179.4,171.7,7.8
559,169.7,160.9,177.3,169.3,8.2
560,171.1,162.2,179.7,171.0,8.7
561,172.7,161.1,177.3,170.4,8.3
562,172.9,161.5,179.6,171.3,9.2
563,171.6,159.4,180.9,170.6,10.8
564,171.5,160.9,178.0,170.2,8.6
565,171.9,161.7,177.1,170.3,7.8
566,171.1,157.1,178.4,168.9,10.8
567,170.6,159.1,178.0,169.3,9.5
568,173.5,158.9,175.7,169.3,9.1
569,168.9,157.7,176.2,167.6,9.3
570,173.5,159.2,174.2,168.9,8.5
571,171.6,157.2,176.9,168.5,10.2
572,172.4,156.5,175.0,168.0,10.0
573,172.9,157.0,176.2,168.7,10.2
574,170.7,155.4,176.2,167.4,10.8
575,169.2,153.0,172.5,164.9,10.5
576,171.3,155.4,176.4,167.7,11.0
577,168.7,154.7,172.0,165.1,9.2
578,169.6,156.3,171.3,165.7,8.2
579,168.1,153.2,171.9,164.4,9.9
580,167.9,152.1,171.8,164.0,10.4
581,168.3,152.6,170.8,163.9,9.9
582,165.1,152.0,170.7,162.6,9.6
583,170.2,153.3,170.2,164.5,9.8
584,166.9,153.0,171.6,163.8,9.7
585,168.7,153.2,170.3,164.0,9.4
586,168.7,152.2,168.7,163.2,9.5
587,167.7,153.3,167.7,162.9,8.3
588,169.9,151.7,169.4,163.6,10.4
589,166.5,151.9,169.1,162.5,9.3
590,167.0,151.2,167.8,162.0,9.4
591,169.4,151.2,165.4,162.0,9.6
592,166.5,151.8,169.7,162.6,9.5
593,164.3,151.4,166.1,160.6,8.0
594,168.1,151.2,163.6,161.0,8.8
595,166.1,151.8,164.3,160.7,7.8
596,165.5,150.2,165.9,160.5,8.9
597,165.1,149.0,165.4,159.9,9.4
598,163.6,149.9,160.9,158.2,7.2
599,163.6,148.7,163.6,158.6,8.6
600,165.7,146.6,162.2,158.2,10.2
601,163.8,149.8,163.9,159.2,8.1
602,164.0,146.3,159.4,156.6,9.2
603,162.5,147.3,161.4,157.1,8.5
604,160.4,146.2,162.4,156.3,8.8
605,159.4,146.6,160.0,155.3,7.6
606,163.9,146.1,159.8,156.6,9.3
607,162.0,144.2,160.7,155.6,9.9
608,162.8,144.9,161.3,156.3,9.9
609,161.6,145.7,159.1,155.5,8.5
610,159.5,144.0,159.1,154.2,8.9
611,161.2,144.7,159.4,155.1,9.1
612,161.8,143.3,159.4,154.8,10.0
613,162.0,142.1,160.6,154.9,11.1
614,161.4,145.7,160.8,156.0,8.9
615,163.5,144.5,161.0,156.4,10.3
616,161.2,144.7,156.0,154.0,8.5
617,162.5,144.1,157.6,154.8,9.5
618,162.3,141.8,159.7,154.6,11.2
619,160.2,142.3,157.9,153.5,9.8
620,160.5,141.0,154.1,151.8,10.0
621,159.1,141.4,157.6,152.7,9.8
622,159.0,142.1,156.8,152.6,9.2
623,158.8,139.0,153.7,150.5,10.3
624,158.2,142.4,153.9,151.5,8.2
625,160.1,140.0,154.4,151.5,10.4
626,161.3,139.0,153.5,151.3,11.3
627,159.4,142.1,153.9,151.8,8.8
628,157.3,141.9,153.8,151.0,8.1
629,160.9,139.9,152.0,151.0,10.5
630,161.3,137.1,152.9,150.4,12.3
631,154.0,139.0,150.3,147.8,7.8
