Time after Ignition,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
130.75,223.36860576656974,292.4824274649855,266.8112578775205,260.8874303696919,34.935639205501616
131.0,227.26507807909312,290.0248686600172,271.45875854146675,262.9162350935257,32.240174605363556
131.25,219.9858732193229,287.810639911524,274.70192642317784,260.83281318467493,35.97657530574151
131.5,224.1787657392036,284.6647820784992,267.37666227312116,258.74007003027464,31.154174476725903
131.75,223.3992943535666,283.7564801929199,266.3904830923912,257.8487525462926,31.0719864371941
132.0,231.4206021439968,280.7269283052051,266.949805540321,259.6991119965076,25.44028041371765
132.25,228.64672239984282,284.0886775165671,271.0284184856116,261.2546061340072,28.984446737940313
132.5,228.93959223372661,280.80278483527604,270.2929765979026,260.0117845556351,27.4176014462214
132.75,229.96758565649773,275.6831648434466,268.5785482928718,258.0764329309387,24.600800096868017
133.0,228.8148803906791,280.27927238827834,273.38359605109565,260.8259162766844,27.9359517809602
133.25,225.9727717746831,276.7312022075657,264.00735912451285,255.57044436892056,26.410049468853575
133.5,231.73798028117488,276.52804836565497,266.07585190124536,258.11396018269176,23.43248470727272
133.75,232.21321357135045,280.38586130171944,273.073374866665,261.89081657991164,25.96031981151299
134.0,231.91240006061602,271.0682948687681,265.1839666171154,256.0548871821665,21.114002298332085
134.25,231.2509805309267,271.8486418132385,264.8073318350521,255.96898472640578,21.69400401281462
134.5,232.5488859675423,267.2201860798425,266.95277493840905,255.57394899526466,19.940737768512466
134.75,233.60539929034326,269.45366183209563,268.75726521764506,257.27210878002796,20.498929133323145
135.0,235.28085720529404,273.1222351329168,268.2673868687312,258.89015973564733,20.58984609933684
135.25,227.96976060076608,268.8968704925633,262.42770803757315,253.09811304363416,22.00086562131159
135.5,234.26151290424514,266.32451445749547,272.495111917467,257.6937130930692,20.52608273685207
135.75,229.48675461989845,262.17950905248097,269.0775373091792,253.58126699385286,21.149582581259942
136.0,232.48331829713254,261.7449959508075,263.1966046595283,252.47497296915608,17.328487653424634
136.25,235.58630981959132,257.9849375584125,266.2059736801489,253.2590736860509,15.847438144332765
136.5,232.0748704949012,260.30959636085333,264.4206641646747,252.26837700680974,17.60847803067527
136.75,234.98896244372528,261.8081962331578,266.78325270192266,254.52680379293528,17.102141098617555
137.0,237.89318896256944,260.4532364621642,268.0222099290146,255.45621178458273,15.673773247702405
137.25,235.6490171639483,257.2036002704086,262.47983531030013,251.777484248219,14.21461402625297
137.5,232.82006765707663,256.7663874105,267.9762582425962,252.52090443672424,17.958494602327008
137.75,238.99731342002275,252.1889364503393,267.3229509977458,252.8364002893693,14.173914177575217
138.0,234.90779726238324,251.53596149102103,265.39075367140833,250.6115041416042,15.262490750260884
138.25,236.0951715287743,249.97384678359666,267.19250285044524,251.08717372093875,15.578530947573416
138.5,236.72795710561482,248.30882726653547,263.78317327662137,249.60665254959054,13.574219806824123
138.75,235.13868607055048,245.83517250182052,261.9490666031663,247.64097505851245,13.496103816703258
139.0,238.94728310203945,247.64936198164068,264.5454688103471,250.3807046313424,13.015834679028883
139.25,232.9541104789968,243.38168449463464,264.894873999712,247.07688965778115,16.287848214846278
139.5,240.12859468864073,247.23810063173636,267.01910374914,251.46193302317238,13.9339671104968
139.75,234.88302987242102,245.78392045480942,264.025789643591,248.23091332360715,14.724671213476753
140.0,236.50538626543153,245.15717030514202,264.9943231721325,248.885626580902,14.605852291759216
140.25,239.73075341141174,242.0159845143488,265.57669838647786,249.10781210407944,14.308170107857443
140.5,239.59653702891043,239.37800570512806,265.8893071902578,248.28794997476544,15.243614100842109
140.75,243.04714391773453,239.21324387763104,269.66143340197226,250.64060706577925,16.583683947274373
141.0,242.83313698686175,238.9996749045251,268.2013920318898,250.0114013077589,15.869173884993334
141.25,241.2552569650519,235.32231486158332,267.19785059690975,247.92514080784835,16.952225737666883
