Names,Roof_Felt_R1,Roof_Felt_R2,Roof_Felt_R3,Mean,Std. Dev.
438,31.1,60.2,,45.7,20.6
439,30.4,59.7,,45.1,20.7
440,30.8,60.3,,45.6,20.8
441,30.6,61.4,,46.0,21.8
442,30.6,61.0,,45.8,21.5
443,30.5,60.5,,45.5,21.2
444,30.5,60.0,,45.3,20.8
445,30.9,60.3,,45.6,20.8
446,30.7,59.9,,45.3,20.7
447,31.0,59.5,,45.3,20.2
448,30.6,61.2,,45.9,21.6
449,30.4,60.7,,45.6,21.5
450,30.5,61.0,,45.7,21.6
451,30.2,60.3,,45.2,21.3
452,30.1,61.0,,45.6,21.8
