Time after Ignition,LDPE_R1,LDPE_R2,LDPE_R3,Mean,Std. Dev.
133.5,724.4,687.6,153.7,521.9,319.4
133.75,709.5,665.0,146.6,507.0,313.0
134.0,685.1,646.5,,665.8,27.3
134.25,660.7,614.7,,637.7,32.5
134.5,634.6,598.2,,616.4,25.7
134.75,610.7,570.4,,590.6,28.5
135.0,582.0,544.7,,563.4,26.4
135.25,562.8,520.5,,541.6,29.9
135.5,533.7,503.6,,518.6,21.3
135.75,511.6,465.3,,488.4,32.7
136.0,495.0,448.8,,471.9,32.7
136.25,467.1,423.1,,445.1,31.1
136.5,447.3,407.5,,427.4,28.1
136.75,423.4,,,423.4,
137.0,409.4,,,409.4,
137.25,384.5,,,384.5,
137.5,361.2,,,361.2,
137.75,345.2,,,345.2,
138.0,336.3,,,336.3,
138.25,315.3,,,315.3,
138.5,300.9,,,300.9,
138.75,286.0,,,286.0,
139.0,275.1,,,275.1,
139.25,262.1,,,262.1,
139.5,247.7,,,247.7,
139.75,233.9,,,233.9,
140.0,226.0,,,226.0,
140.25,211.8,,,211.8,
140.5,204.6,,,204.6,
