Time after Ignition,Eucalyptus_Flooring_R1,Eucalyptus_Flooring_R2,Eucalyptus_Flooring_R3,Mean,Std. Dev.
2284.25,35.76570339788844,,,35.76570339788844,
2284.5,36.17541775477819,,,36.17541775477819,
2284.75,36.149821583274225,,,36.149821583274225,
2285.0,35.999805602053755,,,35.999805602053755,
2285.25,35.729567471482774,,,35.729567471482774,
2285.5,36.53017297483169,,,36.53017297483169,
2285.75,36.16537183015266,,,36.16537183015266,
2286.0,35.43667231586067,,,35.43667231586067,
2286.25,36.12320979315614,,,36.12320979315614,
2286.5,35.94358506394586,,,35.94358506394586,
2286.75,35.50611048202162,,,35.50611048202162,
2287.0,35.59028125835574,,,35.59028125835574,
2287.25,35.15979613797073,,,35.15979613797073,
2287.5,35.5115283394425,,,35.5115283394425,
2287.75,35.73105275746322,,,35.73105275746322,
2288.0,35.31350179720961,,,35.31350179720961,
2288.25,35.452899714269655,,,35.452899714269655,
2288.5,36.068623311406554,,,36.068623311406554,
2288.75,35.35570307237014,,,35.35570307237014,
2289.0,35.83603142308323,,,35.83603142308323,
2289.25,35.581951936914614,,,35.581951936914614,
2289.5,35.48928005325062,,,35.48928005325062,
2289.75,35.70299448848468,,,35.70299448848468,
2290.0,35.61682882366837,,,35.61682882366837,
2290.25,35.92148297372011,,,35.92148297372011,
2290.5,36.173154426544244,,,36.173154426544244,
2290.75,35.828520608301034,,,35.828520608301034,
2291.0,35.62342794531244,,,35.62342794531244,
2291.25,36.588602488672166,,,36.588602488672166,
2291.5,36.566771748220596,,,36.566771748220596,
2291.75,37.35663768582597,,,37.35663768582597,
2292.0,36.170222003186154,,,36.170222003186154,
2292.25,36.46936562435395,,,36.46936562435395,
2292.5,36.239944962808934,,,36.239944962808934,
2292.75,37.220616447007004,,,37.220616447007004,
2293.0,36.03138428409491,,,36.03138428409491,
2293.25,36.18552994042253,,,36.18552994042253,
2293.5,36.380129957588274,,,36.380129957588274,
2293.75,36.487894801687716,,,36.487894801687716,
2294.0,36.73204719032451,,,36.73204719032451,
2294.25,36.59522976638165,,,36.59522976638165,
2294.5,36.216660326845194,,,36.216660326845194,
2294.75,36.70133405725261,,,36.70133405725261,
