Names,Overstuffed_Chair_Assembly_R1,Overstuffed_Chair_Assembly_R2,Overstuffed_Chair_Assembly_R3,Mean,Std. Dev.
881,61.6,18.5,60.7,46.9,24.7
882,62.2,18.0,59.2,46.5,24.7
883,60.7,17.6,57.8,45.4,24.1
884,60.0,17.4,57.3,44.9,23.9
885,59.1,16.8,56.2,44.0,23.6
886,58.6,16.3,54.3,43.1,23.3
887,58.2,16.3,53.1,42.5,22.9
888,56.1,16.0,52.3,41.5,22.2
889,56.0,15.6,51.6,41.1,22.2
890,55.4,15.5,50.2,40.4,21.7
891,55.8,15.3,49.2,40.1,21.7
892,54.7,15.0,47.6,39.1,21.1
893,53.7,14.9,46.8,38.5,20.7
894,53.2,14.8,45.0,37.7,20.2
895,52.6,14.3,43.5,36.8,20.0
896,51.9,13.9,42.3,36.0,19.8
897,51.8,13.6,41.1,35.5,19.7
898,51.4,13.6,40.1,35.0,19.4
899,50.1,13.1,38.7,34.0,18.9
900,49.6,13.0,37.4,33.3,18.6
901,50.2,12.8,36.4,33.1,18.9
902,48.9,12.7,35.5,32.4,18.3
903,48.5,12.1,33.1,31.2,18.2
904,47.8,11.8,32.6,30.7,18.1
905,46.6,11.5,31.7,29.9,17.6
906,45.6,11.3,30.6,29.2,17.2
907,44.9,11.0,29.6,28.5,16.9
908,45.0,10.9,28.9,28.2,17.1
909,44.0,10.5,27.6,27.4,16.7
910,43.7,10.1,26.9,26.9,16.8
911,43.0,10.1,26.3,26.5,16.5
912,43.0,10.0,25.9,26.3,16.5
913,41.6,9.9,25.0,25.5,15.9
914,41.1,9.8,24.1,25.0,15.7
915,41.2,9.6,23.9,24.9,15.8
916,40.6,9.5,23.4,24.5,15.6
917,40.6,9.3,22.3,24.1,15.7
918,40.1,9.2,22.1,23.8,15.5
919,39.8,9.1,21.1,23.3,15.5
920,39.5,8.9,20.7,23.0,15.4
921,38.8,8.7,20.3,22.6,15.2
922,39.0,8.4,20.0,22.5,15.5
923,38.0,8.5,,23.3,20.8
924,38.2,8.5,,23.3,21.0
925,37.3,8.4,,22.8,20.5
926,37.3,8.3,,22.8,20.5
927,37.1,8.2,,22.7,20.4
928,36.5,8.1,,22.3,20.0
929,35.9,8.0,,21.9,19.7
930,35.3,7.8,,21.5,19.4
931,34.9,7.7,,21.3,19.3
932,34.0,7.6,,20.8,18.7
933,33.3,7.3,,20.3,18.4
934,33.1,7.3,,20.2,18.2
935,32.0,7.3,,19.7,17.5
936,31.0,7.3,,19.2,16.8
937,30.9,7.3,,19.1,16.7
938,30.1,7.0,,18.6,16.3
939,29.7,6.8,,18.3,16.2
940,29.1,6.6,,17.8,15.9
941,27.9,6.3,,17.1,15.3
942,27.0,6.3,,16.6,14.6
943,26.9,6.1,,16.5,14.8
944,26.4,5.9,,16.1,14.5
945,26.4,5.9,,16.1,14.5
946,25.8,5.8,,15.8,14.2
947,24.9,5.6,,15.2,13.7
948,24.6,5.6,,15.1,13.5
949,24.4,5.5,,15.0,13.4
950,24.3,5.4,,14.9,13.3
951,23.4,5.3,,14.3,12.8
952,23.2,5.2,,14.2,12.7
953,22.6,5.2,,13.9,12.3
954,22.2,5.2,,13.7,12.0
955,21.9,5.0,,13.5,11.9
956,21.5,5.0,,13.3,11.6
957,21.3,5.0,,13.2,11.5
958,20.7,5.0,,12.8,11.1
959,20.6,4.9,,12.8,11.1
960,20.5,4.9,,12.7,11.0
961,20.0,4.8,,12.4,10.7
962,20.2,4.9,,12.6,10.8
963,19.9,4.9,,12.4,10.7
964,20.2,4.8,,12.5,10.8
965,19.6,4.9,,12.2,10.4
966,19.5,4.9,,12.2,10.4
967,19.5,4.8,,12.1,10.4
968,19.4,4.8,,12.1,10.3
969,19.3,4.8,,12.0,10.3
970,19.3,4.8,,12.0,10.3
971,19.0,4.8,,11.9,10.1
972,19.3,4.8,,12.0,10.2
973,18.9,4.7,,11.8,10.1
974,19.1,4.8,,11.9,10.2
975,19.1,4.8,,11.9,10.1
976,18.9,4.6,,11.8,10.2
977,18.9,4.6,,11.7,10.1
978,18.9,4.4,,11.7,10.2
979,18.9,,,18.9,
980,18.8,,,18.8,
981,18.9,,,18.9,
982,18.9,,,18.9,
983,18.7,,,18.7,
984,18.5,,,18.5,
985,18.9,,,18.9,
986,18.8,,,18.8,
987,18.5,,,18.5,
988,18.5,,,18.5,
989,18.3,,,18.3,
990,18.1,,,18.1,
991,17.5,,,17.5,
992,17.2,,,17.2,
993,17.3,,,17.3,
994,17.1,,,17.1,
995,16.6,,,16.6,
996,16.4,,,16.4,
997,16.5,,,16.5,
998,16.3,,,16.3,
999,15.6,,,15.6,
1000,15.8,,,15.8,
1001,15.6,,,15.6,
1002,15.2,,,15.2,
1003,15.2,,,15.2,
1004,14.9,,,14.9,
1005,14.9,,,14.9,
1006,14.8,,,14.8,
1007,14.4,,,14.4,
