Names,PMMA_R1,PMMA_R2,PMMA_R3,Mean,Std. Dev.
1034,594.3,550.0,434.1,526.2,82.8
1035,602.5,542.2,424.8,523.2,90.4
1036,612.2,539.4,411.5,521.0,101.6
1037,594.9,540.3,409.8,515.0,95.1
1038,593.4,530.8,402.1,508.8,97.5
1039,601.4,527.6,400.8,509.9,101.5
1040,602.1,531.6,404.2,512.6,100.3
1041,590.8,516.6,395.5,501.0,98.6
1042,601.0,508.4,382.5,497.3,109.7
1043,584.1,497.8,376.9,486.3,104.1
1044,586.8,501.2,377.3,488.4,105.3
1045,587.3,510.3,368.2,488.6,111.2
1046,596.2,496.7,369.2,487.4,113.8
1047,591.3,490.4,364.5,482.1,113.6
1048,581.5,475.2,359.8,472.1,110.9
1049,584.4,474.2,355.5,471.4,114.5
1050,585.7,476.1,345.5,469.1,120.3
1051,592.5,465.7,346.2,468.1,123.2
1052,575.6,454.4,341.6,457.2,117.0
1053,577.7,462.6,331.6,457.3,123.2
1054,569.3,443.2,327.2,446.6,121.1
1055,564.2,444.6,329.8,446.2,117.2
1056,571.7,439.1,318.4,443.1,126.7
1057,571.0,437.9,308.0,439.0,131.5
1058,570.8,429.2,307.9,435.9,131.6
1059,572.9,429.1,302.9,434.9,135.1
1060,577.3,424.2,301.3,434.2,138.3
1061,571.9,409.9,288.8,423.5,142.1
1062,563.8,421.5,286.5,423.9,138.7
1063,585.8,404.9,282.1,424.3,152.8
1064,576.0,395.6,275.2,415.6,151.4
1065,580.8,392.7,269.5,414.3,156.8
1066,562.4,400.2,262.2,408.2,150.3
1067,578.8,390.0,258.6,409.1,161.0
1068,567.7,380.1,261.0,402.9,154.6
1069,556.9,378.1,246.0,393.7,156.0
1070,576.6,377.7,238.8,397.7,169.8
1071,573.5,372.0,241.3,395.6,167.4
1072,567.9,367.9,229.5,388.4,170.1
1073,565.8,362.6,227.7,385.4,170.2
1074,553.4,362.1,222.5,379.3,166.1
1075,563.9,348.7,222.4,378.3,172.7
1076,551.0,341.2,214.3,368.8,170.1
1077,557.0,342.9,203.1,367.7,178.3
1078,566.9,335.4,204.3,368.9,183.6
1079,551.0,326.2,196.7,358.0,179.3
1080,570.8,323.0,193.1,362.3,191.9
1081,538.7,321.5,183.6,347.9,179.0
1082,544.4,315.9,184.8,348.4,182.0
1083,544.0,312.1,178.0,344.7,185.2
1084,535.7,306.3,171.6,337.9,184.1
1085,539.5,299.0,166.3,334.9,189.2
1086,536.2,292.1,161.6,330.0,190.2
1087,530.6,291.8,155.2,325.9,190.0
1088,528.8,285.7,149.4,321.3,192.2
1089,522.1,271.0,145.3,312.8,191.8
1090,517.1,270.0,139.4,308.8,191.8
1091,526.8,264.0,134.1,308.3,200.1
1092,515.0,259.7,128.1,300.9,196.7
1093,498.5,254.3,122.9,291.9,190.6
1094,506.4,250.8,120.0,292.4,196.5
1095,503.3,245.8,115.5,288.2,197.3
1096,496.0,238.6,114.2,282.9,194.7
1097,503.6,232.2,110.5,282.1,201.2
1098,480.8,228.9,107.6,272.4,190.4
1099,478.2,217.2,103.8,266.4,192.0
1100,483.4,212.3,100.0,265.2,197.1
1101,470.9,206.7,96.2,257.9,192.5
1102,464.4,202.2,94.2,253.6,190.4
1103,465.0,193.8,90.7,249.8,193.3
1104,445.7,188.9,87.3,240.6,184.7
1105,441.9,183.1,84.3,236.4,184.7
1106,441.3,177.6,82.6,233.8,185.8
1107,429.7,171.7,79.8,227.1,181.4
1108,417.8,168.6,76.1,220.8,176.7
1109,420.6,167.7,76.3,221.5,178.4
1110,408.4,161.7,72.8,214.3,173.9
1111,413.2,157.5,71.1,213.9,177.9
1112,392.4,149.5,66.6,202.8,169.3
1113,395.0,145.3,64.8,201.7,172.2
1114,382.7,145.7,61.4,196.6,166.6
1115,377.0,140.4,59.4,192.2,165.0
1116,367.0,135.5,56.1,186.2,161.5
1117,363.1,131.2,52.6,182.3,161.4
1118,354.7,128.8,50.0,177.8,158.2
1119,352.6,123.1,47.9,174.5,158.8
1120,335.3,118.6,45.4,166.4,150.7
1121,321.9,116.1,43.9,160.7,144.3
1122,320.2,110.1,41.5,157.3,145.2
1123,313.7,106.3,39.6,153.2,142.9
1124,304.1,102.3,37.7,148.1,139.0
1125,298.2,97.0,37.0,144.1,136.8
1126,287.3,92.0,35.5,138.3,132.1
1127,277.3,89.0,33.5,133.2,127.8
1128,271.8,86.1,33.6,130.5,125.1
1129,258.3,81.4,31.8,123.9,119.0
1130,253.2,77.3,31.0,120.5,117.2
1131,238.6,73.7,30.3,114.2,109.9
1132,231.7,70.7,28.5,110.3,107.2
1133,220.5,66.8,27.6,105.0,102.0
1134,210.3,62.6,26.5,99.8,97.3
1135,201.9,58.7,25.7,95.4,93.6
1136,195.9,56.2,24.5,92.2,91.2
1137,187.9,54.1,23.7,88.6,87.3
1138,179.5,50.9,22.8,84.4,83.5
1139,171.6,48.2,22.1,80.6,79.8
1140,164.6,45.6,21.1,77.1,76.8
1141,155.8,43.0,,99.4,79.7
1142,150.8,41.0,,95.9,77.6
1143,141.5,39.1,,90.3,72.4
1144,134.2,36.8,,85.5,68.9
1145,126.4,34.4,,80.4,65.0
1146,122.8,,,122.8,
1147,115.3,,,115.3,
1148,109.3,,,109.3,
1149,102.6,,,102.6,
1150,98.2,,,98.2,
1151,92.9,,,92.9,
1152,85.4,,,85.4,
1153,80.0,,,80.0,
1154,75.5,,,75.5,
1155,70.8,,,70.8,
1156,64.2,,,64.2,
1157,60.8,,,60.8,
1158,55.8,,,55.8,
